mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.632817799999999409e+01	1.342479699999999987e+01	2.876824599588612230e+01	3.114311699999999794e-01	7.219799799999998546e-01	1.265235996004532099e+09	1.822948108127055100e+00	2.871393280566421069e+00	3.283028484024290705e-01	3.313139300000000276e+03	1.097529750000000064e+02	1.393652125341766634e-01	4.662228717198615979e-01	3.734219780263127175e-01	6.410101945065566076e-01	7.675593597460366180e-01	2.567473454693822710e+00	2.792187093546376619e+00	3.908124731774378358e+00	6.189353508532722969e+01	8.625805671658149265e+00	7.051934075698538607e+01	1.848439864490847384e+01	6.244458198184786868e-01	3.062148258596234518e-01	4.061366052638914148e+00	3.456542001531506259e-01	5.563528221033217092e-01
9.632738500000000670e+01	1.461557099999999920e+01	3.020782022079970019e+01	2.858844199999999725e-01	6.871439499999999478e-01	1.265235996004532099e+09	5.791322538618308258e+00	2.960713059077733078e+00	1.203923445482647514e+00	3.644217399999999998e+03	1.109429559999999952e+02	1.517280989201564845e-01	4.691517934567692172e-01	5.610275588025868121e-01	8.272225771811544393e-01	1.259223750747003656e+00	2.854095300766216869e+00	2.597237163219998202e+00	5.058387814489310408e+00	6.013100171723547049e+01	9.123562576720802397e+00	6.925456429395626401e+01	1.885680265867122785e+01	7.622096659602839441e-01	5.241159082394434288e-01	3.409288339270892365e+00	6.263383640037108790e+00	6.019587608564567205e-01
9.601908899999999392e+01	1.017122499999999974e+01	2.446929882247544441e+01	9.559708900000000176e-01	1.129630900000000215e+00	1.265235996004532099e+09	8.996105628889309314e-01	1.052746066746969023e+00	4.518193994303731920e-01	2.332536000000000058e+03	1.061903139999999723e+02	1.059291970578891962e-01	4.632748515498690822e-01	3.791628313614440193e-01	7.008312479806838580e-01	8.946269559097618229e-01	3.407755387479039832e+00	8.374124178488875359e-01	5.884129674075833982e+00	6.787209654999563213e+01	7.189636690176567591e+00	7.506173324017217396e+01	1.729637959999545416e+01	5.879831393373641246e-01	9.495918267570330196e-01	1.584513414276827348e+00	4.992268801755867180e+00	4.147063945383043237e-01
9.567141700000000526e+01	1.374462099999999687e+01	2.907587467378487034e+01	3.211814399999999847e-01	6.413115400000000133e-01	1.265235996004532099e+09	5.664860694914175099e+00	1.909338194515343590e+00	1.341614226579922908e+00	4.656067900000000009e+03	1.094160379999999719e+02	1.436648628294070196e-01	4.473652133808825315e-01	5.664001807082713613e-01	7.878634479516457567e-01	2.767174330081172418e+00	4.997542570854224486e+00	1.980198753250580035e+00	3.095836018824758451e+00	5.510680568275400049e+01	7.916911679379639466e+00	6.302371736213362396e+01	1.674772493130702955e+01	7.990433781282781922e-01	3.887351640969808897e-01	3.841554020432376149e-01	5.381697972897462989e+00	7.361089218412261159e-01
9.550453899999999408e+01	1.426719100000000040e+01	2.968379276995696614e+01	3.313367799999999974e-01	8.337383999999999906e-01	1.265235996004532099e+09	1.249038305493597178e+00	2.748743004202398144e+00	1.673674491219270921e+00	4.370356099999999969e+03	1.097717300000000051e+02	1.493875699457593575e-01	5.240858568393752526e-01	1.436314653352245285e-01	2.031597721977632665e-01	2.482989814349915392e+00	4.758298512692661575e+00	2.866517959011174899e+00	1.664895953409387674e+00	5.621419725167838521e+01	8.397702323879817854e+00	6.461189957555821195e+01	1.747195054203974252e+01	7.118746026444903174e-01	8.028954456747733337e-01	3.605922482960099540e+00	2.081035688473175327e+00	6.989398349390911758e-01
9.548567199999999389e+01	3.333223699999999923e+01	4.782845509005097284e+01	1.268291300000000121e-01	4.921635300000000157e-01	1.265235996004532099e+09	4.539992025110010765e+00	2.292032065044636635e+00	1.620688364282377503e+00	3.720638700000000426e+03	1.288179089999999860e+02	3.490810328066812351e-01	4.689401121589641952e-01	5.156780874445662244e-01	6.686705998558160058e-01	1.740951580399363152e+00	1.888011394271913168e-01	2.067594551663504365e+00	4.079083784736896590e+00	5.922131564917305013e+01	2.067303803098380044e+01	7.989435368015683991e+01	2.966375977225364480e+01	8.318147525088838146e-01	3.390582878072135875e-01	2.534902411003116640e+00	2.723703550430307985e+00	6.123531021441152022e-01
9.544908100000000672e+01	3.257123200000000196e+01	4.721802148185071246e+01	1.995740400000000081e-01	7.303776299999999999e-01	1.265235996004532099e+09	5.832649122691733190e+00	1.227587397920568479e+00	4.137726603185544194e-01	2.564560199999999895e+03	1.280203129999999874e+02	3.412419654412387482e-01	6.905309169045541484e-01	2.379095726258445564e-01	2.849105029730192307e-01	1.158484670494632107e+00	2.166905059654748555e+00	1.320319467042828432e+00	1.926571773483864769e+00	6.586123740999180143e+01	2.247461810017764350e+01	8.833585551016942361e+01	3.258111330423665919e+01	8.464377179559282594e-01	8.325983458445955776e-01	5.156771337128966515e+00	1.040491089604128838e+00	4.492451820457207812e-01
9.531071500000000185e+01	2.947573500000000024e+01	4.466119471910137406e+01	9.504207600000000311e-02	7.123972200000000532e-01	1.265235996004532099e+09	3.987125479321892652e+00	2.602958894946880708e+00	4.774352618858505037e-01	8.130339399999998932e+03	1.247864500000000021e+02	3.092594048843301247e-01	5.914148966940357965e-01	2.566939652172492980e-01	3.293462598572979294e-01	1.306116234281754718e+00	5.312527391534004551e+00	2.669601715072388082e+00	2.797380308701185481e+00	4.417291201554530033e+01	1.366088848193541772e+01	5.783380049748072338e+01	2.069877478976001228e+01	7.936750942016174148e-01	2.879678767945181295e-01	1.792779046645872398e+00	8.221211310002907169e-01	1.157673348917053868e+00
9.477793900000000349e+01	1.953822699999999912e+01	3.539434801962762123e+01	6.095677700000000421e+00	1.397907800000000034e-01	1.265235996004532099e+09	5.479078676036652773e+00	1.214229049203338739e+00	8.728538430136002502e-01	2.968679399999999987e+03	1.143161659999999955e+02	2.061474136929692114e-01	5.106982667592545599e-01	4.803396446581993939e-01	6.982687196509235195e-01	9.850039218615651571e-01	3.357211763594110998e+00	1.200831670735917900e+00	2.690372390759098245e-02	6.285776254493549686e+01	1.295796517916524060e+01	7.581572772410072503e+01	2.347391752473706816e+01	7.471538324199118453e-01	3.833458087260982472e-01	3.847562641971358666e+00	9.215890983858834318e-01	5.078159826679409239e-01
9.449477400000000671e+01	1.396163999999999916e+01	2.918471708033196776e+01	1.599204599999999865e-01	6.002790099999999462e-01	1.265235996004532099e+09	5.411316276652465618e+00	7.754231820500574468e-01	2.841376649312934433e-01	3.808733799999999974e+03	1.084564139999999952e+02	1.477503930534825038e-01	4.137718083439897443e-01	6.672158073130547429e-01	9.591276508829561509e-01	1.219750422968106207e+00	2.387822362053791281e+00	1.906265658582679545e-01	4.893203632843748707e+00	5.817651450702106786e+01	8.595602884893988715e+00	6.677211739191504591e+01	1.796782027974624540e+01	8.149788509920865565e-01	1.361560351274304081e-01	2.488487860516352512e+00	4.876310222570143793e+00	6.242769921975275249e-01
