mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
9.999696400000000551e+01	4.334763000000000233e+01	5.635014522296895478e+01	3.323170900000000039e+00	6.312849499999999558e-01	1.245035079326171875e+09	3.239848999999999979e+00	2.539442800000000222e-01	9.445930000000000160e-01	3.348816800000000057e+03	1.433445940000000007e+02	4.334894607400280875e-01	3.248735230878386782e-01	2.328006535638774965e-01	6.404665739527793278e+01	2.776355097648036363e+01	9.181020837175829286e+01	3.609148019003507102e+01	1.550333605424029093e-01	4.036131596242904962e+00	5.747104806197920190e-01	1.097113597939397778e+00	1.634276832190846962e+00	4.282637288235021100e-01	5.372605185086276602e-01	3.843236206507427255e+00	5.477513038698273995e+00	5.613143303146471697e-01
9.998484799999999950e+01	4.855941800000000086e+01	5.988987680993271567e+01	4.287215800000000243e+00	9.875899099999999597e-01	1.245035079326171875e+09	4.188134800000000268e+00	1.936663599999999930e+00	1.633927200000000024e+00	2.444399399999999787e+03	1.485442659999999933e+02	4.856677683802649859e-01	3.105197422003921348e-01	4.250645492032363304e-01	6.984876262072722852e+01	3.392329266613145933e+01	1.037720552868586736e+02	4.183867728319781065e+01	2.118554646948255460e+00	1.036787401014345633e+00	9.022242666830808666e-01	8.459098408923526602e-01	5.880838211770218038e+00	5.416852732892284417e-01	3.899011168334429178e-01	9.539988998881643312e-02	5.976238101759034471e+00	4.314476627583100909e-01
9.997727199999999925e+01	3.800764499999999657e+01	5.246830357786770804e+01	4.441295700000000402e+00	3.587374199999999735e-01	1.245035079326171875e+09	5.288756799999999592e-01	2.362263800000000025e+00	3.737778599999999951e+00	2.520558500000000095e+03	1.379849169999999958e+02	3.801628534133237314e-01	2.812092431757665101e-01	4.130844385412862918e-01	6.929634464794168025e+01	2.634389611247461360e+01	9.564024076041629030e+01	3.636688194317556366e+01	2.359302806664265173e+00	6.168077868763765181e+00	8.173547174144450977e-01	1.562573303071623565e+00	3.280255616165306698e+00	5.663822471864856656e-01	1.991301750566162876e-01	2.708462059061542249e+00	5.988717675226848058e+00	4.427495780323189578e-01
9.995684799999999370e+01	3.810276000000000352e+01	5.253491883665350315e+01	3.813728100000000065e+00	1.612783700000000042e-01	1.245035079326171875e+09	2.591587599999999991e+00	6.446743500000000349e-02	4.200658999999999921e+00	3.913183899999999994e+03	1.380596079999999972e+02	3.811920920115448586e-01	2.057543296383823050e-01	1.848437820589219072e-01	6.101119471623122337e+01	2.325698495000389343e+01	8.426817966623511325e+01	3.206601875385737088e+01	1.112187149261428115e-01	9.765304342227024703e-01	6.984925421774775822e-01	1.257969020125654591e+00	1.631624630118899466e+00	2.874422847536190484e-01	5.460605551909956112e-01	6.170396983557062676e+00	1.518836306496376132e+00	6.383361851035477263e-01
9.995684799999999370e+01	3.810276000000000352e+01	5.253491883665350315e+01	3.579463899999999921e+00	1.232016800000000023e+00	1.245035079326171875e+09	4.225029900000000005e+00	2.896060900000000160e+00	7.651895999999999698e-02	3.017100899999999911e+03	1.380596079999999972e+02	3.811920920115448586e-01	2.057543296383823050e-01	1.848437820589219072e-01	6.599068931150095807e+01	2.515512891193494482e+01	9.114581822343591000e+01	3.468312153014790056e+01	3.001354760099811614e+00	1.210455344410686251e+00	6.984925421774775822e-01	1.257969020125654591e+00	1.631624630118899466e+00	2.874422847536190484e-01	5.460605551909956112e-01	6.170396983557062676e+00	1.518836306496376132e+00	5.147113788759795083e-01
9.992980199999999513e+01	5.642331300000000027e+01	6.484415844765702275e+01	3.906477399999999989e+00	9.883756999999999682e-01	1.245035079326171875e+09	1.035771199999999892e+00	1.846434899999999990e+00	8.683543000000000234e-01	2.901626000000000204e+03	1.563531150000000025e+02	5.646294886084133324e-01	6.492700835487134059e-01	4.505130105909453953e-01	6.669874916699860989e+01	3.766008063298326647e+01	1.043588297999818906e+02	4.328062472539863847e+01	1.761029801197013800e+00	5.820238659194237663e+00	5.438124005192683796e-01	8.775946735002797539e-01	5.929285254264470950e+00	8.707211355374802064e-01	7.504271912492559427e-01	1.787757093733588931e+00	1.433857040818472761e+00	4.982260274446573822e-01
9.989849100000000703e+01	2.790964500000000115e+01	4.424622710657457247e+01	4.394110000000000404e+00	5.526387099999999775e-01	1.245035079326171875e+09	4.978033900000000123e-01	2.294165500000000080e+00	4.960746399999999667e+00	2.691775200000000041e+03	1.278081360000000046e+02	2.793800458907832462e-01	2.907700848577947084e-01	9.017831043812793435e-02	6.805588485075783467e+01	1.901345623274258756e+01	8.706934108350041868e+01	3.014275898367192497e+01	2.316672461009681161e+00	3.826631880846250722e-01	2.322851588129062339e-01	1.658574193436986199e+00	4.441033918118268531e+00	3.917357199508417209e-01	3.760175304953730091e-01	3.403291851693532433e+00	1.561140462632215176e+00	4.678890917232351732e-01
9.989849100000000703e+01	2.790964500000000115e+01	4.424622710657457247e+01	4.386833499999999830e+00	1.376100000000000101e-01	1.245035079326171875e+09	6.171798700000000082e+00	7.371255700000000077e-01	1.608314800000000044e+00	2.275373900000000049e+03	1.278081360000000046e+02	2.793800458907832462e-01	2.907700848577947084e-01	9.017831043812793435e-02	7.104729261936404328e+01	1.984919587241383354e+01	9.089648849177787326e+01	3.146768898184499008e+01	7.287258256344966156e-01	6.166474423670070593e+00	2.322851588129062339e-01	1.658574193436986199e+00	4.441033918118268531e+00	3.917357199508417209e-01	3.760175304953730091e-01	3.403291851693532433e+00	1.561140462632215176e+00	4.060844166885611561e-01
9.989849100000000703e+01	2.790964500000000115e+01	4.424622710657457247e+01	2.878766999999999854e+00	7.719006299999999765e-01	1.245035079326171875e+09	6.088380299999999856e+00	2.018369799999999881e+00	3.477315100000000214e-01	1.335715099999999893e+03	1.278081360000000046e+02	2.793800458907832462e-01	2.907700848577947084e-01	9.017831043812793435e-02	7.950861713487039140e+01	2.221312110385280647e+01	1.017217382387231908e+02	3.521531001583559117e+01	2.002875460005464792e+00	5.994705305590181332e+00	2.322851588129062339e-01	1.658574193436986199e+00	4.441033918118268531e+00	3.917357199508417209e-01	3.760175304953730091e-01	3.403291851693532433e+00	1.561140462632215176e+00	2.564486039361280612e-01
9.986086299999999483e+01	4.835376399999999819e+01	5.971963542257812207e+01	4.186725700000000217e+00	9.791041099999999719e-01	1.245035079326171875e+09	2.258427900000000044e+00	2.220536200000000182e+00	2.123721900000000051e+00	2.982912299999999959e+03	1.482146270000000072e+02	4.842113571560061613e-01	3.198096802948291462e-01	7.218298347375493584e-01	6.613979486758958615e+01	3.202563983485540433e+01	9.816543470244501179e+01	3.955347788669275388e+01	2.338057697617479391e+00	2.776682179560013286e-01	8.908483425052265980e-01	2.276920009500388087e+00	1.022196986880987701e+00	9.282726324979930776e-01	3.468771858237144068e-01	1.330091610787238032e+00	2.352288597668225734e+00	5.098453691898989781e-01
