#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.913206900000000044e-01	-9.994527300000000114e-03	9.386357400000000517e-01	-5.413652599999999732e-02	1.043328999999999951e+00	3.363238799999999917e-02
5.279491000000000156e+00	9.910111099999999729e-01	-8.980228599999999159e-03	9.420105600000000523e-01	-5.143976100000000051e-02	1.039401500000000089e+00	3.289686199999999894e-02
5.574605000000000032e+00	9.909787500000000193e-01	-8.227128300000000755e-03	9.449890100000000182e-01	-4.881781599999999999e-02	1.036284900000000064e+00	3.212891300000000200e-02
5.886215299999999928e+00	9.906606900000000104e-01	-7.409520499999999905e-03	9.475745399999999652e-01	-4.653880099999999770e-02	1.033474699999999968e+00	3.148041599999999718e-02
6.215244099999999605e+00	9.907651100000000044e-01	-6.464232000000000311e-03	9.497754000000000474e-01	-4.406496000000000024e-02	1.031354099999999940e+00	3.077001000000000042e-02
6.562665100000000251e+00	9.909035499999999663e-01	-5.638687899999999739e-03	9.518640600000000118e-01	-4.164651700000000095e-02	1.029549400000000059e+00	3.014781000000000058e-02
6.929506199999999616e+00	9.912130200000000002e-01	-4.760233099999999599e-03	9.537212499999999649e-01	-3.879988899999999713e-02	1.028300699999999956e+00	2.933752900000000108e-02
7.316853100000000332e+00	9.912973299999999766e-01	-3.795690999999999909e-03	9.551607600000000531e-01	-3.603916000000000064e-02	1.027588900000000027e+00	2.810915799999999867e-02
7.725851999999999720e+00	9.918449799999999872e-01	-2.957999299999999887e-03	9.566572700000000040e-01	-3.318258699999999950e-02	1.026925300000000041e+00	2.687851600000000160e-02
8.157713100000000495e+00	9.922387400000000079e-01	-2.178451200000000153e-03	9.579213399999999545e-01	-3.032785899999999868e-02	1.026907999999999932e+00	2.551400699999999827e-02
8.613714599999999777e+00	9.929593399999999681e-01	-1.393731899999999923e-03	9.594081899999999941e-01	-2.735628999999999839e-02	1.026818500000000078e+00	2.388010100000000080e-02
9.095205699999999283e+00	9.938074900000000156e-01	-8.144189599999999800e-04	9.608927999999999914e-01	-2.457619000000000123e-02	1.026718599999999926e+00	2.223660800000000146e-02
9.603611199999999570e+00	9.944961199999999835e-01	-4.080087200000000105e-04	9.624703100000000511e-01	-2.180433299999999866e-02	1.026408900000000068e+00	2.052947700000000084e-02
1.014043599999999934e+01	9.952232800000000434e-01	-1.332280499999999924e-05	9.640288599999999875e-01	-1.899995299999999998e-02	1.026383199999999940e+00	1.874939899999999993e-02
1.070726799999999912e+01	9.961647900000000222e-01	2.874466100000000143e-04	9.655993899999999464e-01	-1.650624599999999872e-02	1.026244600000000062e+00	1.712707000000000118e-02
1.130578500000000020e+01	9.968879999999999963e-01	5.254139799999999524e-04	9.675882799999999673e-01	-1.433591600000000063e-02	1.025678599999999996e+00	1.526152899999999937e-02
1.193775800000000054e+01	9.975640700000000249e-01	6.924170400000000244e-04	9.694526799999999556e-01	-1.242081100000000035e-02	1.025381199999999993e+00	1.394509099999999974e-02
1.260505700000000040e+01	9.983023800000000447e-01	8.916354999999999507e-04	9.714730700000000496e-01	-1.068747199999999994e-02	1.024943099999999996e+00	1.252428499999999958e-02
1.330965699999999963e+01	9.990132099999999848e-01	1.038310300000000073e-03	9.732428400000000535e-01	-9.103843099999999952e-03	1.024582300000000057e+00	1.117771400000000005e-02
1.405364299999999922e+01	9.996599400000000246e-01	1.199121100000000075e-03	9.749747399999999509e-01	-7.876348300000000566e-03	1.024221899999999907e+00	1.016607700000000079e-02
1.483921600000000041e+01	1.000141699999999911e+00	1.298282499999999949e-03	9.765276999999999985e-01	-6.849449100000000110e-03	1.023906100000000041e+00	9.246216200000000746e-03
1.566870100000000043e+01	1.000911200000000001e+00	1.369360000000000022e-03	9.781022299999999614e-01	-6.168045199999999673e-03	1.023642500000000011e+00	8.774443599999999163e-03
1.654455300000000051e+01	1.001626399999999917e+00	1.416619600000000026e-03	9.794671600000000034e-01	-5.821268000000000102e-03	1.023456200000000038e+00	8.531094799999999756e-03
1.746936399999999878e+01	1.002172099999999899e+00	1.326134799999999919e-03	9.807056199999999446e-01	-5.743305800000000037e-03	1.023481499999999933e+00	8.450273200000000401e-03
1.844586999999999932e+01	1.002855599999999958e+00	1.347590799999999912e-03	9.819509100000000101e-01	-6.081772099999999646e-03	1.023955399999999960e+00	8.755191000000000709e-03
1.947696099999999930e+01	1.003592400000000051e+00	1.339340799999999901e-03	9.828327300000000433e-01	-6.785252400000000433e-03	1.024237000000000064e+00	9.273559500000000400e-03
2.056568800000000152e+01	1.004147499999999971e+00	1.125251100000000106e-03	9.835673299999999619e-01	-7.831043100000000673e-03	1.024637299999999973e+00	1.011804600000000033e-02
2.171527199999999880e+01	1.004776399999999903e+00	9.784121999999999698e-04	9.843160300000000085e-01	-9.225083800000000514e-03	1.025285299999999955e+00	1.123394800000000054e-02
2.292911700000000152e+01	1.005462700000000043e+00	8.459703500000000445e-04	9.846069499999999808e-01	-1.094065299999999984e-02	1.026225600000000071e+00	1.271105299999999994e-02
