#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.042348700000000017e+00	-1.314144700000000054e-01	7.473063199999999684e-01	-4.184624800000000255e-01	1.356104600000000104e+00	1.300558900000000073e-01
5.279491000000000156e+00	1.051985900000000029e+00	-1.323977299999999913e-01	7.807019400000000386e-01	-3.982643499999999892e-01	1.335580800000000012e+00	1.116140500000000063e-01
5.574605000000000032e+00	1.060437199999999969e+00	-1.315799699999999905e-01	8.148651999999999562e-01	-3.763119400000000114e-01	1.314586599999999939e+00	9.351540199999999747e-02
5.886215299999999928e+00	1.066429400000000083e+00	-1.322587000000000068e-01	8.411172500000000385e-01	-3.558824199999999771e-01	1.292851999999999890e+00	7.496371599999999968e-02
6.215244099999999605e+00	1.069200499999999998e+00	-1.318255799999999978e-01	8.658536300000000407e-01	-3.360928400000000038e-01	1.272413500000000086e+00	5.921567800000000076e-02
6.562665100000000251e+00	1.067642500000000050e+00	-1.286684899999999965e-01	8.869386099999999606e-01	-3.148807499999999870e-01	1.252742699999999987e+00	4.256560899999999731e-02
6.929506199999999616e+00	1.065886899999999970e+00	-1.240785699999999991e-01	9.022220199999999579e-01	-2.918202999999999769e-01	1.233324300000000040e+00	2.982560500000000156e-02
7.316853100000000332e+00	1.060688999999999993e+00	-1.175929599999999964e-01	9.112099000000000171e-01	-2.668084900000000093e-01	1.213790600000000053e+00	2.051137199999999994e-02
7.725851999999999720e+00	1.054241900000000065e+00	-1.089539699999999972e-01	9.174922399999999589e-01	-2.410896899999999954e-01	1.192662799999999912e+00	1.369994499999999983e-02
8.157713100000000495e+00	1.045549800000000085e+00	-9.894555300000000553e-02	9.212355399999999639e-01	-2.151049800000000012e-01	1.173200500000000090e+00	1.006344699999999967e-02
8.613714599999999777e+00	1.036948600000000109e+00	-8.751543600000000200e-02	9.239448200000000000e-01	-1.883393399999999940e-01	1.155105400000000060e+00	7.492771399999999769e-03
9.095205699999999283e+00	1.029717800000000016e+00	-7.536000199999999538e-02	9.272614999999999608e-01	-1.614652000000000032e-01	1.136530299999999993e+00	6.594247699999999934e-03
9.603611199999999570e+00	1.023135600000000034e+00	-6.274430899999999811e-02	9.292515700000000267e-01	-1.351502699999999890e-01	1.120434699999999895e+00	6.958157999999999878e-03
