luminosity_distance	iota	total_mass	phi_jl	phi_2	dec	tilt_1	chi_eff	chirp_mass	mass_1_source	a_2	psi	tilt_2	mass_2_source	mass_ratio	theta_jn	total_mass_source	mass_1	a_1	chirp_mass_source	phi_1	mass_2	geocent_time	chi_p	ra	phi_12	phase	redshift
1.122928813571537830e+03	4.594723693805243259e-01	7.702568488968314853e+01	2.205776236921133560e+00	5.479008298686416367e-03	3.581211385686655646e-02	1.472979774099178130e+00	1.449386858667877642e-01	3.315637758822400372e+01	3.584797869719437102e+01	2.757854878356146289e-01	2.973554179383446350e+00	6.510322309451860301e-01	2.728953036790224118e+01	7.612571575768664056e-01	6.621775551581721153e-01	6.313750906509660865e+01	4.373335521069218146e+01	9.038725983200157632e-01	2.717809122425150292e+01	5.108682427645582003e+00	3.329232967899096707e+01	1.264316116410167217e+09	8.995518832940410103e-01	5.585510564824666346e+00	1.179981887832691090e+00	4.739172059615602839e-01	2.199671166986874593e-01
1.297000570089836629e+03	5.951713477346928793e-02	7.426040482935042064e+01	1.749280597756926348e+00	3.987148378302638019e+00	-1.593919111453345749e-03	1.323256047638021737e+00	8.795026545400494444e-02	3.209948223013915225e+01	3.289716394940221278e+01	2.182983864333843949e-01	1.428698963609306372e+00	1.831688637369721429e+00	2.651604716870317446e+01	8.060283618820888174e-01	1.769794693142076603e-01	5.941321111810539435e+01	4.111807233855538612e+01	8.335113383969738887e-01	2.568169832771179983e+01	5.939846764444615346e+00	3.314233249079502741e+01	1.264316116409671783e+09	8.081042747060247500e-01	5.595393553436601053e+00	4.330486921037609349e+00	1.527259932448852942e+00	2.498971766015276874e-01
1.100554968943491076e+03	3.285146721941303860e-01	7.205943235604087249e+01	1.853332037596881587e+00	3.568559241761788847e+00	4.339864038211072028e-03	6.365449775315916714e-01	4.484995152426676096e-02	3.136259991497628974e+01	3.000784443789855871e+01	3.718891913073951172e-01	1.067951276520393344e+00	1.716986749267283008e+00	2.924858460050138831e+01	9.746979547641795305e-01	4.027956689964816706e-01	5.925642903839994347e+01	3.649136931660330418e+01	1.757966236094208323e-01	2.579031801331868934e+01	1.476196294285581523e+00	3.556806303943757541e+01	1.264316116409157515e+09	3.573026903623706674e-01	5.574459567449970621e+00	2.092362947476207324e+00	1.785034797528936679e+00	2.160610000535840569e-01
1.161887321710885089e+03	2.320435588990421016e-01	7.661031725224472666e+01	2.176546476268391428e-01	2.252255297475603157e+00	7.342305195829545994e-02	1.752795249057303995e+00	2.095894750267073559e-01	3.333103004261820246e+01	3.209564073229145720e+01	9.405820280035729342e-01	2.244456571897280206e+00	1.000429440504736478e+00	3.035491692606708369e+01	9.457644787108727691e-01	2.018655119949510635e-01	6.245055765835854089e+01	3.937286248693436619e+01	4.005780672219114713e-01	2.717051029348163027e+01	3.574290470162253541e-01	3.723745476531036047e+01	1.264316116410926104e+09	7.428135591690023798e-01	5.572207731728134661e+00	1.894826250459377581e+00	9.069200241944784802e-01	2.267355188619521733e-01
1.086229936190010221e+03	4.434645845722215984e-01	7.512140562776130537e+01	2.051761342588383830e+00	3.766463871758877868e+00	5.157616449236068767e-02	5.469571211097328661e-02	1.263121578715344639e-01	3.267060568024700729e+01	3.211773518115851545e+01	7.794217824370599512e-01	1.615202218905490428e+00	2.191789070656243954e+00	2.978432216755054895e+01	9.273481458002419409e-01	5.621930789341267332e-01	6.190205734870907150e+01	3.897656258494524195e+01	6.649952633106669397e-01	2.692145720032075218e+01	5.278711085693005955e+00	3.614484304281605631e+01	1.264316116409919262e+09	5.815530699129458636e-01	5.574872399136815204e+00	4.770938093245458589e+00	1.491993149312043743e+00	2.135526482518098901e-01
1.209135463486099070e+03	3.706721045324825048e-01	7.746857999316247856e+01	1.923263813878091089e+00	8.571888861235628099e-01	9.502866752490968238e-02	1.139844656985172122e+00	1.937738445823394273e-01	3.367201906001817235e+01	3.289626643816780671e+01	2.853942683115384508e-03	2.877142717016530349e-01	9.510273667222366445e-01	2.983696675361935746e+01	9.070016139886650786e-01	5.537622310143527349e-01	6.273323319178717128e+01	4.062323777017156345e+01	8.809961393432843568e-01	2.726724336391428238e+01	5.239843611528012701e+00	3.684534222299090800e+01	1.264316116410914660e+09	8.004454419352079464e-01	5.552693856285635832e+00	1.900530581775136563e+00	6.278421667736790113e+00	2.348890062198230877e-01
1.039598331516979215e+03	1.139964936163815334e-01	7.673439229570259101e+01	1.703278825514606742e+00	1.664465914338888908e+00	4.898385928587312144e-02	1.296276747550754171e+00	1.107217364918411037e-02	3.051205626464280130e+01	4.373828199238455738e+01	5.617876512236147368e-01	2.034761437953718666e+00	2.494099157012744428e+00	1.992340906741667794e+01	4.555142122611405275e-01	5.162859943023293541e-01	6.366169105980123533e+01	5.271978222493324751e+01	8.123771641412054212e-01	2.531393083864622184e+01	1.571340453511060886e+00	2.401461007076934706e+01	1.264316116410491467e+09	7.819581426286384973e-01	5.569081490541442747e+00	9.312546082782757750e-02	3.743865409574762548e+00	2.053464339114300652e-01
1.092881191580431278e+03	4.702579955228670117e-01	7.407569640040355807e+01	2.228884269692739561e+00	6.432935709465263940e-01	8.006067427540775050e-02	8.599363052204195279e-01	7.969110830280673463e-02	3.218555048513331940e+01	3.215658704161003101e+01	6.501756449468746313e-01	7.773943018348492551e-01	2.570771625226164314e+00	2.882521661727680495e+01	8.964016168748724089e-01	5.669784746480727167e-01	6.098180365888683951e+01	3.906118605956197598e+01	9.832298053736063803e-01	2.649631411803908776e+01	3.433850418109781089e+00	3.501451034084158209e+01	1.264316116410227776e+09	7.450925341637910648e-01	5.554957929942624162e+00	3.492628460016331982e+00	2.289022655333243783e+00	2.147180299021634597e-01
1.072288063087194587e+03	2.468405876188493331e-01	7.685026488406683143e+01	1.023522577285205459e+00	2.043443147560598305e+00	1.792522605942603597e-01	1.928671242403344532e+00	2.085675870005155030e-01	3.323866719764466637e+01	3.498734953683966609e+01	8.592508550694922809e-01	1.573887684272783805e+00	4.685142595996514281e-01	2.846727769183316781e+01	8.136448764676719181e-01	4.280684392739360633e-01	6.345462722867284100e+01	4.237338074350228112e+01	7.009156016153731406e-01	2.744489221717363492e+01	1.624892245393178669e+00	3.447688414056454320e+01	1.264316116413016796e+09	6.565079177787633835e-01	5.525955698898918911e+00	4.185509021674194141e-01	1.886432681163138003e+00	2.111057654963416352e-01
9.161257453399053929e+02	6.880562287352219863e-01	7.254919517737013734e+01	1.619358530423024023e+00	1.473136322253675523e+00	4.887670471972782593e-02	9.903221004109939996e-01	4.211462726754829772e-02	3.148898990584935120e+01	3.276579640769227098e+01	9.641989656312565105e-01	5.855615745282973794e-01	1.987781115586025660e+00	2.854502273766885523e+01	8.711835470895948896e-01	8.201467966611595273e-01	6.131081914536112976e+01	3.877182187189057316e+01	7.640239897399124791e-01	2.661112587765601845e+01	3.868543935559560776e+00	3.377737330547956418e+01	1.264316116409741640e+09	7.530595499714977104e-01	5.573865304484947103e+00	3.887777693873700535e+00	2.156407484429085475e+00	1.833016780507217003e-01
