chirp_mass	mass_1_source	luminosity_distance	mass_ratio	chi_p	total_mass	mass_1	chi_eff	ra	total_mass_source	chirp_mass_source	mass_2_source	phase	a_2	geocent_time	tilt_2	theta_jn	phi_1	psi	iota	phi_2	phi_12	dec	mass_2	a_1	phi_jl	tilt_1	redshift
1.100171460221612421e+02	5.010394550736335617e+01	1.551342052019683433e+04	7.311829609836584254e-01	3.466823766850231081e-01	2.564816506172502386e+02	1.481539827953928636e+02	7.596882549409158525e-01	5.731354173599349622e+00	8.673909674040118034e+01	3.720651301546663348e+01	3.663515123303780996e+01	4.967285232497891556e+00	7.123666311940642926e-01	1.238303737168249369e+09	7.695076710089050476e-01	2.907786107877884607e+00	4.204128829275338930e+00	8.438223086908210879e-01	2.887786539273522024e+00	7.951597404407362291e-01	2.874216218344983531e+00	-1.032898468851746632e+00	1.083276678218573466e+02	9.588318504258287467e-01	2.166495433139935312e+00	1.929289462068578820e-01	1.956932459014029568e+00
3.933860132084878813e+01	9.399274324473353204e+01	4.779643242876220029e+03	9.478677240443927898e-02	1.235232252948539194e-01	1.802875442658926488e+02	1.646782266741621754e+02	5.418681162289233910e-01	3.194993188702682119e+00	1.029020120063409962e+02	2.245313863425040068e+01	8.909268761607455289e+00	3.754657394286559757e+00	1.274717660699897503e-01	1.238303737222259760e+09	2.342160646993675099e-01	2.998864714358480565e+00	2.367620062178675155e+00	9.128347802308196535e-01	3.044366061925756650e+00	1.083999918325599943e+00	4.999565163326511019e+00	4.429507298698565076e-01	1.560931759173047162e+01	5.944525588485016776e-01	3.973588510211315317e+00	2.093184182700554286e-01	7.520312844299199551e-01
6.666773938014593170e+01	6.988232621012430457e+01	9.586537531784413659e+03	2.440413075273499544e-01	5.466826943026107388e-01	2.019479664494700444e+02	1.623322033018829416e+02	5.285626707898489762e-01	5.956835268733804867e+00	8.693650047149584736e+01	2.869976884617858559e+01	1.705417426137153569e+01	9.509511133372440250e-01	3.313392589371481067e-01	1.238303737180812597e+09	1.833911312243492242e+00	2.977186397297554521e+00	3.194409838826036019e+00	8.179829432662534261e-01	2.896827280877046551e+00	8.626920897771226393e-01	3.951467558130672852e+00	-9.129650456229065902e-01	3.961576314758710993e+01	8.714007383971030807e-01	5.686686986641690034e+00	6.781594963034421886e-01	1.322936457692858392e+00
6.705619443915242073e+01	8.790959123715249746e+01	9.002545287556664334e+03	1.728971364110168940e-01	3.334309238326071956e-01	2.327438069534354099e+02	1.984349690422257879e+02	7.553505838683588491e-01	3.367689163667563435e+00	1.031089078251191893e+02	2.970687410347775881e+01	1.519931658796669183e+01	2.164935273565062435e+00	4.366128498910102351e-01	1.238303737209495544e+09	1.358034975107629494e+00	2.569953197351113605e+00	3.774027315138777094e+00	2.057101612318528616e+00	2.522927904237905583e+00	1.681430141730852590e+00	4.190588133771662172e+00	6.188767745842398416e-01	3.430883791120962911e+01	9.317137834359194848e-01	3.055353645446755806e+00	3.659841111709237760e-01	1.257261878364449137e+00
9.598882954444430027e+01	8.469771497691706941e+01	8.621435322554638333e+03	3.631995090002351212e-01	2.665759934840652989e-01	2.556258971835480907e+02	1.875190648880317212e+02	8.437351008075000269e-01	3.984981169701967474e+00	1.154598834699752246e+02	4.335577574780298704e+01	3.076216849305814449e+01	5.267608371162352476e+00	7.967814024769209746e-01	1.238303737198525667e+09	6.752114133194427881e-01	2.709291044683631355e+00	1.585126123536335641e+00	2.086793191233752953e+00	2.793594235677586912e+00	3.229689940564454798e+00	1.644563817028119823e+00	8.047691833200771860e-01	6.810683229551635520e+01	9.619623306942821639e-01	4.119976553602011649e+00	2.807921621074194740e-01	1.213980211144266130e+00
5.080638535762152941e+01	8.402399565646574331e+01	8.350033716633723088e+03	1.223190612337167055e-01	2.843210755211884044e-01	2.058550005065752089e+02	1.834193213116132313e+02	6.820169939984410679e-01	3.169671885578026149e+00	9.430173192627053425e+01	2.327429559810080306e+01	1.027773626980478028e+01	1.468077560239785528e+00	4.374858966023945778e-02	1.238303737217551231e+09	1.419075133900568719e+00	5.187577337142119660e-01	3.312182625549899395e+00	4.292188864589364106e-01	3.029046366957964254e-01	2.872847766174135842e+00	5.843850447803822235e+00	4.079081422343731056e-01	2.243567919496197760e+01	8.157820703061520184e-01	1.611029983786081310e+00	3.559977956223615014e-01	1.182939764749201261e+00
9.411522474976797525e+01	5.573148117492688414e+01	9.457671820704023048e+03	7.102276063671391082e-01	1.596794697140919983e-01	2.200321027602483070e+02	1.286566197043444504e+02	5.057108837839411342e-01	5.750228429539667729e+00	9.531351764909047120e+01	4.076883792275313567e+01	3.958203647416359416e+01	5.912349070754026492e+00	1.477340686798423730e-01	1.238303737173183203e+09	1.261879309188134179e+00	8.742900968457300026e-01	1.930415202583182221e-01	1.208561002719262367e+00	8.770774739054505442e-01	2.911345222716883896e+00	2.718303702458566118e+00	-6.785401895795790672e-01	9.137548305590385667e+01	8.481476438136559270e-01	3.240647845662588455e+00	1.893988024642526413e-01	1.308508889267166131e+00
8.434688768278839177e+01	7.118942657774928762e+01	1.129685063835768779e+04	3.130966485046606795e-01	1.713821794673456855e-01	2.347567250648044705e+02	1.787809947821759522e+02	7.545838184699480422e-01	6.256852213139602270e+00	9.347859744821120387e+01	3.358638078433030216e+01	2.228917087046191625e+01	5.525221243178297215e+00	5.958692734989999851e-01	1.238303737170512915e+09	1.142032800010767568e+00	3.749623812460947114e-01	8.325403065426915106e-01	2.675997544213538859e+00	3.850096143968527174e-01	3.550616511999841407e+00	2.718076205457149452e+00	-1.207451711662513194e+00	5.597573028262851835e+01	9.292191888565634050e-01	3.255528923668708163e+00	1.854987633132991753e-01	1.511341969961240261e+00
5.697498210611082214e+01	1.004449150776551107e+02	6.899243247816054463e+03	1.259435743672872310e-01	1.701497929611184012e-01	2.277186186859092913e+02	2.022469188243944700e+02	6.444787723811628011e-01	5.727855370662830126e+00	1.130953067095536255e+02	2.829633831983474934e+01	1.265039163189850768e+01	1.284609758590794959e+00	9.567799736053482773e-01	1.238303737170468569e+09	2.511825905375146828e+00	1.605088398380425663e-01	1.167059418750092448e+00	2.641364317225119329e+00	2.035208811263356787e-01	3.721340049231633973e+00	2.554280630481542413e+00	-6.342765948036617196e-01	2.547169986151482846e+01	8.404348351300009456e-01	6.250484108778187498e+00	2.038636518515366813e-01	1.013510775214803816e+00
7.445030341082870962e+01	9.044282959453649084e+01	8.980973172189671459e+03	1.980582887196567499e-01	3.360746769949808921e-01	2.443229122480451281e+02	2.039324084215874109e+02	6.848155759920321328e-01	3.325490119070053652e+00	1.083557816509939045e+02	3.301827383280361516e+01	1.791295205645742428e+01	4.568270857716861144e+00	8.702377629398593273e-01	1.238303737209227562e+09	2.028381248523030589e+00	2.848454209637284240e+00	4.776389042265267726e+00	5.007494168887069996e-01	2.926637627845282807e+00	5.984791550574937169e+00	1.208402508309669221e+00	4.842712955701773403e-01	4.039050382645771720e+01	9.575105354851285444e-01	5.542756370306858749e+00	3.586259881232953250e-01	1.254821187437800578e+00
