#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.913443699999999748e-01	-9.964168400000000814e-03	9.386673199999999717e-01	-5.427843799999999830e-02	1.043348699999999907e+00	3.368592900000000334e-02
5.279491000000000156e+00	9.911495299999999453e-01	-8.985374399999999234e-03	9.421366599999999591e-01	-5.148556700000000291e-02	1.039439100000000060e+00	3.293129300000000037e-02
5.574605000000000032e+00	9.910318900000000264e-01	-8.198718400000000808e-03	9.449232199999999526e-01	-4.897463800000000089e-02	1.036494900000000108e+00	3.223843500000000278e-02
5.886215299999999928e+00	9.906981099999999651e-01	-7.401190400000000336e-03	9.475137200000000037e-01	-4.665972200000000070e-02	1.033603000000000049e+00	3.163639800000000307e-02
6.215244099999999605e+00	9.909294899999999684e-01	-6.487978499999999885e-03	9.496481399999999740e-01	-4.417219900000000227e-02	1.031432600000000033e+00	3.086859700000000109e-02
6.562665100000000251e+00	9.908992899999999882e-01	-5.667220700000000395e-03	9.517509499999999845e-01	-4.177764999999999951e-02	1.029624099999999931e+00	3.026358300000000015e-02
6.929506199999999616e+00	9.912450800000000006e-01	-4.794056900000000405e-03	9.535616000000000092e-01	-3.893494799999999700e-02	1.028412499999999952e+00	2.951130299999999915e-02
7.316853100000000332e+00	9.913320100000000412e-01	-3.801016999999999851e-03	9.549596500000000487e-01	-3.617055100000000217e-02	1.027702499999999963e+00	2.828435199999999872e-02
7.725851999999999720e+00	9.917764100000000527e-01	-2.925220799999999916e-03	9.563005700000000164e-01	-3.331870199999999865e-02	1.027053699999999958e+00	2.698740800000000092e-02
8.157713100000000495e+00	9.922792599999999963e-01	-2.158597400000000083e-03	9.577090900000000406e-01	-3.044942499999999871e-02	1.027137699999999931e+00	2.564128300000000082e-02
8.613714599999999777e+00	9.929386799999999624e-01	-1.409758199999999956e-03	9.592073300000000247e-01	-2.744394600000000031e-02	1.026996599999999926e+00	2.398784600000000017e-02
9.095205699999999283e+00	9.937436699999999679e-01	-8.504099499999999943e-04	9.605826100000000034e-01	-2.461967099999999922e-02	1.027063899999999919e+00	2.233515000000000153e-02
9.603611199999999570e+00	9.944980700000000118e-01	-3.934321099999999773e-04	9.621394300000000177e-01	-2.185852500000000018e-02	1.026711699999999894e+00	2.058797000000000058e-02
1.014043599999999934e+01	9.952353600000000133e-01	1.913968799999999956e-05	9.637247500000000189e-01	-1.903155999999999945e-02	1.026511900000000033e+00	1.873938500000000076e-02
1.070726799999999912e+01	9.961337500000000400e-01	2.933224599999999997e-04	9.653809500000000154e-01	-1.650029399999999868e-02	1.026479900000000001e+00	1.709559700000000057e-02
1.130578500000000020e+01	9.968184599999999618e-01	5.229187699999999963e-04	9.672546699999999831e-01	-1.428793000000000077e-02	1.025990900000000039e+00	1.530446300000000079e-02
1.193775800000000054e+01	9.975625299999999473e-01	7.413321199999999911e-04	9.690692100000000142e-01	-1.233255400000000078e-02	1.025592899999999918e+00	1.388237500000000062e-02
1.260505700000000040e+01	9.982906900000000361e-01	9.159929200000000316e-04	9.712022599999999839e-01	-1.055813000000000064e-02	1.025129100000000015e+00	1.242695599999999942e-02
1.330965699999999963e+01	9.989821899999999921e-01	1.066370099999999895e-03	9.729414100000000065e-01	-9.018988199999999553e-03	1.024892099999999973e+00	1.117157099999999993e-02
1.405364299999999922e+01	9.997152299999999547e-01	1.193898000000000095e-03	9.748287300000000322e-01	-7.759383899999999779e-03	1.024455499999999963e+00	1.010417899999999959e-02
1.483921600000000041e+01	1.000264499999999890e+00	1.308145099999999958e-03	9.763463300000000400e-01	-6.810520300000000131e-03	1.024203500000000044e+00	9.228748400000000296e-03
