mass_1	phi_12	tilt_2	chi_eff	mass_1_source	mass_ratio	ra	chirp_mass_source	total_mass_source	phi_2	phi_1	chirp_mass	psi	theta_jn	geocent_time	dec	phi_jl	iota	luminosity_distance	total_mass	tilt_1	chi_p	a_1	a_2	mass_2_source	mass_2	phase	redshift
1.581086182964648401e+02	5.154547015994404902e+00	1.761293179931218367e+00	1.817993204683556255e-02	8.669781184661019324e+01	7.197186897528831118e-01	2.570049520413817845e+00	6.385785445317749520e+01	1.490958473932944628e+02	9.560357353813806469e-01	2.084674026566563754e+00	1.164559626122030238e+02	1.203711425160695736e+00	2.253162048012337326e+00	1.266214786640868902e+09	-1.733308224961342958e-01	3.560866464253122032e+00	2.255659522354418467e+00	5.344041886019858794e+03	2.719023458954352463e+02	1.017083312288561830e-01	1.786890466272630582e-02	3.505556233949806699e-02	2.649051158491225189e-02	6.239803554668426955e+01	1.137937275989703920e+02	5.530518790872394952e+00	8.236748417157053748e-01
1.767848998957531421e+02	2.511431359756576276e-01	1.024545658957385141e+00	2.550935044253573314e-01	8.522348995079768486e+01	4.312724614664633638e-01	2.552480963589118801e+00	4.789232139518155407e+01	1.219780342366406103e+02	6.756473193701548752e-01	4.245041833944966925e-01	9.934630990247495674e+01	7.807515396123849705e-01	2.253783583324393103e+00	1.266214786646309853e+09	-4.176844577417659909e-01	6.618388080287757047e-01	2.137967137317615673e+00	7.414122066958961113e+03	2.530273588238969182e+02	7.992444951908409534e-01	2.709142806789000546e-01	2.589884809815716782e-01	8.236411601227695556e-01	3.675454428584292543e+01	7.624245892814377612e+01	3.372365459447709490e+00	1.074368228733848296e+00
1.472780129200229737e+02	4.807361326788413269e-02	5.846128664017623544e-01	3.927601945200351885e-01	7.350688052395231864e+01	8.606129669097839496e-01	3.102821887848335791e+00	5.933097908298731937e+01	1.367678550599539449e+02	3.849634353868691683e+00	3.801560740600807620e+00	1.188752487067449692e+02	1.910132101291098783e+00	1.119413671944820887e+00	1.266214786654059410e+09	2.008694513286195527e-01	4.717216603553952226e+00	1.261841219211790488e+00	6.816054215922886215e+03	2.740273805797014575e+02	7.453845093393225429e-01	2.900521226696871624e-01	3.851273914833561740e-01	6.239104527378657172e-01	6.326097453600161913e+01	1.267493676596784695e+02	4.033232421772014575e+00	1.003594927035874607e+00
1.404971635850289147e+02	1.481502861172400376e+00	1.675987473318376164e+00	-1.344009345594008309e-01	7.317344632021141138e+01	8.279619697217186491e-01	3.370294433122694500e+00	5.791169976827036692e+01	1.337582770668200851e+02	5.184742288029169366e+00	3.703239426856768102e+00	1.111937453406835203e+02	1.843685092281293292e+00	2.575315328729084197e+00	1.266214786645201206e+09	4.003105246038458631e-01	4.758663706943117688e+00	2.784060999137332182e+00	6.123465724137628968e+03	2.568234718872039934e+02	2.248855588865257271e+00	5.747905185656203564e-01	2.922745920785187468e-01	7.171091509655593832e-01	6.058483074660868084e+01	1.163263083021750646e+02	3.159116785928392623e+00	9.200566687839856206e-01
1.402586605701866915e+02	5.093350905778757820e+00	2.112191495490784110e+00	-2.362609372089542470e-01	7.389589552698600983e+01	8.042481103365131112e-01	2.577272293047940366e+00	5.762289773915089341e+01	1.333265298661889062e+02	4.928359028272755182e-01	1.682670304228103930e+00	1.093715746649912433e+02	2.201813829709128534e+00	2.676224655185004853e+00	1.266214786636337996e+09	-5.931106014520510783e-01	1.664165437233090072e+00	2.507476577133534779e+00	5.943636714175661837e+03	2.530614232920897280e+02	2.533141408022650864e+00	4.331388812919275133e-01	1.920870435552106958e-01	6.482233624751819745e-01	5.943063433920289640e+01	1.128027627219030506e+02	4.040812962453134816e+00	8.980575249807438709e-01
1.327834582460669424e+02	1.554098191167433418e+00	2.395695546278167942e+00	-2.781867687759086438e-01	6.128490517982375252e+01	8.191640272778292209e-01	4.754203919876452744e+00	4.823937474555581417e+01	1.114872949182680628e+02	3.184902901819178123e+00	1.630804710651744927e+00	1.045182493723050214e+02	1.457313365042318676e+00	4.349483106862777615e-01	1.266214786616990805e+09	-1.272586112107325196e+00	4.390294903376043223e+00	5.973050805096788984e-01	8.208338403769288561e+03	2.415548906587926012e+02	3.456323907947737029e-01	4.979581138920745609e-01	5.143991542670631884e-02	9.215603905759858216e-01	5.020238973844431740e+01	1.087714324127256731e+02	4.471103497480884315e+00	1.166658459476282106e+00
2.002259356249591349e+02	5.942645352410202975e+00	2.340678899833660509e+00	2.916934358822830808e-01	8.929500362027491178e+01	4.685278909906888112e-01	3.315923536501145463e+00	5.246769542795265551e+01	1.311322033424882250e+02	6.215484191398259028e+00	2.728388389880551657e-01	1.176481659804973106e+02	2.438849993558678264e+00	2.403886068647401064e+00	1.266214786646559715e+09	4.535051974188295532e-01	2.563201115961382559e+00	2.241626469266905453e+00	8.870429864984940650e+03	2.940373709649586544e+02	8.618363068748877698e-01	5.214595368767211969e-01	6.869993368274247558e-01	5.797681427025366818e-02	4.183719972221332739e+01	9.381143533999953377e+01	5.247658719560948093e+00	1.242297189173267036e+00
1.745859995287437982e+02	6.163619006826571045e+00	1.347543336045007867e-01	2.479515991588158441e-01	8.701433798600099578e+01	6.426190544604274413e-01	2.397673208316632554e+00	6.043041940298770953e+01	1.429314095870649908e+02	2.145126186439583194e-01	3.340789189969726181e-01	1.212478933656790190e+02	5.203541533219685489e-01	2.599029548768981623e+00	1.266214786644885063e+09	-6.117126512717141473e-02	1.807606839707200042e+00	2.545794805763733404e+00	6.839608564034794654e+03	2.867782894679337460e+02	9.408312267686244068e-01	1.056325558374369006e-01	1.307255841522300399e-01	5.186571727884714544e-01	5.591707160106401631e+01	1.121922899391899762e+02	4.621451660616578749e+00	1.006404962327374752e+00
1.584494080922840737e+02	2.938917847155175789e+00	2.320637678797603076e+00	-8.846881637608029975e-04	9.276549295745316215e+01	7.043929633110023181e-01	2.876197125318071812e+00	6.757118193865773037e+01	1.581088534347595100e+02	5.426828407769381357e+00	2.487910560614205124e+00	1.154159099568083633e+02	7.437255905472393014e-01	1.077938184595202520e+00	1.266214786637749910e+09	-1.770106507153483832e-01	5.353878569398379916e+00	1.104140325102402675e+00	4.440128237734396862e+03	2.700600561932823780e+02	9.598080747330420825e-01	1.634311648259385019e-01	1.995298010870900918e-01	2.415814865592753879e-01	6.534336047730634789e+01	1.116106481009982900e+02	5.773507772831452556e+00	7.080640984138014682e-01
4.746343947007719635e+02	2.407006908637568277e+00	1.721148717738596012e+00	3.748553704142583154e-01	3.479545092965607864e+02	5.465740944895119968e-02	2.531113008727629676e+00	6.018518694183407547e+01	3.669728013807917932e+02	3.973286236801665705e+00	1.566279328164096540e+00	8.209682303540294868e+01	2.527835538537346771e+00	2.357415365042347055e+00	1.266214786666017056e+09	-2.754067072963843898e-01	7.153206064026742528e-01	1.588530491713181281e+00	2.001322660652817149e+03	5.005766811504871612e+02	1.119275414722541440e+00	8.193873272608312996e-01	9.106483962925134845e-01	2.447002295342792233e-01	1.901829208423102102e+01	2.594228644971520836e+01	2.583122055119555505e+00	3.640702506207275091e-01
