phi_2	total_mass_source	luminosity_distance	chirp_mass	phi_jl	mass_1	psi	mass_2	tilt_2	a_1	chirp_mass_source	mass_2_source	a_2	iota	mass_1_source	mass_ratio	chi_eff	phase	theta_jn	phi_1	chi_p	dec	phi_12	total_mass	geocent_time	ra	tilt_1	redshift
5.968845259198281461e+00	6.260109309770948727e+01	1.095162295077146382e+03	3.309465446831433866e+01	1.196479507919490093e+00	3.910383406081118096e+01	1.182095271255890978e+00	3.696384418091141555e+01	1.519124130972137277e+00	5.878263528897947898e-02	2.723576679735080930e+01	3.041997737153573311e+01	5.661704243621287214e-01	7.463469342495656633e-01	3.218111572617375060e+01	9.452741673215003804e-01	-7.650270882558261529e-03	4.673524056484200884e+00	8.752437156530405993e-01	4.757296162665039851e+00	5.301931127913437347e-01	9.064026486263861981e-01	1.211549096533241610e+00	7.606767824172260362e+01	1.262879936106847286e+09	4.500286427303571202e+00	2.379521869764361419e+00	2.151174121351860646e-01
4.312588379761592705e+00	6.190192951955018685e+01	1.519155541360315283e+03	3.412881217983093762e+01	5.583412519585297940e-01	4.628750695032776008e+01	1.174703407985061565e+00	3.338109368354022166e+01	1.657211805330392140e+00	1.185122151163262166e-01	2.651784152518118987e+01	2.593686963299791515e+01	9.620609264907868940e-01	4.305329884680050290e-01	3.596505988655227526e+01	7.211685373196331517e-01	2.551838549209612186e-02	5.456548499995860446e+00	4.993386909282672148e-01	2.862773385783569324e+00	6.599489970422419693e-01	7.515566585814810185e-01	1.449814993978022271e+00	7.966860063386798174e+01	1.262879936107036114e+09	4.766787141254816618e+00	5.035375845250503746e-01	2.870132038243917716e-01
4.594351076488743857e+00	6.012033399656814225e+01	1.862862913905529695e+03	3.509638528215999997e+01	4.275137289147989961e+00	4.193084467636911228e+01	1.204260059024504725e+00	3.877360666896741037e+01	2.061966909317707763e+00	8.289449158594792699e-01	2.614485781220323801e+01	2.888418351566655318e+01	2.956101080525997404e-01	2.402979217612337126e-01	3.123615048090158908e+01	9.247036869452567309e-01	7.482250558306823007e-02	5.378211170171701028e+00	8.051527409595404805e-02	2.111006382446689145e+00	7.827218760538929843e-01	6.231959130972742900e-01	2.483344694042055600e+00	8.070445134533652265e+01	1.262879936107778311e+09	4.459004991483006108e+00	1.235274764659582747e+00	3.423819526675183633e-01
6.199075356154919447e+00	6.370347032494599659e+01	1.562672723286717655e+03	3.579743382103319504e+01	1.987632504085075302e+00	4.384904665702922699e+01	1.606343521339526070e+00	3.859307559960391387e+01	6.071719757849838306e-01	4.417508719180437970e-01	2.766086923416054688e+01	2.982107664034519701e+01	6.673363616816356814e-01	4.090518925111498727e-01	3.388239368460079959e+01	8.801348841507194987e-01	1.658242229630944309e-01	4.939530826638540262e+00	5.661525880235172004e-01	6.601013978814513905e-01	4.074816284399286337e-01	3.545408873417619233e-01	5.538973958273468945e+00	8.244212225663314086e+01	1.262879936105799913e+09	5.013539886377465393e+00	1.967281473196909047e+00	2.941543347026914779e-01
3.849454505210115673e+00	6.415995187108849507e+01	8.759695082729498381e+02	3.257174633645687578e+01	9.421289634450471517e-01	4.214893531607544475e+01	1.535469448789420932e+00	3.330496926717591322e+01	1.066744134844730185e+00	3.396929720446582035e-01	2.769640204634622904e+01	2.831987604952132997e+01	4.636761377478252344e-01	5.736856617707927208e-01	3.584007582156716154e+01	7.901734413318269867e-01	-4.327238022060785061e-02	1.229211945965025921e+00	5.919981123099853360e-01	9.690712622889519068e-01	3.102514582730554471e-01	-3.583724958457668031e-01	2.880383242921164211e+00	7.545390458325135796e+01	1.262879936099212408e+09	4.765921820383290708e+00	2.417306147596766319e+00	1.760280733198633374e-01
2.732598417145794656e+00	6.461863777178612622e+01	8.238240631110525101e+02	3.163228351615993716e+01	4.140782140496685138e+00	4.685207416103408917e+01	1.718039561031698970e+00	2.852571588262848579e+01	1.096308510554949267e+00	1.152666067062091820e-01	2.711720613248509082e+01	2.445405869199308313e+01	1.197984843682725065e-01	7.424739311527946972e-01	4.016457907979304309e+01	6.088463828641494935e-01	-1.013240256792367379e-02	3.541305578757190542e+00	7.000861605786701247e-01	4.104361124312632114e+00	1.040367740803414959e-01	-2.508541706166247387e-01	4.911422600012746997e+00	7.537779004366257141e+01	1.262879936100815535e+09	4.850399150461079500e+00	2.015878841012471945e+00	1.665023071188002912e-01
2.493108399618524373e+00	6.544692081157683106e+01	7.443761619362796864e+02	3.181399029600420647e+01	3.424159018727415127e+00	4.613397930374971168e+01	2.843258236224283642e-01	2.924818013119146443e+01	1.837507932831419000e+00	1.447209923602490733e-01	2.762096123552746718e+01	2.539332042591433591e+01	6.122098367972528266e-01	2.516709250723842661e+00	4.005360038566249870e+01	6.339834666899026860e-01	-8.170145139550281932e-02	3.473641348527856554e+00	2.491020421401529017e+00	3.679921559078632054e+00	3.511883508773052665e-01	-3.853931928809122276e-01	5.096372147719477219e+00	7.538215943494117255e+01	1.262879936097288609e+09	5.020236792565619055e+00	1.788108955855773674e+00	1.518060513796839484e-01
2.395658146105462905e+00	5.941821430306874419e+01	1.346587026379104600e+03	3.243959373873186536e+01	9.322339953176287386e-01	4.010527808050076004e+01	1.646132128415834117e+00	3.465958199532767736e+01	1.380786323702125173e+00	3.903816056308830884e-01	2.578086457618638505e+01	2.754516585150371455e+01	4.812691304294275940e-01	1.706140973995368681e-01	3.187304845156502964e+01	8.642149775338227036e-01	-6.529156358996880682e-02	7.270376702473245745e-01	2.849927694440247405e-01	2.766246528355196688e+00	4.000221114501000819e-01	9.457895504178216450e-01	5.912596924929854225e+00	7.476486007582843740e+01	1.262879936105340958e+09	4.137849098012146953e+00	2.109490374913393751e+00	2.582818408928033715e-01
3.548611841581970072e+00	6.019274112496299267e+01	1.430076174023378826e+03	3.332362454130030471e+01	3.798478734601982598e+00	3.915907222453067504e+01	2.373415591254583124e+00	3.742215238408368805e+01	1.109042364222149857e+00	3.667691287242715037e-02	2.619232475859785225e+01	2.941376221529742097e+01	2.440294247127832994e-01	5.239717220741334502e-01	3.077897890966557526e+01	9.556445098982984110e-01	3.599539769671611378e-02	3.483517916612066223e+00	4.930329158329925798e-01	7.213164933429849768e-01	2.074337671819059814e-01	5.436596809257854268e-01	2.827295348238985540e+00	7.658122460861436309e+01	1.262879936106888771e+09	4.923992587528836395e+00	2.722526915545884663e+00	2.722667746535764044e-01
5.624817314139128221e+00	6.822942648859704207e+01	1.003633944628218842e+03	3.560778354651471744e+01	2.060915968445976354e+00	4.095526642998745359e+01	1.510786833018288089e+00	4.085001958337917927e+01	1.489980083871351058e+00	3.237632467901490063e-01	2.969855333690577481e+01	3.407082285326288940e+01	3.033151441686144367e-01	2.819617369457948719e+00	3.415860363533414557e+01	9.974301999282999542e-01	1.448841896617790725e-01	6.060944989404923322e-02	2.852799466977180121e+00	2.917922855361835488e+00	3.014374273835579432e-01	8.182077118080357536e-01	2.706894458777293622e+00	8.180528601336663996e+01	1.262879936097967625e+09	3.279318686297109764e+00	6.121481620571238569e-01	1.989736719689192690e-01
