#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.042485399999999895e+00	-1.315947600000000051e-01	7.471653499999999504e-01	-4.192463900000000243e-01	1.356513700000000044e+00	1.300502799999999903e-01
5.279491000000000156e+00	1.052163799999999982e+00	-1.325504299999999969e-01	7.804675399999999597e-01	-3.988678700000000132e-01	1.336092400000000069e+00	1.117098200000000013e-01
5.574605000000000032e+00	1.060572300000000023e+00	-1.316566100000000072e-01	8.149262299999999737e-01	-3.769334300000000137e-01	1.314925700000000086e+00	9.375326500000000229e-02
5.886215299999999928e+00	1.066589199999999904e+00	-1.325457800000000019e-01	8.411139100000000202e-01	-3.564097099999999907e-01	1.293165200000000015e+00	7.517311999999999605e-02
6.215244099999999605e+00	1.069411200000000006e+00	-1.318809200000000126e-01	8.658078000000000163e-01	-3.367503199999999919e-01	1.272670100000000026e+00	5.934953400000000240e-02
6.562665100000000251e+00	1.067862499999999937e+00	-1.287696799999999975e-01	8.868193899999999852e-01	-3.155561000000000060e-01	1.253211499999999923e+00	4.285467500000000179e-02
6.929506199999999616e+00	1.066165000000000029e+00	-1.243304100000000023e-01	9.020998500000000364e-01	-2.924725699999999873e-01	1.233815499999999954e+00	2.971743799999999880e-02
7.316853100000000332e+00	1.060794400000000026e+00	-1.179673599999999933e-01	9.110831200000000241e-01	-2.676512400000000125e-01	1.214396500000000101e+00	2.049302500000000152e-02
7.725851999999999720e+00	1.054321899999999923e+00	-1.091991699999999982e-01	9.172441399999999856e-01	-2.417401100000000080e-01	1.193094700000000064e+00	1.364090199999999989e-02
8.157713100000000495e+00	1.045650200000000085e+00	-9.918340600000000173e-02	9.210871999999999948e-01	-2.156883599999999956e-01	1.173894800000000016e+00	1.002638599999999998e-02
8.613714599999999777e+00	1.037123299999999970e+00	-8.776528699999999739e-02	9.235030400000000528e-01	-1.886939400000000044e-01	1.155559000000000003e+00	7.382996200000000245e-03
9.095205699999999283e+00	1.029730299999999987e+00	-7.572509500000000615e-02	9.267516700000000274e-01	-1.618171099999999862e-01	1.137188099999999924e+00	6.461806500000000231e-03
9.603611199999999570e+00	1.023130899999999954e+00	-6.301613500000000090e-02	9.287276300000000262e-01	-1.356138600000000027e-01	1.120973199999999892e+00	6.795361500000000367e-03
1.014043599999999934e+01	1.017066400000000037e+00	-5.041247299999999931e-02	9.318296799999999935e-01	-1.108350899999999972e-01	1.104958499999999955e+00	8.223704999999999557e-03
1.070726799999999912e+01	1.011907799999999913e+00	-3.903872700000000223e-02	9.354069699999999488e-01	-8.933330999999999911e-02	1.090870699999999971e+00	9.071825299999999176e-03
1.130578500000000020e+01	1.006904699999999986e+00	-2.913591199999999992e-02	9.393157800000000446e-01	-6.990930300000000597e-02	1.077095700000000100e+00	1.043763099999999930e-02
1.193775800000000054e+01	1.003011099999999933e+00	-2.068361700000000136e-02	9.439090199999999875e-01	-5.306715299999999885e-02	1.063562300000000072e+00	1.118101799999999917e-02
1.260505700000000040e+01	1.000219399999999981e+00	-1.386999400000000007e-02	9.499273599999999984e-01	-3.881068399999999807e-02	1.052454299999999954e+00	1.160822400000000032e-02
1.330965699999999963e+01	9.982274300000000267e-01	-8.356864800000000579e-03	9.556491599999999975e-01	-2.749717800000000059e-02	1.042076599999999909e+00	1.111624599999999977e-02
1.405364299999999922e+01	9.971405800000000541e-01	-4.388586100000000344e-03	9.610431499999999572e-01	-1.914540199999999887e-02	1.033550799999999992e+00	1.049594000000000048e-02
1.483921600000000041e+01	9.963113300000000505e-01	-1.907054999999999948e-03	9.654340200000000038e-01	-1.351464200000000032e-02	1.027903400000000023e+00	9.674118799999999185e-03
1.566870100000000043e+01	9.960004399999999869e-01	-7.053007899999999466e-04	9.679821800000000254e-01	-1.051908000000000010e-02	1.024625200000000014e+00	9.139194300000000326e-03
1.654455300000000051e+01	9.959195400000000475e-01	-2.589426500000000203e-04	9.673565499999999817e-01	-9.479178600000000635e-03	1.024744899999999959e+00	9.162090100000000806e-03
1.746936399999999878e+01	9.953444799999999759e-01	-2.712063300000000011e-04	9.643217099999999986e-01	-9.802797300000000782e-03	1.027167399999999953e+00	9.195388900000000393e-03
1.844586999999999932e+01	9.954615999999999465e-01	-5.151490200000000391e-04	9.599903600000000425e-01	-1.062951399999999963e-02	1.031412900000000077e+00	9.610776899999999567e-03
1.947696099999999930e+01	9.952575299999999459e-01	-6.365824499999999482e-04	9.558210900000000398e-01	-1.183936000000000016e-02	1.036504400000000103e+00	1.060392899999999979e-02
2.056568800000000152e+01	9.951495900000000283e-01	-4.887568599999999458e-04	9.510809199999999963e-01	-1.328806199999999979e-02	1.040928700000000040e+00	1.227776499999999951e-02
2.171527199999999880e+01	9.953289899999999690e-01	-2.536660200000000220e-04	9.475436200000000309e-01	-1.502644900000000075e-02	1.044961500000000099e+00	1.448074499999999973e-02
2.292911700000000152e+01	9.953677199999999559e-01	2.652810899999999894e-04	9.441782600000000469e-01	-1.720701399999999964e-02	1.048335000000000017e+00	1.782274500000000095e-02
2.421081300000000169e+01	9.958180899999999891e-01	8.414568999999999565e-04	9.420967599999999775e-01	-1.986456699999999964e-02	1.051565700000000048e+00	2.217378799999999983e-02
2.556415399999999849e+01	9.973222200000000370e-01	1.685326800000000068e-03	9.418793600000000543e-01	-2.323448900000000053e-02	1.054006599999999905e+00	2.717352899999999835e-02
2.699314400000000091e+01	9.986167700000000425e-01	2.067010599999999972e-03	9.433202899999999502e-01	-2.712697600000000056e-02	1.055282700000000018e+00	3.309923599999999716e-02
2.850201200000000057e+01	1.000738300000000081e+00	2.282602299999999997e-03	9.465562899999999669e-01	-3.237527300000000302e-02	1.055882999999999905e+00	3.982203699999999763e-02
3.009522300000000072e+01	1.002870099999999987e+00	2.015425600000000147e-03	9.512952199999999969e-01	-3.903552799999999989e-02	1.055009400000000097e+00	4.649591299999999983e-02
3.177749100000000126e+01	1.005032799999999948e+00	5.879461300000000208e-04	9.560077500000000450e-01	-4.725552599999999909e-02	1.054227000000000025e+00	5.334352600000000222e-02
3.355379599999999840e+01	1.007316799999999901e+00	-9.024945100000000180e-04	9.611275400000000024e-01	-5.774243999999999905e-02	1.053289700000000106e+00	5.969072200000000161e-02
3.542939200000000000e+01	1.007580799999999943e+00	-2.969810199999999879e-03	9.636659699999999829e-01	-7.137588699999999897e-02	1.053598899999999894e+00	6.763370000000000493e-02
3.740983200000000153e+01	1.008037400000000083e+00	-5.593900899999999614e-03	9.631971400000000072e-01	-8.624198700000000606e-02	1.055526699999999929e+00	7.493424699999999550e-02
3.950097399999999936e+01	1.006957199999999997e+00	-7.149204999999999623e-03	9.559041799999999922e-01	-1.003474699999999942e-01	1.059556299999999895e+00	8.227667800000000586e-02
4.170900699999999972e+01	1.002830600000000016e+00	-8.398331000000000199e-03	9.382024300000000316e-01	-1.051003799999999933e-01	1.070076699999999992e+00	8.267299300000000017e-02
4.404046499999999753e+01	9.985125500000000542e-01	-5.931450399999999706e-03	9.198136099999999482e-01	-9.142456499999999930e-02	1.082075600000000026e+00	7.196635899999999364e-02
4.650224699999999700e+01	9.968997899999999524e-01	-3.112246800000000209e-03	9.118335199999999530e-01	-7.060901599999999667e-02	1.086054700000000039e+00	5.782591100000000067e-02
4.910163899999999870e+01	9.974358700000000022e-01	-2.470778700000000102e-03	9.167093299999999889e-01	-5.324139499999999692e-02	1.081114600000000037e+00	4.752094899999999983e-02
5.184633199999999675e+01	9.999096800000000229e-01	-1.831488800000000096e-03	9.285649900000000345e-01	-4.728210099999999999e-02	1.072154899999999911e+00	4.352137600000000051e-02
5.474444799999999844e+01	1.001669799999999944e+00	-2.735184099999999913e-03	9.411235700000000204e-01	-4.529776499999999678e-02	1.062100800000000067e+00	4.162774400000000125e-02
5.780456399999999917e+01	1.002515199999999940e+00	-3.906033000000000161e-03	9.524870199999999620e-01	-4.565762100000000240e-02	1.052440899999999901e+00	3.972936900000000049e-02
6.103573500000000251e+01	1.002761699999999978e+00	-5.227470100000000154e-03	9.615762300000000318e-01	-4.544530299999999939e-02	1.043584199999999962e+00	3.804620000000000224e-02
