mass_ratio	phi_2	phi_jl	geocent_time	theta_jn	chi_p	phi_1	chirp_mass_source	phase	mass_1	a_1	mass_2	phi_12	mass_2_source	iota	mass_1_source	ra	dec	chirp_mass	tilt_1	total_mass_source	psi	luminosity_distance	total_mass	a_2	chi_eff	tilt_2	redshift
7.466373724076821317e-01	2.473085481790223028e+00	3.230749979588858789e+00	1.266238148154785395e+09	7.586417809998157180e-01	5.687285213648795024e-01	4.525327546225796027e+00	2.836447465267985280e+01	2.179313636836484491e+00	5.923299399999999792e+01	8.014083435489380847e-01	4.422556699999999807e+01	4.230943242744014121e+00	2.821364410530501488e+01	8.094261582574862057e-01	3.778761303405487837e+01	3.934069899999999897e+00	4.211687499999999806e-01	4.446199751757777818e+01	2.352575236854907104e+00	6.600125713935989324e+01	1.412825522895078345e+00	3.393589300000000094e+03	1.034585610000000031e+02	1.401173862438910567e-01	-2.823888888175327128e-01	8.196892591812346973e-01	5.675240970266673957e-01
6.698419011903987696e-01	1.787991822694719346e+00	2.221421604468917010e+00	1.266238148154785395e+09	2.384645438179499255e+00	2.856782944972344196e-01	4.758781831575991106e+00	2.744190809166411071e+01	5.360705349888026383e-01	6.474419399999999314e+01	3.138997400960942818e-01	4.336837400000000287e+01	3.312395298298316693e+00	2.590229830938879374e+01	2.283322071466591829e+00	3.866927145548365985e+01	3.796926899999999883e+00	1.301788100000000059e-01	4.594615192743481913e+01	1.998081627418051953e+00	6.457156976487245004e+01	2.950905928062357297e+00	4.183197799999999916e+03	1.081125679999999960e+02	7.671443884391295452e-03	-7.492262123525220141e-02	2.556422938662468169e-01	6.743060203379823703e-01
5.157823281893308964e-01	2.229952887188977328e-01	6.725347437919019233e-01	1.266238148154785395e+09	2.439181810312600174e+00	5.692896330506606040e-01	2.942949019536325039e-01	3.071314575731690155e+01	3.808357644936904762e+00	6.434529100000000312e+01	9.561479732345949945e-01	3.318816400000000044e+01	6.211885693944853237e+00	2.561169091099710116e+01	2.068921523269950935e+00	4.965600702317138371e+01	2.960732700000000772e+00	-7.190986900000000404e-01	3.979873573720455937e+01	2.503830363719781626e+00	7.526769793416848131e+01	1.819652570495821298e+00	1.572863800000000310e+03	9.753345500000000357e+01	1.837389370682740719e-01	-5.589836019138608725e-01	2.558297392851289764e+00	2.958208856780214502e-01
8.558337685673902406e-01	1.483981010224949770e+00	2.225028301478672699e+00	1.266238148154785395e+09	1.230428090483000503e+00	7.128464265159749624e-01	2.902607152341349916e-01	3.082601774147093110e+01	4.340658765400100094e+00	6.971153300000000286e+01	4.188410208397779777e-01	5.966148400000000152e+01	1.193720294990815223e+00	3.277789094450725571e+01	1.031349180388211106e+00	3.829936624185242522e+01	3.948885499999999826e+00	5.351378100000000471e-01	5.610873400549510137e+01	2.278479875377596109e+00	7.107725718635967382e+01	2.858782295327372491e+00	5.316159399999999550e+03	1.293730170000000044e+02	9.714229948633704703e-01	6.880229865183992710e-02	1.068902995397942091e+00	8.201745835632465731e-01
4.199475988394926751e-01	2.114254849650670565e+00	5.061503436433828496e-01	1.266238148154785395e+09	2.102723836900063148e+00	7.717082014223985986e-01	5.007793409613361391e-01	3.130821559937532328e+01	3.303119795740633524e+00	7.639830800000000011e+01	8.811514694643790557e-01	3.208328600000000108e+01	1.613475508689334870e+00	2.373508658527706316e+01	1.746554668631004503e+00	5.651916251186569440e+01	4.025934599999999364e+00	6.407415800000000328e-01	4.232006618621292660e+01	2.074511893992241340e+00	8.025424909714276112e+01	1.903725667679916800e+00	1.922246200000000044e+03	1.084815940000000012e+02	1.766856345813239415e-01	-2.773536298390656962e-01	1.132508665053499897e+00	3.517239924416936669e-01
7.178520608063762021e-01	9.347992789694821170e-01	5.341502645968473573e+00	1.266238148154785395e+09	3.102332823291079400e+00	9.058495857663831918e-01	8.524552085904657517e-01	3.035882867775239191e+01	3.773745034612051796e+00	8.602545200000000136e+01	9.821123359706571687e-01	6.175354800000000211e+01	8.234407037901614324e-02	2.962757757883852960e+01	2.796473374267544720e+00	4.127253956136495816e+01	1.711057300000000003e+00	-9.635489600000000099e-01	6.327771411573008464e+01	1.174114920967064490e+00	7.090011714020347711e+01	2.706295331786978231e+00	7.499061200000000099e+03	1.477789999999999964e+02	5.636104241182967600e-01	3.391155494134552861e-01	1.044891722656169142e+00	1.084326598611538683e+00
2.077526658771984835e-01	2.124688761306986251e+00	5.101390206265729255e+00	1.266238148154785395e+09	1.957994231383669126e+00	6.458921592945124912e-01	5.233486954642217803e+00	1.913765050373421772e+01	4.507813059810953149e+00	7.173942599999999459e+01	8.931950484098839516e-01	1.490405699999999989e+01	3.174387113844354236e+00	1.059992670387658364e+01	2.763296884634468764e+00	5.102185649036218962e+01	4.188010000000000232e+00	9.185760499999999773e-01	2.690854775905386731e+01	2.333275906649768583e+00	6.162178319423876616e+01	1.493740626192403553e+00	2.275165100000000166e+03	8.664348299999997494e+01	8.062812106873326057e-01	-4.590794985690175856e-01	1.188491491293026225e+00	4.060528356813370432e-01
7.763716507628779517e-01	2.254101888344701266e+00	1.371955729318955264e+00	1.266238148154785395e+09	3.921244931774884868e-01	6.812137722683554442e-01	4.736193809815267386e+00	2.484970350697226493e+01	1.518716343323084805e+00	6.138065699999998515e+01	3.442039329841622419e-01	4.765420200000001216e+01	3.801093385709020112e+00	2.519160543693887533e+01	2.689165249338127395e-01	3.244786876515274088e+01	4.286322700000000374e+00	9.456101099999999482e-01	4.700743640677077906e+01	1.534854003226246100e+00	5.763947420209161976e+01	1.089021518843709124e+00	5.891630000000000109e+03	1.090348589999999973e+02	9.181191695128032570e-01	-4.766710448934839001e-02	1.707363946611985650e+00	8.916699104108646301e-01
9.726017987058144243e-01	3.923001165241299493e+00	4.597630920399375043e+00	1.266238148154785395e+09	2.190413560977917395e+00	3.793151142708465207e-01	1.653583814651444328e+00	2.828010337033161647e+01	4.057226230480063478e+00	5.048440899999999942e+01	1.398545436584435753e-01	4.910122700000000151e+01	2.269417350589854721e+00	3.203781615398433757e+01	2.305086476845333632e+00	3.294032171914059148e+01	2.046533000000000158e+00	-9.088952799999999721e-01	4.334214818188935681e+01	2.319505999513908456e+00	6.497813787312492195e+01	1.897165293243396000e+00	3.143537400000000162e+03	9.958563599999999383e+01	9.002649007419978311e-01	-4.479588804879380826e-01	2.691633395478906898e+00	5.326021837444622209e-01
8.427003840745489471e-01	5.087801889906788944e+00	1.816094909653779954e+00	1.266238148154785395e+09	2.497255412695848609e+00	5.852844033145233882e-02	2.956054315054126747e+00	2.665597554774526756e+01	1.642536181009329965e+00	5.987743799999999794e+01	1.215931959384637245e-01	5.045873999999999882e+01	2.131747574852662197e+00	2.812903305176943647e+01	2.481350350454501363e+00	3.337963715616511706e+01	4.286625500000000422e+00	8.992484099999999980e-01	4.781632333875863594e+01	5.021900580693683391e-01	6.150867020793455708e+01	1.654643783123641132e+00	5.107311900000000605e+03	1.103361780000000039e+02	5.750165534753826774e-02	3.518248419341568622e-02	2.609173269182946342e+00	7.938313025952353774e-01
