mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.977095799999999315e+01	5.662433200000000255e+01	6.491717411421910811e+01	1.211460899999999841e+00	-8.166206599999999982e-01	1.266238148154785395e+09	1.736925254761032100e+00	1.054770343450016190e+00	4.793787826520183870e-01	8.284911099999999351e+03	1.563952899999999886e+02	5.675432323702855886e-01	1.534171721588275250e-01	4.800710388156381181e-01	6.953370217465004721e-01	2.648350644840505641e+00	8.034125479118915392e-01	1.085318784357415467e+00	1.919794701474603349e-01	4.586193136879417409e+01	2.602862877178964496e+01	7.189056014058381550e+01	2.984061738569633704e+01	7.493566606584013412e-01	6.699354272688351486e-01	1.332341882599116900e+00	2.135754430511008550e+00	1.175463505836719325e+00
9.939511899999999400e+01	3.828760100000000222e+01	5.253854492287964462e+01	4.012433299999999647e+00	7.010527100000000233e-01	1.266238148154785395e+09	3.824390580393272732e+00	1.327146029409907557e+00	1.667216718261074870e+00	3.274556599999999889e+03	1.376827199999999891e+02	3.852060481963909266e-01	4.262061631154132058e-01	7.394462528683141134e-01	9.261232118437150440e-01	1.410178546380926656e+00	9.300835530618319913e-01	1.695675438875501984e+00	1.961975865471966340e+00	6.408561438398234600e+01	2.468616626309162498e+01	8.877178064707396743e+01	3.387455001913321695e+01	9.251216374639045226e-01	5.590976524982013141e-01	1.205358821751685738e+00	2.135442374813518285e+00	5.509739581250382434e-01
9.939511899999999400e+01	3.828760100000000222e+01	5.253854492287964462e+01	3.024494799999999817e+00	-9.790035999999999738e-01	1.266238148154785395e+09	3.568028104635848408e+00	6.050149802314506164e-01	2.012438061384062227e+00	2.187655699999999797e+03	1.376827199999999891e+02	3.852060481963909266e-01	4.262061631154132058e-01	7.394462528683141134e-01	9.261232118437150440e-01	1.410178546380926656e+00	9.300835530618319913e-01	1.000925114541951100e+00	1.667941273219597287e+00	7.136549875779165575e+01	2.749042175405336508e+01	9.885592051184502793e+01	3.772257129074868232e+01	9.251216374639045226e-01	5.590976524982013141e-01	1.205358821751685738e+00	2.135442374813518285e+00	3.927614986246849016e-01
9.938615400000000477e+01	4.152574500000000057e+01	5.490304819507910139e+01	3.626936900000000019e+00	1.068378499999999981e-01	1.266238148154785395e+09	3.602331061338771789e+00	2.596937932377601399e+00	2.686291281351059990e+00	4.936931999999999789e+03	1.409118990000000053e+02	4.178222350771316207e-01	2.312268297679903883e-01	5.907619035955600229e-01	1.151884120393943167e+00	7.070747598433025916e-01	5.053179077418705312e+00	2.351340110026848063e+00	4.089734349782224498e+00	5.608160465648730053e+01	2.343214140428559134e+01	7.951374606077288831e+01	3.098068412338900401e+01	6.466789668827092052e-01	2.039657570559321176e-01	3.361154716714884749e+00	2.131148486954005605e+00	7.721702973508517420e-01
9.938615400000000477e+01	4.152574500000000057e+01	5.490304819507910139e+01	1.680672100000000446e+00	-1.057687000000000044e+00	1.266238148154785395e+09	2.829365904461615955e+00	5.042823429205275376e-01	2.968424263043712763e+00	5.399310199999999895e+03	1.409118990000000053e+02	4.178222350771316207e-01	2.312268297679903883e-01	5.907619035955600229e-01	1.151884120393943167e+00	7.070747598433025916e-01	5.053179077418705312e+00	6.346218329357096177e-01	2.511885209390387175e+00	5.429152391317758486e+01	2.268420586714739429e+01	7.697572978032498270e+01	2.999180503543258425e+01	6.466789668827092052e-01	2.039657570559321176e-01	3.361154716714884749e+00	2.131148486954005605e+00	8.306016636950045440e-01
9.904485300000000336e+01	2.365570100000000053e+01	4.018753196159900654e+01	3.645644799999999908e+00	2.640850200000000210e-03	1.266238148154785395e+09	4.175828848097871138e-01	5.985670196892149963e-01	7.801926852844355276e-01	2.794568000000000211e+03	1.227005539999999968e+02	2.388382665376866942e-01	2.343138961713002455e-01	6.863804864177005527e-01	1.214089413355076807e+00	1.418771740751152866e+00	2.306334322684611582e+00	1.062473226897362677e+00	1.988694492034428718e+00	6.679528084527397880e+01	1.595326908998318594e+01	8.274854993525715940e+01	2.710224108115370711e+01	7.324893611340057564e-01	9.538071163406827147e-01	4.914080438805670248e+00	9.372294543106960418e-01	4.828121350283656188e-01
9.832461499999999432e+01	3.928050199999999847e+01	5.301230080269370148e+01	2.471908399999999784e+00	-9.152406199999999492e-01	1.266238148154785395e+09	7.730667614212402006e-01	2.782439182917893383e+00	2.550152519769749659e+00	4.507965199999999641e+03	1.376051169999999786e+02	3.994981521158256776e-01	8.920254059764033683e-02	7.306029803677838164e-01	1.414207774091946757e+00	1.546025334715280364e+00	4.154254439044816394e+00	2.822484965804929136e+00	5.708245276176905136e+00	5.726850731331871458e+01	2.287866284610247902e+01	8.014717015942117939e+01	3.087665622911329066e+01	7.396525978531932610e-01	9.591154502554470884e-01	3.289915399608990931e+00	1.160984531474221981e+00	7.169054968040526887e-01
9.766718299999999431e+01	4.360287900000000150e+01	5.591756731484161236e+01	4.378121900000000899e+00	9.672680900000000248e-01	1.266238148154785395e+09	1.832655397922720031e-01	2.964367974581151088e+00	9.245799742317624137e-01	5.998558799999999792e+03	1.412700620000000242e+02	4.464434998601321536e-01	5.574499854476011595e-02	7.785220713610051524e-01	1.219364083791538711e+00	2.601723682966224693e+00	4.393766978716264759e+00	2.785516019098236207e+00	5.151662261157547107e+00	5.127449575709444218e+01	2.289116533936073949e+01	7.416566109645519589e+01	2.935627894614191291e+01	8.292023938414674333e-01	5.348369218085928800e-01	3.598380794184812270e+00	1.708962465721491242e+00	9.047907065275541116e-01
9.620821399999999812e+01	3.708327100000000343e+01	5.087139313992828704e+01	4.104091500000000003e+00	7.163213400000000286e-01	1.266238148154785395e+09	5.599981733165835251e+00	2.890179277241170297e+00	2.776651973962021014e+00	4.442432099999999991e+03	1.332914850000000229e+02	3.854480761902513430e-01	1.074766794191462788e-01	6.213222694677678071e-01	1.299944561333948645e+00	1.745548280985481204e+00	5.395448996779697914e+00	2.972387973189150046e+00	4.527455329291349528e+00	5.631596443720505363e+01	2.170688015111929658e+01	7.802284458832436087e+01	2.977782715038529560e+01	6.448306314255619620e-01	3.524934790062970169e-01	5.581489052880366231e+00	4.693752742480477025e+00	7.083648475429498159e-01
9.620445300000000088e+01	3.927619599999999878e+01	5.248307858925321057e+01	4.831731300000000395e+00	1.102566900000000016e+00	1.266238148154785395e+09	4.755623272763652487e+00	1.809610460489372796e+00	7.038388461638593885e-01	4.042046200000000226e+03	1.354806490000000281e+02	4.082575678695454791e-01	3.791583483233180174e-01	7.030576066730873652e-01	7.944289702494558014e-01	2.042604726084164213e+00	3.621431564673620596e+00	1.532734372541906698e+00	4.969528482433328342e+00	5.810962783559995870e+01	2.372369532996647834e+01	8.183332316556645480e+01	3.170094594777279795e+01	9.854148152940129801e-01	8.435359889397761046e-01	3.460344729780234552e+00	7.985909872742693594e-01	6.555682179238091489e-01
