phi_12	total_mass_source	mass_2_source	theta_jn	phi_2	chi_p	mass_ratio	chirp_mass	chirp_mass_source	mass_1_source	dec	psi	luminosity_distance	mass_1	tilt_1	a_1	tilt_2	iota	total_mass	ra	a_2	chi_eff	mass_2	phi_1	phase	phi_jl	geocent_time	redshift
4.993031607983917652e+00	6.020990655222288268e+01	2.290259589267187934e+01	4.958792075945945288e-01	3.905617900879845728e+00	1.161092004666951089e-01	6.138902935585525134e-01	4.560001436153989118e+01	2.529726682981034003e+01	3.730731065955100689e+01	3.590512184974647969e-01	2.820199923734014291e+00	5.176369657262413057e+03	6.724892113092798240e+01	4.740742154628436733e-01	1.516735755851395528e-01	6.004042880275233252e-01	5.113622431528218604e-01	1.085323810654893038e+02	1.633101356458524833e+00	3.584622663711793944e-01	1.961202636227123985e-01	4.128345993456132135e+01	5.195771600075515195e+00	2.196783311536656402e+00	3.501713197490810447e+00	1.248617394648042202e+09	8.025668412448716538e-01
3.583360440246326384e+00	6.428555419513169511e+01	1.842527152826388459e+01	2.156779603560516456e+00	1.655843482065338712e+00	3.193239318454971221e-01	4.017696895177533256e-01	3.868837628437159282e+01	2.480205669365814458e+01	4.586028266686781052e+01	8.838955612936993944e-02	6.220947967653200905e-01	3.338535881719129065e+03	7.153680415451603380e+01	1.086848580499460093e+00	3.607507317678065317e-01	2.585787508887280151e+00	2.181094653021089957e+00	1.002781237487682660e+02	1.370225091962225861e+00	5.079927568772742985e-01	-3.941889652540545540e-03	2.874131959425223215e+01	4.355668348998598560e+00	2.105726029214734396e+00	3.354729709460130938e+00	1.248617394647269964e+09	5.598858095612757602e-01
2.458228412447124089e+00	6.860142922959731493e+01	3.295853510117203911e+01	9.267755602590699304e-01	2.724531547677072396e+00	4.967528225353934901e-01	9.246874000303906271e-01	5.151620683334789419e+01	2.983306565503831465e+01	3.564289412842526872e+01	4.406268830298873951e-01	1.977324855139460436e+00	4.584266721841853723e+03	6.154870998813947125e+01	2.367861655067279081e+00	1.343490485299857762e-01	8.366304326689995019e-01	9.708605608666978082e-01	1.184620266022967030e+02	1.638414899108198597e+00	7.317602629623686239e-01	1.856055234088293260e-01	5.691331661415722465e+01	2.663031352299487509e-01	4.940670594011626476e-02	5.824851255859375243e+00	1.248617394646389484e+09	7.268157228302699613e-01
4.395139899581496756e+00	7.395965679013730210e+01	3.220404023260931581e+01	9.200861887226153835e-01	3.186174884003281527e+00	7.030034284342663309e-01	7.712505020310458370e-01	4.774331480593142629e+01	3.186956820756706676e+01	4.175561655752799339e+01	-3.863114258417583713e-01	6.478685622309569014e-01	2.900640853251658427e+03	6.255345328928791560e+01	1.231606935297625105e+00	7.454772297392446845e-01	2.257836197588199756e+00	8.489972196350504818e-01	1.107978355424267960e+02	3.330675317744116626e+00	8.343138972511641160e-01	-9.037758111269789119e-02	4.824438225313888040e+01	5.074220291601371002e+00	1.505430221173831962e+00	2.716938562589672035e+00	1.248617394613720894e+09	4.980847714966945561e-01
4.883911758057609021e+00	6.546058281486216401e+01	3.062763187540152288e+01	4.215866383341987933e-01	1.071200735762723788e+00	4.282261231261362266e-01	8.792718115853026539e-01	5.082933298545516010e+01	2.842275937898304505e+01	3.483295093946063758e+01	-1.039226482060422896e+00	1.544940103805089837e+00	5.063940136316407916e+03	6.229288432414041665e+01	9.415888744579570258e-01	5.296588816967057189e-01	2.128747467727182929e+00	4.514243318082980516e-01	1.170652615727010613e+02	3.280565926956278133e+00	1.286439099299044667e-02	1.626788118234551161e-01	5.477237724856064460e+01	2.470474284884701888e+00	4.223561973342821574e+00	3.312607263714965278e+00	1.248617394612708092e+09	7.883321006137237186e-01
5.909375262983074251e+00	7.286641534370500040e+01	3.326284350258446665e+01	8.500983101526262686e-01	4.056954091241067317e-01	2.255776799505287700e-01	8.398950386603142304e-01	5.060168929429648443e+01	3.157262973635622672e+01	3.960357184112054085e+01	-9.523904482625891177e-01	2.724430475951585606e+00	3.649710309478789895e+03	6.347294013780214783e+01	9.878744961883717535e-01	2.701989091048997982e-01	1.313622656992759374e+00	7.816882824428064147e-01	1.167835476487252890e+02	3.362887215173195443e+00	4.358753601316846943e-02	8.589980506452812858e-02	5.331060751092314831e+01	7.795054533206178249e-01	4.016170911639538765e+00	1.608710639761410821e+00	1.248617394611159086e+09	6.027074626611823582e-01
2.755669299905308733e+00	6.205630547772308603e+01	1.956098054058557878e+01	2.415726515057103896e+00	4.578382604958640911e+00	9.118661123437975524e-01	4.603090003317247270e-01	4.790458415677068160e+01	2.473328956326961148e+01	4.249532493713751080e+01	-1.171373706369765344e+00	9.294486070773207986e-01	6.261446611896169088e+03	8.230691936520990737e+01	1.182718195042970821e+00	9.851217099464120164e-01	1.685226636553230239e+00	2.298826695178115553e+00	1.201935351385935462e+02	3.454722344546262036e+00	2.526435352223940778e-01	2.461818140006436506e-01	3.788661577338364594e+01	1.822713305053332178e+00	3.941201898268798409e+00	2.993376541430025739e+00	1.248617394616952181e+09	9.368464528030998606e-01
2.815290585220175501e+00	6.115997775808312298e+01	2.155420599782365443e+01	6.549405148608398175e-01	1.715339557510589863e+00	4.411663578595401702e-01	5.442188105383971575e-01	4.203035316372270813e+01	2.520465991966996455e+01	3.960577176025947921e+01	7.056099036937935054e-03	2.307372456749693379e-01	4.132279217469113064e+03	6.604511148775296192e+01	2.098374175644275752e+00	5.105920627962959868e-01	8.635699491758407342e-01	5.466572129986300155e-01	1.019881035034937042e+02	1.361445111217932435e+00	9.380928838645734569e-01	4.834200545871310956e-02	3.594299201574074942e+01	5.183234279470001482e+00	5.513561679365555968e+00	1.549427515376114561e+00	1.248617394646029472e+09	6.675627958352973179e-01
3.598264447747927530e+00	7.604764691031893165e+01	3.317958792880055086e+01	8.065975021435600745e-01	5.253391802163974944e+00	3.742395289050399199e-01	7.739932415205735827e-01	4.315593999241580292e+01	3.277824737248184306e+01	4.286805898151838079e+01	-1.280976755312448923e+00	2.886214230302130090e+00	1.701055721959173297e+03	5.644021658555421084e+01	1.770935447895436221e+00	1.805551121615292798e-01	1.865168163476629282e+00	8.491743114798860903e-01	1.001245627727305560e+02	1.205634862216271586e+00	5.239835019232048641e-01	-8.656400990881711610e-02	4.368434618717634521e+01	1.655127354416047858e+00	2.614704716605387613e+00	5.253089849340333295e+00	1.248617394622446299e+09	3.166030356048349925e-01
5.582048445723764907e+00	7.238676088732286473e+01	2.997186753200093534e+01	2.000940083085283927e+00	2.209187479225322548e+00	4.630153055958871056e-01	7.066354565816743705e-01	4.802148383651355346e+01	3.094621094592380572e+01	4.241489335532192939e+01	-9.708768609011624307e-01	9.679425188007837466e-01	3.280279345916711463e+03	6.581827155670978868e+01	8.372538758856119534e-01	6.233315915171347976e-01	1.510762004121815272e+00	2.039594938063548746e+00	1.123277959296020470e+02	3.453458349880911271e+00	2.978531218835503980e-01	2.519294810382446959e-01	4.650952437289225117e+01	2.910324340681142985e+00	3.728659500641565039e+00	3.412073293472796642e+00	1.248617394614731550e+09	5.517726522457792049e-01
