#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.917839000000000516e-01	-1.066639800000000055e-02	9.394177299999999509e-01	-5.452825900000000253e-02	1.043775700000000084e+00	3.278448800000000052e-02
5.279491000000000156e+00	9.915242100000000169e-01	-9.520411100000000792e-03	9.425289799999999607e-01	-5.166028100000000234e-02	1.040356700000000023e+00	3.224170900000000034e-02
5.574605000000000032e+00	9.913040899999999711e-01	-8.662594500000000627e-03	9.457201699999999711e-01	-4.905770500000000006e-02	1.037033600000000000e+00	3.162070300000000000e-02
5.886215299999999928e+00	9.910328900000000552e-01	-7.935864900000000680e-03	9.479957700000000154e-01	-4.674023199999999961e-02	1.034183300000000028e+00	3.081867699999999918e-02
6.215244099999999605e+00	9.909788899999999456e-01	-7.012169799999999793e-03	9.503704400000000385e-01	-4.406942800000000077e-02	1.032052200000000086e+00	3.003543599999999869e-02
6.562665100000000251e+00	9.911496499999999932e-01	-6.024399700000000399e-03	9.523212599999999473e-01	-4.165011600000000092e-02	1.029865599999999937e+00	2.939925100000000124e-02
6.929506199999999616e+00	9.910906200000000332e-01	-5.153998899999999786e-03	9.540038499999999866e-01	-3.900443700000000291e-02	1.028656599999999921e+00	2.852056000000000036e-02
7.316853100000000332e+00	9.913785200000000408e-01	-4.275591399999999730e-03	9.557948600000000239e-01	-3.621396000000000337e-02	1.027838299999999983e+00	2.742231700000000161e-02
7.725851999999999720e+00	9.920474700000000423e-01	-3.459353200000000149e-03	9.570709600000000261e-01	-3.333280500000000007e-02	1.027401400000000020e+00	2.618840899999999930e-02
8.157713100000000495e+00	9.925786100000000278e-01	-2.661815699999999906e-03	9.585104399999999636e-01	-3.049598099999999840e-02	1.026761999999999952e+00	2.475687799999999952e-02
8.613714599999999777e+00	9.931701200000000451e-01	-1.971962199999999915e-03	9.600907199999999531e-01	-2.764185300000000095e-02	1.026663700000000068e+00	2.314905399999999877e-02
9.095205699999999283e+00	9.940278599999999853e-01	-1.471043200000000072e-03	9.615055399999999919e-01	-2.503156900000000004e-02	1.026396599999999992e+00	2.162758000000000042e-02
9.603611199999999570e+00	9.948141799999999924e-01	-1.168665799999999994e-03	9.630215600000000542e-01	-2.237870299999999979e-02	1.026001799999999964e+00	1.999037799999999962e-02
1.014043599999999934e+01	9.955513499999999460e-01	-7.065953400000000171e-04	9.647327500000000278e-01	-1.978073099999999931e-02	1.025838299999999981e+00	1.817104900000000162e-02
1.070726799999999912e+01	9.963929000000000258e-01	-5.390944599999999498e-04	9.665072300000000505e-01	-1.748711199999999910e-02	1.025606999999999935e+00	1.632254699999999975e-02
1.130578500000000020e+01	9.970753500000000269e-01	-3.852881600000000262e-04	9.680773099999999687e-01	-1.532652299999999988e-02	1.025154399999999910e+00	1.449961399999999921e-02
1.193775800000000054e+01	9.976653800000000460e-01	-3.388844900000000104e-04	9.696869099999999575e-01	-1.342268899999999980e-02	1.024740200000000101e+00	1.309260800000000037e-02
1.260505700000000040e+01	9.982434599999999714e-01	-2.961595900000000225e-04	9.715291900000000425e-01	-1.183311599999999943e-02	1.024209200000000042e+00	1.152536200000000080e-02
1.330965699999999963e+01	9.988155199999999567e-01	-2.156680300000000114e-04	9.731083099999999764e-01	-1.036524399999999915e-02	1.023515200000000069e+00	1.014710199999999986e-02
1.405364299999999922e+01	9.992691999999999686e-01	-1.511463400000000027e-04	9.747819100000000292e-01	-9.268906900000000240e-03	1.022949399999999898e+00	9.002103699999999820e-03
1.483921600000000041e+01	9.998290699999999864e-01	-9.185823600000000608e-05	9.764061099999999938e-01	-8.366465499999999750e-03	1.022613299999999947e+00	8.042386699999999264e-03
1.566870100000000043e+01	1.000402299999999967e+00	-1.102711199999999967e-04	9.776616099999999587e-01	-7.635867299999999844e-03	1.022357399999999972e+00	7.369983800000000362e-03
1.654455300000000051e+01	1.000715400000000033e+00	-1.294938899999999963e-04	9.789090400000000081e-01	-7.388590599999999772e-03	1.022174399999999928e+00	6.992234100000000417e-03
1.746936399999999878e+01	1.000981499999999969e+00	-2.178922900000000002e-04	9.800475800000000293e-01	-7.263662100000000191e-03	1.022076100000000043e+00	6.815497099999999822e-03
1.844586999999999932e+01	1.001373800000000092e+00	-3.227253500000000085e-04	9.808696500000000373e-01	-7.443072099999999830e-03	1.022171299999999894e+00	6.891918700000000154e-03
1.947696099999999930e+01	1.001890399999999959e+00	-4.177501400000000267e-04	9.814578299999999755e-01	-8.006251000000000687e-03	1.022311900000000051e+00	7.305740899999999677e-03
2.056568800000000152e+01	1.002476499999999993e+00	-4.650272099999999925e-04	9.819353699999999741e-01	-8.963198000000000346e-03	1.022758999999999974e+00	7.958137500000000281e-03
2.171527199999999880e+01	1.002929299999999913e+00	-6.457369500000000517e-04	9.822013400000000338e-01	-1.016334399999999950e-02	1.023238599999999998e+00	9.037720200000000023e-03
2.292911700000000152e+01	1.003317699999999979e+00	-7.965431400000000167e-04	9.822781000000000429e-01	-1.189103099999999982e-02	1.024190799999999957e+00	1.039259699999999995e-02
2.421081300000000169e+01	1.003641400000000017e+00	-8.294409400000000120e-04	9.820785699999999840e-01	-1.391401700000000075e-02	1.024904199999999932e+00	1.215614700000000083e-02
2.556415399999999849e+01	1.004212600000000011e+00	-1.057821100000000056e-03	9.820441100000000256e-01	-1.643861799999999859e-02	1.025836799999999993e+00	1.425885399999999963e-02
2.699314400000000091e+01	1.004620700000000033e+00	-1.329646000000000083e-03	9.818666499999999520e-01	-1.956225500000000062e-02	1.026963400000000082e+00	1.681426800000000027e-02
2.850201200000000057e+01	1.004919499999999966e+00	-1.735713600000000044e-03	9.818331700000000328e-01	-2.321779900000000077e-02	1.027995800000000015e+00	1.993282799999999966e-02
3.009522300000000072e+01	1.005302200000000035e+00	-2.289816499999999810e-03	9.821561300000000161e-01	-2.763144099999999964e-02	1.028785899999999920e+00	2.353997999999999854e-02
3.177749100000000126e+01	1.005900900000000098e+00	-2.714517300000000161e-03	9.826746100000000039e-01	-3.285574299999999975e-02	1.029525999999999941e+00	2.789654700000000070e-02
3.355379599999999840e+01	1.006226400000000076e+00	-3.227748400000000038e-03	9.835190400000000110e-01	-3.924777699999999758e-02	1.030029700000000048e+00	3.221854600000000068e-02
3.542939200000000000e+01	1.006786200000000076e+00	-4.142239899999999690e-03	9.840535500000000546e-01	-4.606045999999999752e-02	1.030852799999999903e+00	3.699270500000000073e-02
3.740983200000000153e+01	1.007327099999999920e+00	-5.102850600000000125e-03	9.824698400000000387e-01	-5.316423299999999824e-02	1.031992900000000102e+00	4.110118399999999894e-02
3.950097399999999936e+01	1.007435099999999917e+00	-6.518332899999999819e-03	9.782323499999999727e-01	-5.896543900000000143e-02	1.035702799999999923e+00	4.336144000000000109e-02
4.170900699999999972e+01	1.006474099999999927e+00	-7.625061600000000023e-03	9.694357999999999587e-01	-6.197295199999999782e-02	1.042280000000000095e+00	4.291181200000000057e-02
4.404046499999999753e+01	1.004550199999999949e+00	-8.196957499999999244e-03	9.573466899999999447e-01	-5.970239699999999733e-02	1.050042200000000037e+00	3.792001400000000189e-02
4.650224699999999700e+01	1.002312000000000092e+00	-8.514477399999999599e-03	9.475031900000000507e-01	-5.177006099999999916e-02	1.055834900000000021e+00	2.996741299999999830e-02
4.910163899999999870e+01	1.000439999999999996e+00	-8.252560799999999336e-03	9.422641499999999670e-01	-4.186094099999999874e-02	1.056387200000000082e+00	2.270519699999999988e-02
5.184633199999999675e+01	9.992099700000000029e-01	-7.481664300000000385e-03	9.438939200000000529e-01	-3.456898399999999705e-02	1.052656100000000094e+00	1.931372799999999876e-02
5.474444799999999844e+01	9.987858899999999540e-01	-6.093743900000000296e-03	9.485955799999999938e-01	-3.235772299999999796e-02	1.046657100000000007e+00	2.084153500000000131e-02
5.780456399999999917e+01	9.985563400000000422e-01	-4.936292400000000247e-03	9.549431800000000026e-01	-3.185242900000000155e-02	1.040290099999999995e+00	2.322356199999999968e-02
6.103573500000000251e+01	9.983631299999999875e-01	-3.967046600000000318e-03	9.614984500000000045e-01	-3.196971400000000324e-02	1.034363499999999991e+00	2.555118699999999951e-02
6.444752200000000641e+01	9.983764800000000106e-01	-3.304187399999999799e-03	9.674103200000000458e-01	-3.183911300000000222e-02	1.028682099999999933e+00	2.682139399999999840e-02
6.805002199999999846e+01	9.984985299999999953e-01	-2.737628599999999968e-03	9.727003499999999914e-01	-3.152716800000000125e-02	1.023823399999999939e+00	2.744613300000000103e-02
7.185389600000000598e+01	9.986867099999999775e-01	-2.121437400000000025e-03	9.773165600000000008e-01	-3.051806599999999994e-02	1.020088300000000059e+00	2.785794700000000096e-02
7.587039900000000614e+01	9.990756400000000426e-01	-1.582745200000000053e-03	9.810644499999999768e-01	-2.949968999999999855e-02	1.016825400000000101e+00	2.774179900000000101e-02
8.011141700000000299e+01	9.993501000000000190e-01	-1.036756599999999993e-03	9.843109899999999968e-01	-2.852572199999999988e-02	1.014256400000000058e+00	2.736596499999999904e-02
8.458950099999999850e+01	9.996461700000000006e-01	-7.020259200000000116e-04	9.869133100000000436e-01	-2.778981999999999980e-02	1.012349600000000072e+00	2.703233199999999919e-02
8.931790100000000621e+01	9.999390099999999615e-01	-1.334787399999999959e-04	9.888108300000000295e-01	-2.691686000000000079e-02	1.010771300000000039e+00	2.647477599999999848e-02
9.431060999999999694e+01	1.000255099999999953e+00	9.322253499999999971e-05	9.902014900000000175e-01	-2.589294600000000002e-02	1.010022600000000104e+00	2.589151199999999847e-02
9.958240299999999934e+01	1.000447800000000109e+00	4.238976400000000013e-04	9.911230800000000452e-01	-2.470278799999999983e-02	1.009713300000000036e+00	2.527410500000000157e-02
1.051488800000000055e+02	1.000701300000000016e+00	8.011680299999999859e-04	9.916418900000000258e-01	-2.367619799999999899e-02	1.009829700000000052e+00	2.453688199999999944e-02
1.110265100000000018e+02	1.000920599999999938e+00	9.662680400000000017e-04	9.917112999999999623e-01	-2.277490600000000101e-02	1.010363200000000017e+00	2.419088399999999930e-02
1.172326900000000052e+02	1.001190900000000106e+00	1.285070799999999975e-03	9.913490099999999750e-01	-2.183413999999999841e-02	1.011145799999999983e+00	2.376328200000000015e-02
1.237857900000000058e+02	1.001379999999999937e+00	1.732608000000000065e-03	9.907368199999999625e-01	-2.052801699999999910e-02	1.012224699999999977e+00	2.331832000000000002e-02
1.307051899999999875e+02	1.001673999999999953e+00	2.106928899999999973e-03	9.900432200000000016e-01	-1.941787500000000111e-02	1.013487800000000050e+00	2.275737400000000035e-02
1.380113800000000026e+02	1.001929899999999929e+00	2.464104899999999820e-03	9.890777899999999567e-01	-1.820812899999999998e-02	1.014888100000000071e+00	2.222279699999999900e-02
1.457259599999999864e+02	1.002399599999999946e+00	2.885082800000000024e-03	9.881186299999999978e-01	-1.668973699999999963e-02	1.016836000000000073e+00	2.154746000000000092e-02
1.538717800000000011e+02	1.002864500000000048e+00	3.219485900000000102e-03	9.873541900000000204e-01	-1.504468699999999930e-02	1.018664800000000037e+00	2.072678000000000020e-02
1.624729399999999941e+02	1.003529099999999952e+00	3.574981599999999850e-03	9.866109499999999866e-01	-1.305893800000000084e-02	1.020572699999999999e+00	1.958237100000000119e-02
1.715548799999999972e+02	1.004229599999999945e+00	3.815911400000000092e-03	9.862175800000000381e-01	-1.065318500000000078e-02	1.022327500000000056e+00	1.793547200000000091e-02
1.811444899999999905e+02	1.004917099999999897e+00	4.000574800000000070e-03	9.864444700000000177e-01	-8.166312699999999161e-03	1.023642699999999905e+00	1.588312399999999847e-02
1.912701399999999978e+02	1.005558900000000033e+00	4.072435400000000254e-03	9.873507299999999542e-01	-5.842854599999999961e-03	1.024290700000000109e+00	1.372662600000000045e-02
2.019617900000000077e+02	1.006289599999999895e+00	4.015571899999999771e-03	9.887745599999999691e-01	-4.015694799999999613e-03	1.024022900000000069e+00	1.184045499999999973e-02
2.132510900000000049e+02	1.006646300000000105e+00	3.791964699999999903e-03	9.906494599999999817e-01	-2.784988600000000165e-03	1.023193699999999984e+00	1.031299400000000067e-02
2.251714399999999898e+02	1.007064399999999971e+00	3.599830500000000214e-03	9.925600300000000376e-01	-2.314972800000000049e-03	1.022002599999999983e+00	9.419386499999999815e-03
2.377581199999999910e+02	1.007284499999999916e+00	3.472363000000000012e-03	9.942889999999999784e-01	-2.109291000000000117e-03	1.020587399999999922e+00	9.008249700000000096e-03
2.510483700000000056e+02	1.007436900000000080e+00	3.440178199999999967e-03	9.957967800000000480e-01	-2.063087199999999975e-03	1.019138000000000099e+00	8.771184799999999851e-03
2.650815200000000118e+02	1.007350200000000084e+00	3.450013999999999945e-03	9.970938099999999693e-01	-2.015826200000000144e-03	1.017803199999999908e+00	8.709262199999999801e-03
2.798990999999999758e+02	1.007139000000000006e+00	3.409453499999999960e-03	9.983923900000000184e-01	-1.960583899999999991e-03	1.016189000000000009e+00	8.692864099999999400e-03
2.955449499999999716e+02	1.006267800000000046e+00	3.624777100000000068e-03	9.983511299999999755e-01	-2.539951800000000200e-03	1.014359000000000011e+00	1.000894299999999931e-02
3.120653800000000047e+02	1.006733300000000053e+00	4.600460899999999666e-03	9.979949799999999760e-01	-1.850392300000000068e-03	1.015951800000000071e+00	1.134841200000000043e-02
3.295092700000000150e+02	1.007805800000000085e+00	5.636194300000000289e-03	9.961877199999999988e-01	-3.096715499999999946e-04	1.019727100000000108e+00	1.183422100000000067e-02
3.479282499999999914e+02	1.007794999999999996e+00	5.328592800000000324e-03	9.982015699999999825e-01	-1.964137599999999902e-04	1.017807899999999988e+00	1.102644399999999983e-02
3.673768099999999777e+02	1.007714900000000080e+00	5.490543100000000107e-03	9.989133900000000121e-01	-1.229163600000000118e-04	1.016948799999999986e+00	1.126666200000000020e-02
3.879125099999999975e+02	1.007582200000000094e+00	5.764296999999999824e-03	9.990596699999999553e-01	1.324539699999999871e-04	1.016451900000000075e+00	1.159084600000000013e-02
4.095961199999999849e+02	1.007221200000000039e+00	6.086988899999999647e-03	9.989602400000000548e-01	5.288312400000000227e-04	1.015764899999999971e+00	1.194342600000000004e-02
4.324918000000000120e+02	1.006598799999999905e+00	7.317291600000000278e-03	9.983870500000000536e-01	6.934959399999999574e-04	1.015066400000000035e+00	1.422739800000000047e-02
4.566673099999999863e+02	1.006364599999999943e+00	7.695858100000000333e-03	9.983216499999999494e-01	1.081964599999999917e-03	1.014651299999999923e+00	1.452128800000000025e-02
4.821941899999999919e+02	1.007486600000000010e+00	8.853709799999999810e-03	9.983322100000000532e-01	2.658221699999999913e-03	1.016844300000000034e+00	1.536336599999999983e-02
5.091479699999999866e+02	1.006951099999999988e+00	9.327507999999999980e-03	9.983353299999999653e-01	2.945973199999999802e-03	1.015738599999999936e+00	1.598273199999999949e-02
