#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.918523399999999990e-01	-1.060056199999999914e-02	9.393473799999999541e-01	-5.445607000000000225e-02	1.043774399999999991e+00	3.266686099999999843e-02
5.279491000000000156e+00	9.915708199999999639e-01	-9.510179199999999750e-03	9.424632800000000143e-01	-5.161175500000000221e-02	1.040225500000000025e+00	3.221575299999999975e-02
5.574605000000000032e+00	9.913864700000000196e-01	-8.605688999999999700e-03	9.456932799999999695e-01	-4.895045800000000225e-02	1.036956800000000012e+00	3.151881399999999916e-02
5.886215299999999928e+00	9.909879999999999800e-01	-7.985406800000000721e-03	9.480763800000000519e-01	-4.663370099999999963e-02	1.034104300000000087e+00	3.074166500000000135e-02
6.215244099999999605e+00	9.910361300000000151e-01	-6.967514499999999909e-03	9.504495600000000266e-01	-4.394703500000000235e-02	1.032003800000000027e+00	2.998188400000000031e-02
6.562665100000000251e+00	9.912337500000000245e-01	-6.003645400000000298e-03	9.524658799999999870e-01	-4.153730299999999764e-02	1.029808800000000080e+00	2.926408399999999924e-02
6.929506199999999616e+00	9.912231700000000423e-01	-5.161625599999999751e-03	9.540845999999999494e-01	-3.885495399999999711e-02	1.028625099999999959e+00	2.845975599999999925e-02
7.316853100000000332e+00	9.914709999999999912e-01	-4.270458700000000218e-03	9.559289399999999493e-01	-3.605525999999999870e-02	1.027692599999999956e+00	2.727774300000000013e-02
7.725851999999999720e+00	9.920720699999999725e-01	-3.455194300000000076e-03	9.572739399999999899e-01	-3.321911799999999887e-02	1.027181499999999970e+00	2.609391200000000036e-02
8.157713100000000495e+00	9.926283900000000271e-01	-2.668657300000000163e-03	9.587264199999999681e-01	-3.038759400000000041e-02	1.026706300000000072e+00	2.465911900000000018e-02
8.613714599999999777e+00	9.931376400000000437e-01	-1.963666199999999831e-03	9.602065699999999815e-01	-2.760567400000000018e-02	1.026532599999999906e+00	2.307933599999999891e-02
9.095205699999999283e+00	9.940565900000000177e-01	-1.450869800000000086e-03	9.617855899999999680e-01	-2.496746099999999982e-02	1.026201900000000000e+00	2.158290100000000156e-02
9.603611199999999570e+00	9.948200900000000457e-01	-1.145278599999999996e-03	9.632459799999999461e-01	-2.234237199999999923e-02	1.025841299999999956e+00	1.995054400000000061e-02
1.014043599999999934e+01	9.956401700000000465e-01	-7.402806900000000146e-04	9.650178400000000156e-01	-1.979125199999999876e-02	1.025654700000000030e+00	1.814146399999999951e-02
1.070726799999999912e+01	9.964011999999999869e-01	-5.263750499999999503e-04	9.667748600000000136e-01	-1.752944099999999977e-02	1.025402099999999983e+00	1.633619600000000074e-02
1.130578500000000020e+01	9.970754200000000456e-01	-4.088700399999999828e-04	9.683930299999999880e-01	-1.538700200000000032e-02	1.024883900000000070e+00	1.451692400000000049e-02
1.193775800000000054e+01	9.976620800000000067e-01	-3.319286399999999879e-04	9.698806500000000108e-01	-1.352083800000000030e-02	1.024491899999999900e+00	1.313208599999999941e-02
1.260505700000000040e+01	9.982237099999999863e-01	-2.898718499999999951e-04	9.716566500000000106e-01	-1.191804100000000075e-02	1.023920100000000000e+00	1.161131900000000015e-02
1.330965699999999963e+01	9.988551300000000355e-01	-2.524456299999999894e-04	9.732884400000000324e-01	-1.048474899999999981e-02	1.023395099999999891e+00	1.021774800000000046e-02
1.405364299999999922e+01	9.993160700000000007e-01	-2.122872999999999893e-04	9.749970999999999499e-01	-9.376710999999999380e-03	1.022651500000000047e+00	9.058257300000000650e-03
1.483921600000000041e+01	9.998088499999999712e-01	-1.253166899999999984e-04	9.766022100000000261e-01	-8.459094699999999273e-03	1.022363099999999969e+00	8.110086100000000325e-03
1.566870100000000043e+01	1.000389299999999926e+00	-1.233952699999999987e-04	9.778100100000000072e-01	-7.743739000000000351e-03	1.022153499999999937e+00	7.403399399999999880e-03
1.654455300000000051e+01	1.000677299999999992e+00	-1.614357899999999894e-04	9.790579999999999838e-01	-7.441841799999999660e-03	1.022006500000000040e+00	6.966164300000000052e-03
1.746936399999999878e+01	1.000974000000000030e+00	-2.405750800000000121e-04	9.801763599999999688e-01	-7.289548300000000397e-03	1.022043500000000105e+00	6.778626400000000406e-03
1.844586999999999932e+01	1.001344900000000093e+00	-3.287951600000000099e-04	9.809024299999999918e-01	-7.450090999999999831e-03	1.022108100000000075e+00	6.838082799999999940e-03
1.947696099999999930e+01	1.001925900000000036e+00	-4.094955599999999937e-04	9.815005199999999874e-01	-7.966679200000000016e-03	1.022307999999999995e+00	7.213840099999999610e-03
2.056568800000000152e+01	1.002466099999999916e+00	-4.727162699999999836e-04	9.819208600000000065e-01	-8.849954800000000427e-03	1.022743600000000086e+00	7.917227400000000775e-03
2.171527199999999880e+01	1.002858400000000039e+00	-6.161993400000000511e-04	9.821208000000000160e-01	-1.006020499999999915e-02	1.023276599999999981e+00	8.910466900000000440e-03
2.292911700000000152e+01	1.003284099999999901e+00	-7.576681399999999527e-04	9.821818300000000335e-01	-1.163802499999999976e-02	1.024301099999999964e+00	1.023323299999999957e-02
2.421081300000000169e+01	1.003673000000000037e+00	-9.172960699999999990e-04	9.819658999999999471e-01	-1.371730999999999992e-02	1.025190800000000069e+00	1.193616899999999995e-02
2.556415399999999849e+01	1.004253999999999980e+00	-1.046698499999999940e-03	9.817649699999999591e-01	-1.621838600000000130e-02	1.026095299999999932e+00	1.398150700000000066e-02
2.699314400000000091e+01	1.004712899999999909e+00	-1.274547000000000006e-03	9.814953800000000284e-01	-1.922291900000000150e-02	1.027329799999999960e+00	1.660180500000000073e-02
2.850201200000000057e+01	1.005082299999999984e+00	-1.749308399999999902e-03	9.813811799999999641e-01	-2.314175400000000049e-02	1.028564500000000104e+00	1.976109800000000125e-02
3.009522300000000072e+01	1.005309299999999961e+00	-2.232553799999999807e-03	9.815930999999999962e-01	-2.761707700000000029e-02	1.029569900000000038e+00	2.336757799999999996e-02
3.177749100000000126e+01	1.006030399999999991e+00	-2.709917699999999860e-03	9.818584599999999885e-01	-3.307386200000000248e-02	1.030451900000000087e+00	2.796216899999999853e-02
3.355379599999999840e+01	1.006436300000000061e+00	-3.268976099999999860e-03	9.827208499999999791e-01	-3.972944700000000107e-02	1.031232600000000055e+00	3.266174499999999897e-02
3.542939200000000000e+01	1.006927099999999964e+00	-4.333085000000000409e-03	9.831412600000000168e-01	-4.715656399999999804e-02	1.031968800000000019e+00	3.779751499999999681e-02
3.740983200000000153e+01	1.007564499999999974e+00	-5.306527299999999787e-03	9.818083499999999963e-01	-5.491709599999999858e-02	1.033195899999999945e+00	4.225050699999999965e-02
3.950097399999999936e+01	1.007711400000000035e+00	-6.839932600000000161e-03	9.772942000000000018e-01	-6.179805599999999705e-02	1.036941600000000019e+00	4.518560800000000210e-02
4.170900699999999972e+01	1.006628800000000101e+00	-8.125840500000000230e-03	9.678426399999999763e-01	-6.496943199999999363e-02	1.044165199999999905e+00	4.479184900000000163e-02
4.404046499999999753e+01	1.004370100000000043e+00	-8.761680600000000194e-03	9.546793300000000482e-01	-6.264845199999999337e-02	1.052381999999999929e+00	3.920676199999999917e-02
4.650224699999999700e+01	1.001844799999999980e+00	-8.906668700000000202e-03	9.439985600000000421e-01	-5.305117899999999692e-02	1.058489000000000013e+00	3.072359399999999990e-02
4.910163899999999870e+01	9.997290300000000185e-01	-8.447515600000000263e-03	9.392750199999999605e-01	-4.231273099999999926e-02	1.058179500000000051e+00	2.306113699999999891e-02
5.184633199999999675e+01	9.986800300000000519e-01	-7.189418599999999708e-03	9.422708100000000142e-01	-3.530369600000000246e-02	1.053047800000000089e+00	2.029006100000000160e-02
5.474444799999999844e+01	9.983789100000000083e-01	-5.879644699999999648e-03	9.482498499999999497e-01	-3.310640399999999900e-02	1.046302400000000077e+00	2.232734899999999981e-02
5.780456399999999917e+01	9.983399099999999970e-01	-4.642977999999999862e-03	9.551995599999999476e-01	-3.272261600000000298e-02	1.039484899999999934e+00	2.482150899999999855e-02
6.103573500000000251e+01	9.982248999999999706e-01	-3.700197599999999892e-03	9.622341699999999998e-01	-3.265239999999999809e-02	1.033312500000000078e+00	2.661530399999999935e-02
6.444752200000000641e+01	9.982140800000000036e-01	-3.137935899999999990e-03	9.683430800000000227e-01	-3.219189499999999815e-02	1.027689700000000039e+00	2.746239799999999898e-02
6.805002199999999846e+01	9.984431400000000068e-01	-2.437851999999999901e-03	9.735711599999999910e-01	-3.144734799999999997e-02	1.022764000000000006e+00	2.789953800000000150e-02
7.185389600000000598e+01	9.986514600000000463e-01	-1.856791300000000099e-03	9.783214199999999972e-01	-3.039769299999999994e-02	1.019086799999999959e+00	2.806385700000000108e-02
7.587039900000000614e+01	9.991298499999999860e-01	-1.322059800000000051e-03	9.818305899999999475e-01	-2.915287600000000118e-02	1.016139300000000079e+00	2.775605999999999907e-02
8.011141700000000299e+01	9.994012599999999580e-01	-8.184124000000000520e-04	9.850185200000000085e-01	-2.815429399999999985e-02	1.013725399999999999e+00	2.735033900000000129e-02
8.458950099999999850e+01	9.997051500000000424e-01	-5.108925999999999745e-04	9.874074600000000146e-01	-2.726285000000000167e-02	1.011837600000000004e+00	2.680776099999999940e-02
8.931790100000000621e+01	1.000054100000000057e+00	-8.868759000000000039e-05	9.892494699999999641e-01	-2.624693900000000038e-02	1.010475299999999965e+00	2.608779400000000095e-02
9.431060999999999694e+01	1.000299100000000108e+00	2.538481199999999944e-04	9.905721899999999636e-01	-2.518792499999999990e-02	1.009786300000000026e+00	2.551384099999999891e-02
9.958240299999999934e+01	1.000474700000000050e+00	5.222442599999999871e-04	9.914413399999999488e-01	-2.406615299999999985e-02	1.009586099999999931e+00	2.471151400000000040e-02
1.051488800000000055e+02	1.000750500000000098e+00	8.621296099999999464e-04	9.919184100000000281e-01	-2.305046499999999915e-02	1.009712699999999908e+00	2.404558899999999916e-02
1.110265100000000018e+02	1.000985800000000037e+00	1.004472599999999948e-03	9.918200999999999823e-01	-2.218384300000000170e-02	1.010260699999999900e+00	2.371171199999999937e-02
1.172326900000000052e+02	1.001198000000000032e+00	1.313448800000000102e-03	9.915414299999999459e-01	-2.123886200000000071e-02	1.011028700000000002e+00	2.326135500000000092e-02
1.237857900000000058e+02	1.001463299999999945e+00	1.760159299999999958e-03	9.909301499999999541e-01	-2.000809699999999899e-02	1.012116900000000097e+00	2.286991600000000055e-02
1.307051899999999875e+02	1.001743899999999909e+00	2.091316299999999850e-03	9.903460400000000385e-01	-1.891740299999999930e-02	1.013391799999999954e+00	2.236555200000000035e-02
1.380113800000000026e+02	1.002072199999999969e+00	2.467356100000000010e-03	9.895008499999999874e-01	-1.775541300000000114e-02	1.014788100000000082e+00	2.179535100000000100e-02
1.457259599999999864e+02	1.002498200000000006e+00	2.857832900000000127e-03	9.886033199999999521e-01	-1.638232699999999861e-02	1.016585099999999908e+00	2.112895099999999998e-02
1.538717800000000011e+02	1.002918600000000104e+00	3.161017300000000009e-03	9.878658399999999951e-01	-1.479638699999999939e-02	1.018365600000000093e+00	2.043656799999999871e-02
1.624729399999999941e+02	1.003493299999999921e+00	3.541364600000000175e-03	9.871827399999999475e-01	-1.290939500000000059e-02	1.020259400000000038e+00	1.930983400000000141e-02
1.715548799999999972e+02	1.004165600000000103e+00	3.760347299999999924e-03	9.866710600000000442e-01	-1.063515500000000030e-02	1.021838500000000094e+00	1.780554499999999901e-02
1.811444899999999905e+02	1.004885299999999981e+00	3.953664899999999836e-03	9.868080000000000185e-01	-8.197014900000000603e-03	1.023184600000000000e+00	1.584122699999999939e-02
1.912701399999999978e+02	1.005600100000000108e+00	4.032410900000000034e-03	9.875758100000000539e-01	-5.943448900000000354e-03	1.023844900000000058e+00	1.372236299999999957e-02
2.019617900000000077e+02	1.006196199999999985e+00	4.011632299999999887e-03	9.890688800000000391e-01	-4.113437999999999643e-03	1.023715500000000000e+00	1.190775099999999941e-02
2.132510900000000049e+02	1.006549499999999986e+00	3.782130700000000106e-03	9.908390000000000253e-01	-2.830794499999999929e-03	1.022932600000000081e+00	1.034438399999999987e-02
2.251714399999999898e+02	1.007019200000000003e+00	3.612791399999999882e-03	9.926014800000000360e-01	-2.316660600000000104e-03	1.021831900000000015e+00	9.447387999999999272e-03
2.377581199999999910e+02	1.007289000000000101e+00	3.486204200000000194e-03	9.943746799999999553e-01	-2.078843999999999831e-03	1.020499100000000103e+00	8.984145000000000672e-03
2.510483700000000056e+02	1.007416499999999937e+00	3.429914799999999892e-03	9.958261000000000474e-01	-2.023817600000000008e-03	1.019128299999999987e+00	8.760179200000000818e-03
2.650815200000000118e+02	1.007397600000000004e+00	3.431179099999999947e-03	9.971172600000000052e-01	-1.964242000000000158e-03	1.017728799999999989e+00	8.674474300000000263e-03
2.798990999999999758e+02	1.007152999999999965e+00	3.426287799999999922e-03	9.984217600000000470e-01	-1.954806300000000007e-03	1.016157699999999942e+00	8.710718200000000175e-03
2.955449499999999716e+02	1.006289400000000001e+00	3.621670600000000215e-03	9.984362900000000041e-01	-2.537087300000000038e-03	1.014294299999999982e+00	1.000395199999999998e-02
3.120653800000000047e+02	1.006719900000000001e+00	4.599072099999999656e-03	9.980763799999999852e-01	-1.849984399999999966e-03	1.015798299999999932e+00	1.134671999999999938e-02
3.295092700000000150e+02	1.007757599999999920e+00	5.638576000000000178e-03	9.962431899999999452e-01	-3.188075999999999866e-04	1.019541699999999995e+00	1.184914999999999927e-02
3.479282499999999914e+02	1.007779299999999933e+00	5.327558500000000204e-03	9.982289699999999932e-01	-1.869469199999999919e-04	1.017682399999999987e+00	1.100284399999999947e-02
3.673768099999999777e+02	1.007719699999999996e+00	5.503465400000000056e-03	9.989482699999999715e-01	-1.149234900000000044e-04	1.016846099999999975e+00	1.126229299999999961e-02
3.879125099999999975e+02	1.007615300000000103e+00	5.770845800000000414e-03	9.991616199999999726e-01	1.257937799999999935e-04	1.016361400000000081e+00	1.159681299999999922e-02
4.095961199999999849e+02	1.007229500000000000e+00	6.098914399999999687e-03	9.990617999999999999e-01	5.388003599999999487e-04	1.015699399999999919e+00	1.195724400000000055e-02
4.324918000000000120e+02	1.006596199999999941e+00	7.307858300000000078e-03	9.985121200000000030e-01	6.816158699999999918e-04	1.015038200000000002e+00	1.422425899999999951e-02
4.566673099999999863e+02	1.006359500000000073e+00	7.693049900000000288e-03	9.983712999999999615e-01	1.090610899999999977e-03	1.014610299999999965e+00	1.451030600000000059e-02
4.821941899999999919e+02	1.007472200000000040e+00	8.868848699999999294e-03	9.983349900000000332e-01	2.654092299999999925e-03	1.016764100000000060e+00	1.536741900000000022e-02
5.091479699999999866e+02	1.006943900000000003e+00	9.327821400000000165e-03	9.984377800000000525e-01	2.946626400000000069e-03	1.015675399999999895e+00	1.598351900000000159e-02
5.376084299999999985e+02	1.006405400000000006e+00	1.020981200000000040e-02	9.980069599999999985e-01	3.382406599999999899e-03	1.015003300000000053e+00	1.725859700000000052e-02
5.676597699999999804e+02	1.007284400000000080e+00	1.049700699999999917e-02	9.986556399999999556e-01	4.514837699999999648e-03	1.016037599999999985e+00	1.671084700000000089e-02
5.993909200000000510e+02	1.006650400000000056e+00	1.099516300000000051e-02	9.983614299999999941e-01	4.906683400000000361e-03	1.015067699999999906e+00	1.728847500000000106e-02
6.328957900000000336e+02	1.006165100000000034e+00	1.189399000000000012e-02	9.979133500000000323e-01	5.560795999999999795e-03	1.014611699999999894e+00	1.843595199999999851e-02
6.682735300000000507e+02	1.005854699999999990e+00	1.292595799999999955e-02	9.975587900000000285e-01	6.295246499999999738e-03	1.014325499999999991e+00	1.968432999999999988e-02
7.056288100000000441e+02	1.005595800000000040e+00	1.394788400000000067e-02	9.972483599999999448e-01	7.085731999999999968e-03	1.014145800000000097e+00	2.080853300000000058e-02
7.450721899999999778e+02	1.005379299999999976e+00	1.489851900000000069e-02	9.968785000000000007e-01	7.964973300000000728e-03	1.013932000000000055e+00	2.196692299999999931e-02
7.867203799999999774e+02	1.005087899999999923e+00	1.587214099999999933e-02	9.965143600000000434e-01	8.878488500000000089e-03	1.013705199999999973e+00	2.302930799999999834e-02
8.306966200000000526e+02	1.004748799999999997e+00	1.684365800000000093e-02	9.961708099999999622e-01	9.766396899999999978e-03	1.013569699999999907e+00	2.411386500000000169e-02
8.771310700000000224e+02	1.004430399999999945e+00	1.780616200000000038e-02	9.957805400000000473e-01	1.068784100000000001e-02	1.013338899999999931e+00	2.521771500000000166e-02
9.261611100000000079e+02	1.004082200000000036e+00	1.875307199999999910e-02	9.953321899999999500e-01	1.150633300000000053e-02	1.013033700000000037e+00	2.633775699999999984e-02
9.779318399999999656e+02	1.003609399999999985e+00	1.974536299999999842e-02	9.947393599999999614e-01	1.233180799999999966e-02	1.012580700000000000e+00	2.753704699999999853e-02
1.032596500000000106e+03	1.003107100000000029e+00	2.083446599999999940e-02	9.941272100000000389e-01	1.318934800000000004e-02	1.012186000000000030e+00	2.887555799999999909e-02
1.090316700000000083e+03	1.002551200000000087e+00	2.198740399999999859e-02	9.934400100000000400e-01	1.412617499999999950e-02	1.011798999999999893e+00	3.018166799999999830e-02
1.151263500000000022e+03	1.001812600000000053e+00	2.313338200000000094e-02	9.927135000000000264e-01	1.495213700000000076e-02	1.011287100000000105e+00	3.168884000000000284e-02
1.215616999999999962e+03	1.001123399999999997e+00	2.433999599999999916e-02	9.918543899999999747e-01	1.584684700000000071e-02	1.010799999999999921e+00	3.326476200000000327e-02
1.283567800000000034e+03	1.000425700000000084e+00	2.561410899999999949e-02	9.909068599999999449e-01	1.665348300000000017e-02	1.010281699999999949e+00	3.484523300000000323e-02
1.355317000000000007e+03	9.997240899999999542e-01	2.683546599999999879e-02	9.898765499999999662e-01	1.751741999999999883e-02	1.009955200000000053e+00	3.646178199999999814e-02
1.431076700000000073e+03	9.990512700000000468e-01	2.809593900000000033e-02	9.888537800000000155e-01	1.833078100000000085e-02	1.009455900000000073e+00	3.827733099999999777e-02
1.511071300000000065e+03	9.983211100000000116e-01	2.942961499999999925e-02	9.877357599999999627e-01	1.913454399999999986e-02	1.008953400000000000e+00	4.005208500000000116e-02
1.595537499999999909e+03	9.975405999999999995e-01	3.082682200000000025e-02	9.865793000000000479e-01	1.997116999999999989e-02	1.008440199999999898e+00	4.201994099999999815e-02
1.684725200000000086e+03	9.966931599999999669e-01	3.227169399999999660e-02	9.853843199999999802e-01	2.073211200000000046e-02	1.007898100000000019e+00	4.400631800000000260e-02
1.778898200000000088e+03	9.957770700000000419e-01	3.366262500000000157e-02	9.840605300000000444e-01	2.144379700000000055e-02	1.007429700000000095e+00	4.603022600000000047e-02
1.878335399999999936e+03	9.947616500000000528e-01	3.510882600000000270e-02	9.826160400000000239e-01	2.217867600000000133e-02	1.006960000000000077e+00	4.809297500000000308e-02
1.983330999999999904e+03	9.937668699999999689e-01	3.662573499999999954e-02	9.810794499999999640e-01	2.289085199999999973e-02	1.006462699999999932e+00	5.033614299999999986e-02
2.094195600000000013e+03	9.927790499999999962e-01	3.806957899999999922e-02	9.795186700000000357e-01	2.358651599999999834e-02	1.006113199999999930e+00	5.248645899999999920e-02
2.211257399999999961e+03	9.916832100000000372e-01	3.955583700000000341e-02	9.778088999999999809e-01	2.420837799999999915e-02	1.005692400000000042e+00	5.478660800000000053e-02
2.334862700000000132e+03	9.905975500000000489e-01	4.100930900000000073e-02	9.760220299999999849e-01	2.485123599999999877e-02	1.005366900000000063e+00	5.737869899999999829e-02
2.465377300000000105e+03	9.894955100000000225e-01	4.249697399999999986e-02	9.741076600000000418e-01	2.525316500000000103e-02	1.005001800000000056e+00	5.992055500000000035e-02
2.603187399999999798e+03	9.883910399999999985e-01	4.419961399999999818e-02	9.721112600000000326e-01	2.571309299999999937e-02	1.004618000000000011e+00	6.252960700000000094e-02
2.748700899999999820e+03	9.872544300000000161e-01	4.572411199999999731e-02	9.700825699999999774e-01	2.607571100000000142e-02	1.004287900000000011e+00	6.525791699999999862e-02
2.902348300000000108e+03	9.860365800000000513e-01	4.734339199999999803e-02	9.679359299999999999e-01	2.661457299999999901e-02	1.003910199999999975e+00	6.789493300000000453e-02
3.064584299999999985e+03	9.847477399999999825e-01	4.898644500000000346e-02	9.657735400000000414e-01	2.687715300000000085e-02	1.003584699999999996e+00	7.079328399999999799e-02
3.235889099999999871e+03	9.834120200000000533e-01	5.069945700000000333e-02	9.634185199999999449e-01	2.727896700000000119e-02	1.003159300000000087e+00	7.369314999999999893e-02
3.416769400000000132e+03	9.820908099999999807e-01	5.232322999999999835e-02	9.611840099999999776e-01	2.763552999999999843e-02	1.002958100000000075e+00	7.666944900000000063e-02
3.607760699999999815e+03	9.806317700000000137e-01	5.391864500000000116e-02	9.586060100000000084e-01	2.779169700000000062e-02	1.002566800000000091e+00	7.987255499999999786e-02
3.809427999999999884e+03	9.791905400000000537e-01	5.565196099999999979e-02	9.559683799999999509e-01	2.793632999999999880e-02	1.002400500000000028e+00	8.304691100000000104e-02
4.022368100000000140e+03	9.777281399999999678e-01	5.731647499999999867e-02	9.535632499999999734e-01	2.801551999999999862e-02	1.002267400000000031e+00	8.624262100000000542e-02
4.247211199999999735e+03	9.762379500000000210e-01	5.895853499999999942e-02	9.508984900000000406e-01	2.811030000000000126e-02	1.002206300000000105e+00	8.962674700000000660e-02
4.484622699999999895e+03	9.748879599999999979e-01	6.052695300000000139e-02	9.483187100000000092e-01	2.810986299999999882e-02	1.002260600000000057e+00	9.314344800000000368e-02
