#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.912457300000000471e-01	-9.903182999999999431e-03	9.387703499999999757e-01	-5.413911400000000207e-02	1.043274500000000105e+00	3.363171799999999795e-02
5.279491000000000156e+00	9.910550999999999666e-01	-8.954419999999999394e-03	9.421816100000000027e-01	-5.131924000000000208e-02	1.039390100000000094e+00	3.284906199999999832e-02
5.574605000000000032e+00	9.909343900000000538e-01	-8.198497900000000643e-03	9.450192400000000381e-01	-4.862620699999999768e-02	1.036314299999999911e+00	3.207300500000000165e-02
5.886215299999999928e+00	9.906470800000000132e-01	-7.380947399999999818e-03	9.475720600000000493e-01	-4.640090300000000029e-02	1.033537900000000009e+00	3.142973899999999821e-02
6.215244099999999605e+00	9.909243899999999883e-01	-6.454413200000000059e-03	9.497592500000000548e-01	-4.388970300000000213e-02	1.031325700000000012e+00	3.069476200000000043e-02
6.562665100000000251e+00	9.908721499999999516e-01	-5.582839000000000031e-03	9.519049699999999614e-01	-4.152054799999999740e-02	1.029551200000000000e+00	3.010241500000000042e-02
6.929506199999999616e+00	9.912694100000000175e-01	-4.719150000000000081e-03	9.538513199999999470e-01	-3.864402499999999852e-02	1.028252100000000002e+00	2.924087300000000056e-02
7.316853100000000332e+00	9.914115000000000011e-01	-3.779722599999999887e-03	9.552145199999999559e-01	-3.590364900000000276e-02	1.027401299999999962e+00	2.807496199999999845e-02
7.725851999999999720e+00	9.918400299999999836e-01	-2.949727799999999917e-03	9.566861399999999627e-01	-3.307073800000000230e-02	1.026858800000000072e+00	2.681864600000000154e-02
8.157713100000000495e+00	9.922795500000000102e-01	-2.136328099999999872e-03	9.581704199999999672e-01	-3.023571800000000170e-02	1.026721999999999912e+00	2.546832099999999863e-02
8.613714599999999777e+00	9.929358600000000035e-01	-1.398127500000000047e-03	9.597220499999999932e-01	-2.727435599999999960e-02	1.026653400000000049e+00	2.384911300000000164e-02
9.095205699999999283e+00	9.937937500000000313e-01	-8.259374000000000316e-04	9.611053099999999905e-01	-2.451925300000000127e-02	1.026591599999999938e+00	2.220415599999999920e-02
9.603611199999999570e+00	9.945366199999999823e-01	-4.286124500000000268e-04	9.626936600000000066e-01	-2.178405599999999956e-02	1.026228300000000093e+00	2.048971999999999946e-02
1.014043599999999934e+01	9.952764699999999687e-01	-9.335511600000000385e-06	9.642753699999999650e-01	-1.901535000000000031e-02	1.026090200000000063e+00	1.870087999999999959e-02
1.070726799999999912e+01	9.961856199999999939e-01	2.687519100000000118e-04	9.657871900000000176e-01	-1.657443200000000005e-02	1.025948199999999977e+00	1.714816599999999941e-02
1.130578500000000020e+01	9.969118300000000543e-01	5.126988700000000097e-04	9.677490399999999493e-01	-1.441189799999999938e-02	1.025451499999999960e+00	1.533986399999999993e-02
1.193775800000000054e+01	9.976596500000000090e-01	7.097929200000000069e-04	9.695895700000000117e-01	-1.246905300000000077e-02	1.025156100000000015e+00	1.399767799999999951e-02
1.260505700000000040e+01	9.982828700000000444e-01	8.848063099999999796e-04	9.716481900000000227e-01	-1.077218899999999972e-02	1.024661000000000044e+00	1.252733800000000071e-02
1.330965699999999963e+01	9.989913200000000160e-01	1.021741600000000043e-03	9.733691399999999661e-01	-9.236592400000000203e-03	1.024412899999999960e+00	1.128325300000000003e-02
1.405364299999999922e+01	9.996452399999999905e-01	1.194431500000000092e-03	9.751762000000000485e-01	-7.970241299999999973e-03	1.024071100000000012e+00	1.022765900000000006e-02
1.483921600000000041e+01	1.000207999999999986e+00	1.263086999999999977e-03	9.766677599999999959e-01	-6.949236499999999865e-03	1.023708499999999910e+00	9.326624699999999310e-03
1.566870100000000043e+01	1.000928299999999993e+00	1.366798200000000083e-03	9.781082599999999516e-01	-6.268189100000000000e-03	1.023476800000000075e+00	8.817189399999999719e-03
1.654455300000000051e+01	1.001517699999999955e+00	1.427885600000000036e-03	9.794932800000000217e-01	-5.855188100000000354e-03	1.023350100000000040e+00	8.559081099999999234e-03
1.746936399999999878e+01	1.002171799999999946e+00	1.334636200000000007e-03	9.808059900000000164e-01	-5.768439400000000342e-03	1.023425000000000029e+00	8.455286899999999231e-03
1.844586999999999932e+01	1.002859600000000073e+00	1.327736799999999990e-03	9.819673899999999955e-01	-6.053737400000000143e-03	1.023796699999999893e+00	8.670688899999999186e-03
1.947696099999999930e+01	1.003585100000000008e+00	1.350396499999999972e-03	9.828385200000000488e-01	-6.667547000000000230e-03	1.024130999999999903e+00	9.205256800000000475e-03
2.056568800000000152e+01	1.004151800000000039e+00	1.186686800000000003e-03	9.836492700000000200e-01	-7.665552100000000424e-03	1.024750899999999909e+00	1.003850000000000055e-02
2.171527199999999880e+01	1.004737299999999944e+00	1.051253200000000108e-03	9.842312600000000522e-01	-9.054126200000000083e-03	1.025379899999999900e+00	1.107218100000000038e-02
2.292911700000000152e+01	1.005483899999999986e+00	8.820766299999999518e-04	9.844597099999999879e-01	-1.066452300000000041e-02	1.026350099999999932e+00	1.251554399999999997e-02
2.421081300000000169e+01	1.006217200000000034e+00	7.302186599999999994e-04	9.847056800000000276e-01	-1.274648500000000011e-02	1.027362600000000015e+00	1.421625800000000071e-02
2.556415399999999849e+01	1.006919499999999967e+00	2.524797200000000025e-04	9.851436099999999474e-01	-1.546368300000000064e-02	1.028526499999999899e+00	1.626491799999999974e-02
2.699314400000000091e+01	1.007502499999999968e+00	-1.222285400000000066e-04	9.853780699999999948e-01	-1.858087500000000017e-02	1.029628299999999941e+00	1.887864800000000134e-02
2.850201200000000057e+01	1.008234000000000075e+00	-6.778356799999999977e-04	9.858622000000000218e-01	-2.242146000000000070e-02	1.030829400000000007e+00	2.159157399999999880e-02
3.009522300000000072e+01	1.009152499999999897e+00	-1.462575899999999903e-03	9.865199799999999630e-01	-2.692711799999999989e-02	1.031835199999999952e+00	2.488443699999999884e-02
3.177749100000000126e+01	1.009938100000000061e+00	-2.460083100000000095e-03	9.874018399999999751e-01	-3.228948100000000182e-02	1.032617700000000083e+00	2.829833699999999980e-02
3.355379599999999840e+01	1.010656299999999952e+00	-3.500485599999999999e-03	9.886406199999999700e-01	-3.853223599999999749e-02	1.033112599999999937e+00	3.182037299999999902e-02
3.542939200000000000e+01	1.011368299999999998e+00	-5.000621400000000369e-03	9.891516299999999484e-01	-4.536284399999999939e-02	1.033972700000000078e+00	3.544381800000000193e-02
3.740983200000000153e+01	1.011992199999999897e+00	-6.594039700000000129e-03	9.880643500000000357e-01	-5.232959000000000221e-02	1.035343200000000019e+00	3.806672800000000106e-02
3.950097399999999936e+01	1.011707399999999923e+00	-8.255197000000000576e-03	9.837722700000000042e-01	-5.813368700000000333e-02	1.038325200000000059e+00	3.919588999999999712e-02
4.170900699999999972e+01	1.010149799999999987e+00	-1.026025499999999938e-02	9.749584399999999818e-01	-6.108103799999999722e-02	1.044179399999999980e+00	3.753452699999999809e-02
4.404046499999999753e+01	1.008143199999999906e+00	-1.115233000000000023e-02	9.642504800000000209e-01	-5.917517900000000136e-02	1.050437700000000030e+00	3.265764499999999904e-02
4.650224699999999700e+01	1.005166299999999957e+00	-1.204318700000000034e-02	9.538380699999999823e-01	-5.302642300000000308e-02	1.055145599999999906e+00	2.552136500000000072e-02
4.910163899999999870e+01	1.002900099999999961e+00	-1.156168200000000021e-02	9.479775000000000285e-01	-4.443933700000000236e-02	1.055768999999999957e+00	1.903479500000000019e-02
5.184633199999999675e+01	1.001027700000000076e+00	-1.048340300000000051e-02	9.471783099999999678e-01	-3.688792199999999660e-02	1.052530799999999989e+00	1.583754100000000012e-02
5.474444799999999844e+01	9.998123700000000058e-01	-8.760703899999999766e-03	9.497577499999999562e-01	-3.319674000000000236e-02	1.047002800000000011e+00	1.660224800000000001e-02
5.780456399999999917e+01	9.991247899999999849e-01	-7.229547799999999635e-03	9.547699800000000181e-01	-3.250297199999999803e-02	1.041206800000000099e+00	1.957674699999999851e-02
6.103573500000000251e+01	9.986412099999999459e-01	-5.796034599999999593e-03	9.605127599999999655e-01	-3.248984199999999795e-02	1.035232799999999953e+00	2.248600099999999852e-02
6.444752200000000641e+01	9.987124499999999738e-01	-4.477914000000000373e-03	9.664260700000000259e-01	-3.214651699999999945e-02	1.030027400000000037e+00	2.478763000000000147e-02
6.805002199999999846e+01	9.989556699999999623e-01	-3.483059100000000189e-03	9.718433199999999550e-01	-3.162430900000000322e-02	1.025480500000000017e+00	2.638705100000000164e-02
7.185389600000000598e+01	9.992954600000000243e-01	-2.494728500000000047e-03	9.765724199999999966e-01	-3.082758099999999973e-02	1.021674699999999936e+00	2.695144799999999938e-02
7.587039900000000614e+01	9.995430600000000387e-01	-1.736468699999999931e-03	9.806261600000000245e-01	-2.992923600000000142e-02	1.018391700000000011e+00	2.747128199999999965e-02
8.011141700000000299e+01	1.000040800000000063e+00	-9.555101100000000123e-04	9.842567399999999633e-01	-2.889318999999999915e-02	1.015778599999999976e+00	2.753312899999999994e-02
8.458950099999999850e+01	1.000357600000000069e+00	-3.045850100000000262e-04	9.870406499999999639e-01	-2.797718899999999953e-02	1.013889999999999958e+00	2.749504200000000079e-02
8.931790100000000621e+01	1.000916799999999940e+00	2.721614199999999872e-04	9.893195299999999470e-01	-2.690802100000000072e-02	1.012425600000000037e+00	2.716556100000000126e-02
9.431060999999999694e+01	1.001466399999999979e+00	6.444617600000000345e-04	9.909305200000000369e-01	-2.575574699999999898e-02	1.011622800000000044e+00	2.679645500000000027e-02
9.958240299999999934e+01	1.001838400000000018e+00	9.546643999999999530e-04	9.922115400000000029e-01	-2.460745900000000166e-02	1.011247900000000088e+00	2.646813599999999975e-02
1.051488800000000055e+02	1.002211299999999916e+00	1.350036599999999976e-03	9.928366800000000270e-01	-2.378297799999999976e-02	1.011445399999999939e+00	2.590488100000000113e-02
1.110265100000000018e+02	1.002508399999999966e+00	1.554995800000000044e-03	9.930729200000000256e-01	-2.289406299999999922e-02	1.012141299999999910e+00	2.546338500000000157e-02
1.172326900000000052e+02	1.002875600000000089e+00	1.923835999999999949e-03	9.929569799999999891e-01	-2.180593899999999988e-02	1.013051700000000110e+00	2.502917899999999862e-02
