mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
8.730631999999999948e+01	3.955423700000000053e+01	5.038228888988150800e+01	1.405286999999999953e+00	-2.412954099999999880e-01	1.248242631997558594e+09	4.250862800000000163e+00	2.629549400000000148e+00	4.491646499999999875e+00	3.223928499999999985e+03	1.268605570000000000e+02	4.530512453164902698e-01	3.131636817386306837e-01	6.465613325746458750e-01	5.654940967625998383e+01	2.561978047574196893e+01	8.216919015200195986e+01	3.263324688134365914e+01	2.871683760102609728e+00	2.064280513236201209e+00	1.108435233480689952e+00	1.063012193452983256e+00	2.144904644459590948e+00	7.224134454844861608e-01	6.028404802979177024e-01	5.690297942422875010e-01	2.713934438701878449e+00	5.438944544217246824e-01
8.695011100000000681e+01	4.015675399999999939e+01	5.069713802669605940e+01	6.251532199999999762e+00	9.368766299999999880e-01	1.248242631997558594e+09	3.668313599999999952e-01	2.827752300000000218e+00	2.763520000000000199e+00	2.904387299999999868e+03	1.271068649999999991e+02	4.618367192193693072e-01	2.827812909685546994e-01	7.718296808918496676e-01	5.802004524612413405e+01	2.679578734542933560e+01	8.481583259155347321e+01	3.382917178976235562e+01	3.015186448247819229e+00	3.506854841607042861e+00	1.164994392170484172e+00	5.804855864090964213e-01	5.989017083380440809e+00	8.400536973890269099e-01	2.117219374347232563e-01	4.745927967647124213e+00	4.451759743847978790e+00	4.986219095685462399e-01
8.695011100000000681e+01	4.015675399999999939e+01	5.069713802669605940e+01	1.828478199999999942e+00	-8.704787499999999678e-01	1.248242631997558594e+09	1.914523900000000056e+00	8.005221300000000539e-01	2.751964500000000147e+00	5.058019199999999728e+03	1.271068649999999991e+02	4.618367192193693072e-01	2.827812909685546994e-01	7.718296808918496676e-01	4.864122520072847777e+01	2.246430386551494962e+01	7.110552906624342029e+01	2.836075629378941443e+01	7.338659853072913020e-01	3.162042528777083916e+00	1.164994392170484172e+00	5.804855864090964213e-01	5.989017083380440809e+00	8.400536973890269099e-01	2.117219374347232563e-01	4.745927967647124213e+00	4.451759743847978790e+00	7.875806096820479052e-01
8.695011100000000681e+01	4.015675399999999939e+01	5.069713802669605940e+01	1.447787799999999958e+00	-3.368401699999999943e-01	1.248242631997558594e+09	5.969940300000000200e+00	2.121131999999999795e+00	5.544210299999999592e+00	3.196628999999999905e+03	1.271068649999999991e+02	4.618367192193693072e-01	2.827812909685546994e-01	7.718296808918496676e-01	5.645865972007108269e+01	2.607468217664038335e+01	8.253334189671146248e+01	3.291879023168479534e+01	2.439718365663298805e+00	1.185435827589302882e+00	1.164994392170484172e+00	5.804855864090964213e-01	5.989017083380440809e+00	8.400536973890269099e-01	2.117219374347232563e-01	4.745927967647124213e+00	4.451759743847978790e+00	5.400668636327760064e-01
8.682209799999999689e+01	2.670884300000000167e+01	4.056470885664377590e+01	2.525600100000000126e+00	-1.226508399999999943e+00	1.248242631997558594e+09	4.729362000000000066e+00	5.612008099999999944e-01	2.144637900000000208e+00	3.108769899999999780e+03	1.135309409999999986e+02	3.076272471554419297e-01	2.059213461288592617e-01	7.070051090989083464e-01	5.683195001675517943e+01	1.748305633413006888e+01	7.431500635088525542e+01	2.655281960803349151e+01	6.709597804975251378e-01	2.594316095793876009e+00	1.326837591156581952e+00	5.999216220909224795e-01	1.834181114255678757e+00	7.285787902675697758e-01	3.673872501665949586e-01	1.596014435518545049e+00	3.430195549774224251e+00	5.276987323926616291e-01
8.677854200000000162e+01	4.552062200000000303e+01	5.415778603172073957e+01	6.173403099999999810e+00	8.906656699999999649e-01	1.248242631997558594e+09	7.529508999999999785e-01	2.999970699999999990e+00	3.701142299999999885e+00	3.773708000000000084e+03	1.322991640000000189e+02	5.245608067487467219e-01	3.222834279046724038e-01	6.697664725195576763e-01	5.358209931985139463e+01	2.810706924651271876e+01	8.168916856636411694e+01	3.344015471122943239e+01	2.797861709355977666e+00	5.098546477544065425e+00	1.020502212638298323e+00	1.145197564991188077e+00	1.491547410328021961e+00	7.857689488022872037e-01	3.713857392250528577e-01	1.799679896418110658e+00	3.291227306746131731e+00	6.195435248250866778e-01
8.676467900000000100e+01	4.456524999999999892e+01	5.354646992117828574e+01	6.184965400000000280e+00	9.402316499999999744e-01	1.248242631997558594e+09	5.529039199999999710e+00	2.462764299999999906e+00	4.470547800000000294e+00	5.054749700000000303e+03	1.313299289999999928e+02	5.136335489698521384e-01	2.264930786312955302e-01	7.633481671424853232e-01	4.854876415301573900e+01	2.493627403001380927e+01	7.348503818302954471e+01	2.996167299172322984e+01	2.615713376592726291e+00	2.962917858151284944e-01	1.229441302817645187e+00	5.936871637138626534e-01	5.176801954231653902e+00	8.100887340178106744e-01	1.682678883616376131e-01	4.624721111333183643e+00	3.518337758385250869e+00	7.871655543390466692e-01
8.663088999999999373e+01	2.653622199999999864e+01	4.037969871095391738e+01	2.342282799999999998e+00	-1.151391899999999913e+00	1.248242631997558594e+09	2.609735699999999881e+00	7.493363499999999844e-01	1.309399800000000003e+00	3.141698600000000170e+03	1.131671119999999888e+02	3.063136255439601330e-01	1.154614549888395292e-01	4.621314524237692400e-01	5.653491522803602010e+01	1.731741485332015529e+01	7.385233008135617183e+01	2.635160326250157681e+01	5.667300465257566477e-01	3.611131402275097546e+00	1.127939081330912918e+00	2.405454093954546124e+00	1.112030231275905390e+00	5.114727373289901236e-01	3.010978622318740694e-01	4.428667646140829639e+00	5.540697877416735473e+00	5.323431484874534547e-01
8.557219700000000273e+01	4.210564399999999807e+01	5.161556574124008989e+01	6.148368800000000078e+00	8.683198399999999539e-01	1.248242631997558594e+09	5.513113099999999989e+00	2.784991199999999889e+00	5.828604399999999686e+00	4.558289799999999559e+03	1.276778410000000008e+02	4.920481824254201997e-01	4.430900139331618859e-01	7.779960300996879852e-01	4.965180580108903285e+01	2.443108079856579451e+01	7.408288659965482736e+01	2.994905046667665971e+01	2.563809543192564711e+00	5.271442295494708219e+00	9.421394280995170067e-01	1.235470509453405086e+00	4.913682868007801297e+00	9.618925049162794227e-01	5.895575318518588848e-01	3.482252189342699200e+00	2.112749750170914709e+00	7.234458167103181570e-01
8.557219700000000273e+01	4.210564399999999807e+01	5.161556574124008989e+01	5.393645700000000431e+00	7.939174700000000140e-01	1.248242631997558594e+09	4.856416199999999961e+00	3.100753500000000162e+00	4.499492199999999720e+00	5.026930099999999584e+03	1.276778410000000008e+02	4.920481824254201997e-01	4.430900139331618859e-01	7.779960300996879852e-01	4.797638553395052696e+01	2.360669330132158095e+01	7.158307883527210436e+01	2.893846796471409277e+01	2.802637777743191450e+00	4.751265070149500502e+00	9.421394280995170067e-01	1.235470509453405086e+00	4.913682868007801297e+00	9.618925049162794227e-01	5.895575318518588848e-01	3.482252189342699200e+00	2.112749750170914709e+00	7.836315939108163819e-01
