#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.079702500000000009e+00	-7.204367899999999936e-02	7.850140899999999977e-01	-3.517747800000000091e-01	1.386814599999999897e+00	1.753622200000000131e-01
5.279491000000000156e+00	1.090395800000000026e+00	-7.289231799999999761e-02	8.222584899999999530e-01	-3.270304700000000175e-01	1.368212800000000007e+00	1.578694700000000117e-01
5.574605000000000032e+00	1.098451400000000078e+00	-7.238237599999999827e-02	8.568460700000000152e-01	-3.032140099999999783e-01	1.348484299999999969e+00	1.378973900000000086e-01
5.886215299999999928e+00	1.103661599999999909e+00	-7.152471200000000418e-02	8.878741999999999468e-01	-2.794319000000000108e-01	1.326175099999999940e+00	1.198129200000000033e-01
6.215244099999999605e+00	1.107312199999999969e+00	-7.093256500000000297e-02	9.158218999999999665e-01	-2.577821100000000087e-01	1.300486199999999926e+00	1.031531100000000062e-01
6.562665100000000251e+00	1.107285199999999969e+00	-6.934206399999999493e-02	9.363522100000000181e-01	-2.377092299999999936e-01	1.282126000000000099e+00	8.637002100000000515e-02
6.929506199999999616e+00	1.103939500000000073e+00	-6.701088700000000509e-02	9.523648900000000195e-01	-2.146852700000000114e-01	1.260233600000000065e+00	7.180971899999999408e-02
7.316853100000000332e+00	1.098257299999999992e+00	-6.297867000000000048e-02	9.622456700000000529e-01	-1.933156199999999936e-01	1.238274000000000097e+00	6.034591999999999734e-02
7.725851999999999720e+00	1.090153399999999939e+00	-5.726489800000000158e-02	9.659903699999999871e-01	-1.724846499999999894e-01	1.215162400000000087e+00	4.994079099999999827e-02
8.157713100000000495e+00	1.079775099999999988e+00	-5.310316300000000184e-02	9.670605399999999685e-01	-1.538805000000000034e-01	1.194082499999999936e+00	4.170251600000000197e-02
8.613714599999999777e+00	1.068592999999999904e+00	-4.588196700000000267e-02	9.662671999999999928e-01	-1.342292499999999944e-01	1.172712699999999941e+00	3.562482599999999833e-02
9.095205699999999283e+00	1.057559099999999974e+00	-3.920610699999999699e-02	9.637180499999999927e-01	-1.148108199999999940e-01	1.152502300000000091e+00	3.209598799999999891e-02
9.603611199999999570e+00	1.047013699999999936e+00	-3.310361700000000185e-02	9.619092399999999987e-01	-9.714915200000000250e-02	1.133018000000000081e+00	2.849262099999999923e-02
1.014043599999999934e+01	1.037028599999999967e+00	-2.687972300000000120e-02	9.600190100000000060e-01	-8.063021900000000297e-02	1.115679300000000040e+00	2.566374899999999959e-02
1.070726799999999912e+01	1.027612200000000087e+00	-2.071869100000000088e-02	9.584046899999999480e-01	-6.572200000000000264e-02	1.097160200000000030e+00	2.297093899999999925e-02
1.130578500000000020e+01	1.019930000000000003e+00	-1.558259900000000080e-02	9.580028699999999509e-01	-5.227752199999999988e-02	1.080915300000000023e+00	1.999159699999999984e-02
1.193775800000000054e+01	1.012098900000000024e+00	-1.130182400000000024e-02	9.584741599999999639e-01	-4.072221399999999963e-02	1.065963200000000111e+00	1.733138199999999934e-02
1.260505700000000040e+01	1.006141399999999964e+00	-7.663457999999999729e-03	9.597341700000000531e-01	-3.035444799999999915e-02	1.052280600000000010e+00	1.531133600000000004e-02
1.330965699999999963e+01	1.001432099999999936e+00	-4.805538699999999629e-03	9.619943699999999875e-01	-2.231373199999999932e-02	1.040816500000000033e+00	1.328175200000000084e-02
1.405364299999999922e+01	9.979930000000000190e-01	-2.703053999999999873e-03	9.652050599999999481e-01	-1.622738799999999884e-02	1.030723400000000067e+00	1.092763400000000031e-02
1.483921600000000041e+01	9.959354200000000157e-01	-1.218121599999999949e-03	9.676074799999999643e-01	-1.214069599999999943e-02	1.024400999999999895e+00	9.479989499999999167e-03
1.566870100000000043e+01	9.945977599999999974e-01	-5.939528400000000262e-04	9.694563600000000170e-01	-9.878696899999999184e-03	1.020688999999999957e+00	8.465961699999999951e-03
1.654455300000000051e+01	9.944397999999999849e-01	-4.012585699999999850e-04	9.686788499999999802e-01	-9.140666999999999889e-03	1.020579799999999926e+00	8.101035600000000558e-03
1.746936399999999878e+01	9.946391999999999456e-01	-6.158751600000000057e-04	9.662395599999999973e-01	-9.486962399999999962e-03	1.023124499999999992e+00	8.119946200000000350e-03
1.844586999999999932e+01	9.948178699999999930e-01	-8.434023800000000400e-04	9.624413600000000235e-01	-1.051488700000000054e-02	1.027003899999999970e+00	8.567310800000000129e-03
1.947696099999999930e+01	9.954630399999999657e-01	-9.630472600000000152e-04	9.589638000000000329e-01	-1.162222899999999955e-02	1.031992699999999985e+00	9.355380700000000618e-03
2.056568800000000152e+01	9.958308000000000160e-01	-9.764411800000000240e-04	9.551859700000000508e-01	-1.262873299999999963e-02	1.036728600000000000e+00	1.073942299999999968e-02
2.171527199999999880e+01	9.961404099999999762e-01	-7.357867399999999626e-04	9.521564900000000220e-01	-1.399592000000000024e-02	1.041595700000000013e+00	1.273187299999999945e-02
2.292911700000000152e+01	9.963444200000000084e-01	-1.020936100000000018e-04	9.494589900000000027e-01	-1.585002699999999917e-02	1.045693500000000054e+00	1.557264700000000023e-02
2.421081300000000169e+01	9.973354100000000333e-01	2.649242100000000146e-04	9.467968300000000337e-01	-1.804726400000000036e-02	1.049009000000000080e+00	1.908454899999999926e-02
2.556415399999999849e+01	9.985726299999999611e-01	8.008283199999999789e-04	9.461559099999999889e-01	-2.076201100000000035e-02	1.050918699999999983e+00	2.340859899999999869e-02
2.699314400000000091e+01	1.000141399999999958e+00	1.163498399999999926e-03	9.467914699999999684e-01	-2.457737299999999958e-02	1.052495200000000075e+00	2.926646000000000108e-02
2.850201200000000057e+01	1.001680899999999985e+00	8.716741100000000107e-04	9.485676100000000055e-01	-2.964015399999999842e-02	1.054122500000000073e+00	3.515984500000000207e-02
3.009522300000000072e+01	1.002855400000000063e+00	7.189742299999999937e-04	9.513664699999999641e-01	-3.545516299999999787e-02	1.054210199999999986e+00	4.172340199999999971e-02
3.177749100000000126e+01	1.004093899999999984e+00	-1.975889900000000077e-04	9.556082599999999871e-01	-4.344117799999999696e-02	1.054074299999999909e+00	4.799313899999999716e-02
3.355379599999999840e+01	1.004942000000000002e+00	-1.459754499999999910e-03	9.599177700000000035e-01	-5.385623700000000125e-02	1.052235100000000090e+00	5.511665000000000314e-02
