mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
9.998806799999999839e+01	3.713144700000000142e+01	5.180768383923653175e+01	3.683297200000000160e+00	7.681230000000000002e-01	1.241852074888224602e+09	3.747962900000000097e+00	2.820583399999999852e+00	4.915478300000000189e+00	4.808979900000000271e+03	1.371195150000000069e+02	3.713587805296928446e-01	1.265452569018607754e-01	9.704967410899634217e-01	5.694735870626441709e+01	2.114790168354533861e+01	7.809526038980976637e+01	2.950662828422428419e+01	2.303617282598767080e+00	5.045569153670943052e+00	1.601109748101188890e+00	8.862556539394856880e-01	5.979850210029022506e+00	9.709428083085757111e-01	8.643642643140813098e-01	5.011602766525891539e+00	4.708267669375327813e+00	7.557981664389457066e-01
9.993981200000000342e+01	4.107611500000000149e+01	5.471962345547755291e+01	3.786185099999999970e+00	1.100629700000000044e+00	1.241852074888224602e+09	3.435552200000000056e+00	3.268068299999999926e-01	2.458093299999999815e+00	5.711712900000000445e+03	1.410159270000000049e+02	4.110085278127199038e-01	9.684506799030860591e-02	8.553234948183036090e-01	5.345858895273890710e+01	2.197193594441054998e+01	7.543052489714945352e+01	2.926995558041499024e+01	1.143316901488274917e-01	1.839993345566937277e+00	1.053673926564059116e+00	2.660246421022777419e+00	5.935656722286733356e+00	9.839839107282376540e-01	9.602174269367572679e-01	4.351388770552370389e+00	4.003860185659517512e+00	8.694809189287378004e-01
9.993981200000000342e+01	4.107611500000000149e+01	5.471962345547755291e+01	3.395989600000000053e+00	5.253870000000000484e-01	1.241852074888224602e+09	5.412379800000000074e+00	2.394336299999999973e+00	4.666767899999999969e+00	5.588091199999999844e+03	1.410159270000000049e+02	4.110085278127199038e-01	9.684506799030860591e-02	8.553234948183036090e-01	5.390059302541309449e+01	2.215360338760759262e+01	7.605419641302069067e+01	2.951196420479101690e+01	2.423255688747783854e+00	6.098551009806541856e+00	1.053673926564059116e+00	2.660246421022777419e+00	5.935656722286733356e+00	9.839839107282376540e-01	9.602174269367572679e-01	4.351388770552370389e+00	4.003860185659517512e+00	8.541505091211206713e-01
9.977888500000000249e+01	3.732398599999999789e+01	5.190470042283990892e+01	3.754992800000000130e+00	1.039097099999999996e+00	1.241852074888224602e+09	3.198287200000000219e+00	6.206632300000000102e-01	2.530556499999999875e+00	5.572860599999999977e+03	1.371028709999999933e+02	3.740669781988443243e-01	5.030603617375380837e-02	2.044700611804393664e-01	5.386881586512780729e+01	2.015054516981832577e+01	7.401936103494612951e+01	2.802240924633087005e+01	6.598448522919941883e-01	2.723219589782562178e+00	8.033904762185154480e-01	2.576038697174403591e+00	2.056065722306907873e+00	2.840989949126294101e-01	4.056646292813350096e-01	2.671982186427605654e+00	4.728047908734513527e+00	8.522568836452232288e-01
9.974806200000000445e+01	1.250136099999999928e+01	2.802078090211941941e+01	4.123603799999999708e+00	1.281382500000000091e+00	1.241852074888224602e+09	1.563276600000000016e+00	6.574296400000000373e-01	3.224638899999999975e+00	1.613319799999999987e+03	1.122494230000000073e+02	1.253293622887630410e-01	-2.026301399795548686e-01	8.116631485363908771e-01	7.658697960205186916e+01	9.598597313147664067e+00	8.618557691519953323e+01	2.151447288654274459e+01	1.254528110484741221e+00	8.733127369641237037e-01	1.744634564066824156e+00	2.576367085004970026e+00	1.996636115201468442e+00	8.240836159312033837e-01	8.077436051371312820e-01	1.616763100705990830e+00	3.613399215907458828e+00	3.024154042670670894e-01
9.974806200000000445e+01	1.250136099999999928e+01	2.802078090211941941e+01	3.944967800000000135e+00	1.163624400000000003e+00	1.241852074888224602e+09	6.069608200000000231e+00	1.565022200000000030e+00	3.399335100000000054e+00	1.462455999999999904e+03	1.122494230000000073e+02	1.253293622887630410e-01	-2.026301399795548686e-01	8.116631485363908771e-01	7.807166586434156841e+01	9.784672095599320940e+00	8.785633795994090178e+01	2.193154433264268377e+01	4.600698360479847926e-01	4.345492914368612958e+00	1.744634564066824156e+00	2.576367085004970026e+00	1.996636115201468442e+00	8.240836159312033837e-01	8.077436051371312820e-01	1.616763100705990830e+00	3.613399215907458828e+00	2.776474140224398646e-01
9.913166800000000478e+01	2.783032199999999889e+01	4.402543368184616668e+01	3.576228899999999822e+00	4.880775600000000214e-01	1.241852074888224602e+09	4.799974299999999694e+00	5.485550900000000230e-01	2.276772199999999913e+00	3.499892800000000079e+03	1.269619900000000001e+02	2.807409837994453983e-01	2.949281691376388556e-02	6.012525474264895919e-01	6.265448277160437129e+01	1.758968113274561063e+01	8.024416390434997481e+01	2.782552570518273782e+01	7.941247982421940632e-01	2.292427107921605423e+00	1.322790942137052950e+00	2.014109886721693776e+00	3.257597172880833281e+00	6.202290956212809236e-01	9.506380998578571884e-01	1.055154839564764302e+00	4.312752012445597138e+00	5.821959357858982331e-01
9.907778899999999567e+01	9.672081900000000232e+00	2.407753445571626116e+01	3.741520899999999816e+00	1.147216900000000095e+00	1.241852074888224602e+09	3.888635600000000192e+00	2.470634899999999856e+00	2.410047300000000003e+00	1.600670499999999947e+03	1.087498708999999906e+02	9.762109144361307000e-02	-4.588505436348982308e-02	3.841253403778943643e-02	7.619275231913388780e+01	7.438019641486731004e+00	8.363077196062062058e+01	1.851609364476029640e+01	2.448465095866495300e+00	5.195563983641028116e+00	8.268202374640285512e-01	2.424227670493444897e+00	6.049328774316943047e+00	7.950522302010780765e-03	7.578513152289948485e-01	4.567814859051061660e+00	4.333958326188417587e+00	3.003571335107039775e-01
9.907778899999999567e+01	9.672081900000000232e+00	2.407753445571626116e+01	9.554847100000000149e-01	-2.518110199999999965e-01	1.241852074888224602e+09	3.367328600000000005e+00	2.369960600000000195e+00	3.452716599999999803e-01	1.722342100000000073e+03	1.087498708999999906e+02	9.762109144361307000e-02	-4.588505436348982308e-02	3.841253403778943643e-02	7.505765635759965448e+01	7.327210334828521354e+00	8.238486669242817584e+01	1.824024663202180108e+01	2.344835779785916952e+00	4.689421697055049520e+00	8.268202374640285512e-01	2.424227670493444897e+00	6.049328774316943047e+00	7.950522302010780765e-03	7.578513152289948485e-01	4.567814859051061660e+00	4.333958326188417587e+00	3.200224175393969750e-01
9.907778899999999567e+01	9.672081900000000232e+00	2.407753445571626116e+01	5.046058399999999722e-01	1.168848000000000109e+00	1.241852074888224602e+09	2.173622700000000130e+00	3.461848900000000229e-01	6.816867800000000477e-01	7.336350599999999531e+02	1.087498708999999906e+02	9.762109144361307000e-02	-4.588505436348982308e-02	3.841253403778943643e-02	8.616946855726683907e+01	8.411957569676486557e+00	9.458142612694331319e+01	2.094059999883880252e+01	3.382733782695535041e-01	3.428150568302286150e+00	8.268202374640285512e-01	2.424227670493444897e+00	6.049328774316943047e+00	7.950522302010780765e-03	7.578513152289948485e-01	4.567814859051061660e+00	4.333958326188417587e+00	1.498015556885384514e-01
