luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
4.616371792221182346e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.600276255212322862e+00	1.187628074470402639e+00	8.303329273176032754e-02	5.245937456736753379e-01	2.734835075944678007e+00	1.147941956587171353e+00	1.636562329308257402e+00	7.421394091189770226e-01	2.787904329682725724e+00	1.197483882392931465e+00	1.583884617774468540e+00	1.175463194347780904e+00	2.759347812122249444e+00	1.185218049181993250e+00	4.872334320637481710e-03	3.723915604866304130e-01	1.034900980406415656e-02
4.716003437001764809e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.641791365347072151e+00	1.159696516447711989e+00	5.863446412753209325e-01	1.230355662425925561e-01	2.693710571650455687e+00	1.624589502136100316e+00	8.094872179669765355e-01	7.063604675509752573e-01	2.801487881794784141e+00	1.197621660796248655e+00	1.624618184701602353e+00	1.147566060537640542e+00	2.772184245239242895e+00	1.185094506883830556e+00	1.666042864884077074e-02	5.854964914103842899e-01	1.057059486787910625e-02
4.738722754312287577e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.445958001242978908e+00	1.309375334149329717e+00	5.414329115675390325e-01	3.276886169479532873e-02	2.897134315045268416e+00	1.600950560713996884e+00	9.431655093922429733e-01	9.055417467338334747e-01	2.755333335392308847e+00	1.197559419960336324e+00	1.430761722586878948e+00	1.295614469431231042e+00	2.726376192018109990e+00	1.184973683281047796e+00	5.778692266591239305e-04	5.411867737493928354e-01	1.062111071061114069e-02
3.427886038272130520e+01	3.446159999999999890e+00	-4.080840000000000023e-01	2.102457506394593612e+00	9.304264058441433782e-01	2.565147389991973004e-01	2.037691611371344469e-01	2.388800052722062972e+00	1.123900134912411364e+00	1.127946508856810359e+00	4.425423120392517617e-01	3.032883912238736990e+00	1.198048487024277131e+00	2.086392076124694572e+00	9.233167731885969509e-01	3.009708849313291523e+00	1.188893883723279865e+00	1.036362637034922429e-01	2.313231479193613438e-01	7.700101267514019611e-03
3.433043269718660184e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.666893998859877213e+00	1.143545513792867618e+00	2.261308834273767499e-01	1.714909153657574459e-01	2.260305983668202234e+00	1.579186643990009076e+00	1.145195489782868226e+00	6.860337337437355520e-01	2.810439512652744831e+00	1.197683355146714757e+00	1.654137917161674798e+00	1.134794411437509698e+00	2.788932328599184274e+00	1.188517957264618730e+00	2.768393372303717612e-02	2.261229239583850692e-01	7.711619185956700845e-03
4.510456441765665403e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.674095558700725572e+00	1.138819332675447216e+00	2.672514437361217521e-01	8.060591689411045202e-01	2.861422565306357857e+00	1.655858972053876332e+00	1.473423956972855997e+00	6.802594551766751874e-01	2.812914891376173010e+00	1.197594317921009344e+00	1.657334321717001568e+00	1.127417342736812156e+00	2.784751664453813724e+00	1.185603866080485957e+00	1.821271621137507749e-02	5.168461784127958980e-01	1.011337107069565713e-02
2.894868671353368939e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.376861986110598179e+00	1.374179867765138896e+00	3.111114492201503753e-02	1.674140155074966274e-01	2.145232909574614322e+00	2.924065201664737934e+00	1.479144573916959526e+00	9.980520063938754793e-01	2.751041853875737075e+00	1.197459834844791793e+00	1.367958396839666690e+00	1.365293622629178749e+00	2.733252019468845440e+00	1.189716364079059563e+00	-7.550110480205122696e-03	1.663402708131647423e-01	6.508669628770139166e-03
4.283626360976079184e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.738497976057008065e+00	1.100107986602381738e+00	2.403670900108980657e-01	4.104666666138779285e-01	2.587425758756331184e+00	1.862373308010663031e+00	9.780727051813727924e-01	6.327922158974704780e-01	2.838605962659389803e+00	1.197690713166092324e+00	1.721952690854341661e+00	1.089638258916330926e+00	2.811590949770672587e+00	1.186292290673325533e+00	4.654598853742453191e-02	2.302216140769538510e-01	9.608443536539553603e-03
2.657936248916296051e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.613690428749388950e+00	1.178578026086861463e+00	2.516726309842064468e-01	6.826398089627888632e-02	2.076032006120092532e+00	1.648622365768026787e+00	1.744541434476064024e-01	7.303619114852532013e-01	2.792268454836250413e+00	1.197610799590944408e+00	1.604100512931371458e+00	1.171573916839031559e+00	2.775674429770403240e+00	1.190493581476360641e+00	1.706794954860533023e-02	2.509108385928749962e-01	5.978375881504250852e-03
3.768033178002551864e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.382497724422637519e+00	1.368944860856927015e+00	2.678301461246811455e-01	5.634542071609596192e-01	2.549043089403915552e+00	1.631891544395810190e+00	1.547778883580400944e+00	9.901968275778750828e-01	2.751442585279564312e+00	1.197617511362884191e+00	1.370900861377069901e+00	1.357461683859350954e+00	2.728362545236420633e+00	1.187571486682410304e+00	-1.764630557525603046e-03	5.569983339710188330e-01	8.459301013144397696e-03
4.116295535182357668e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.678163956053172923e+00	1.136230267647021952e+00	1.849300312768545618e-01	3.762693435682014642e-01	2.520415876905977015e+00	1.502158140931395103e+00	1.488188618974003230e+00	6.770674960266040987e-01	2.814394223700194875e+00	1.197577036166213693e+00	1.662806742403799776e+00	1.125832397455495348e+00	2.788639139859295124e+00	1.186617769439235470e+00	2.009727612284044340e-02	2.402967454105866540e-01	9.235717692106799881e-03
3.633725533891039561e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.622819300374687579e+00	1.172446890818952925e+00	1.128973943917220002e-01	1.224828118309850833e-01	2.400489842735933799e+00	1.779200050134106759e+00	8.199341292270525550e-01	7.224753184462684441e-01	2.795266191193640282e+00	1.197659522072284100e+00	1.609684862741354694e+00	1.162957583807198159e+00	2.772642446548552631e+00	1.187966154304847866e+00	2.149016254419813116e-02	1.104545689140917358e-01	8.159632942664507213e-03
4.444181132623787533e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.394846882218139461e+00	1.356574910183857785e+00	1.714158795027181242e-02	5.482864110514351630e-01	2.778059193252834014e+00	6.556922404105650637e-01	1.619751084190745427e+00	9.725618829405704435e-01	2.751421792401997024e+00	1.197486856641009068e+00	1.381083172100500578e+00	1.343188850355598651e+00	2.724272022456098785e+00	1.185670604854089261e+00	-6.340718966954911502e-03	5.304911116857042863e-01	9.965880691099699915e-03
3.975919550771293842e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.795588950060276412e+00	1.068408603280124103e+00	4.538679372782892241e-01	4.559744296874692487e-02	2.525406621996366674e+00	1.451437413901129014e+00	1.190351712766562375e+00	5.950184774996852832e-01	2.863997553340400515e+00	1.197766195470692185e+00	1.779708836168574448e+00	1.058959642089762010e+00	2.838668478258336236e+00	1.187173201122477595e+00	4.019979062272310832e-02	4.506387475943887666e-01	8.922871859134736197e-03
4.694704973617693611e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.413302362438194848e+00	1.338979404059877032e+00	2.583896901291029558e-01	1.477282753668338611e-01	3.009590081332009781e+00	1.389200001526224026e+00	1.984174616958174653e+00	9.474118487638429897e-01	2.752281766498072102e+00	1.197475979227894172e+00	1.398584731757310351e+00	1.325035746367076772e+00	2.723620478124387567e+00	1.185005888127853790e+00	-4.907713907180505375e-03	2.541408980013490915e-01	1.052323134000734094e-02
4.113994281061550851e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.607023133625504308e+00	1.183153351174661472e+00	4.320413225716857042e-01	4.969547817748226071e-01	2.636288173219015984e+00	1.419145804959784263e+00	1.701866016788472935e+00	7.362391532631040736e-01	2.790176484800166001e+00	1.197599387516092406e+00	1.592325033429676795e+00	1.172332034331909245e+00	2.764657067761586262e+00	1.186645944828269128e+00	1.005056001171949868e-02	4.270828190190867346e-01	9.230590417943532536e-03
4.743028541618876659e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.825903203638564953e+00	1.052393066642335562e+00	1.701693944840155515e-01	6.427015537013360813e-01	3.015864613531392013e+00	1.411044119024714494e+00	1.441124412289200407e+00	5.763684868645727599e-01	2.878296270280900515e+00	1.197750437902236564e+00	1.806696780140734981e+00	1.041323089392811152e+00	2.848019869533545911e+00	1.185151466549746679e+00	4.755848520075691560e-02	3.401616735923590484e-01	1.063068452268675634e-02
4.425946226373100956e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.549541030193222868e+00	1.224729215736155119e+00	1.128390623185634017e-01	3.143102815890911339e-01	2.880101075648413556e+00	1.147733032802090047e+00	1.695951829346271644e+00	7.903819207571646244e-01	2.774270245929377765e+00	1.197612008957457563e+00	1.534312523215996427e+00	1.212692879141231028e+00	2.747005402357227233e+00	1.185842173581014070e+00	8.554620763265657901e-03	2.383725039528618583e-01	9.925296669877075803e-03
3.466469899292083312e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.711412503787899109e+00	1.115949716489343491e+00	3.167433770950414118e-01	4.941455529960389059e-01	2.367515605146190527e+00	1.270069455338461051e+00	1.737534005018391836e+00	6.520635521941042789e-01	2.827362220277242599e+00	1.197631764025522516e+00	1.698189950656207703e+00	1.107327771525217663e+00	2.805517722181425366e+00	1.188378734965036543e+00	2.442237857127661782e-02	3.025283877710979175e-01	7.786262736145630955e-03
3.638132579413212397e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.443171005446334032e+00	1.311647148550497244e+00	3.819200701181957314e-02	1.691692029013463702e-02	2.432740553316149246e+00	2.141600086324807251e+00	6.530996183707054037e-01	9.088646761891118198e-01	2.754818153996831498e+00	1.197463546486966512e+00	1.431476603021758942e+00	1.301018519277660657e+00	2.732495122299419599e+00	1.187760177621787205e+00	-4.413318558533538272e-03	3.213731237494569376e-02	8.169468086232714588e-03
