luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
3.786309333165477398e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.474087547517431984e+00	1.285067364640194443e+00	2.964880303592012240e-02	8.025793212564080736e-04	2.532518083586214885e+00	1.334023414865899371e+00	2.548147347216272784e+00	8.717713997410982962e-01	2.759154912157626427e+00	1.197606890962445769e+00	1.461663307773756637e+00	1.274236267768131592e+00	2.735899575541888229e+00	1.187512948335324392e+00	3.405644931574564223e-03	2.882160152108467072e-02	8.500069528733368573e-03
3.824928473186214717e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.577161566301758411e+00	1.204349198104488039e+00	2.619304951795398476e-02	1.303764427921209022e-02	2.517011102799374456e+00	1.661512571054661325e-01	2.022183757639277157e+00	7.636181503766493739e-01	2.781510764406246672e+00	1.197625456828066648e+00	1.563735016080747942e+00	1.194096440658780844e+00	2.757831456739528786e+00	1.187429939332818485e+00	1.218488200738563308e-02	8.622013005324514687e-03	8.586205516240195956e-03
3.688613743979278325e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.438201211039361604e+00	1.316347472083738257e+00	4.850881445996969160e-02	3.300843251497436598e-02	2.402031241082995816e+00	1.316439196548491841e+00	1.866801902779668509e+00	9.152735110912875172e-01	2.754548683123100083e+00	1.197578597296916403e+00	1.426387701435030575e+00	1.305534879669871584e+00	2.731922581104902381e+00	1.187741582731420387e+00	1.771614052296186610e-03	4.694805580511027254e-02	8.282116841336914156e-03
4.152795481066888073e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.452831543648634316e+00	1.303040303451873605e+00	4.426462447046706356e-02	1.520147034363234992e-02	2.744129017944239912e+00	1.714508776872959883e+00	1.918680565598112731e+00	8.968970347239462182e-01	2.755871847100507921e+00	1.197435314153248775e+00	1.439420408281031127e+00	1.291011895908388718e+00	2.730432304189419845e+00	1.186381749710583078e+00	-5.792363035279492027e-03	4.380830607149302502e-02	9.317038504142763702e-03
4.754305698940643765e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.448029124055245642e+00	1.307496667105779498e+00	1.643279577862461621e-02	8.758526356942866742e-03	2.932574516405868525e+00	1.433032751497112400e+00	2.067108480908209867e+00	9.029491502519637613e-01	2.755525791161025140e+00	1.197539470050720700e+00	1.432761956306463746e+00	1.293711190960262547e+00	2.726473147266726293e+00	1.184913317944159772e+00	-7.931012634259284721e-04	1.627710485380332028e-02	1.065576014325474163e-02
4.102585662413534351e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.518581789126808301e+00	1.248733378345585621e+00	3.170877350520434623e-02	2.710221225468995715e-02	2.538948574120534651e+00	1.370830734679042040e+00	1.054427520064101786e+00	8.223023529497303086e-01	2.767315167472394144e+00	1.197658552367164786e+00	1.504730489157488194e+00	1.237343421789401265e+00	2.742073910946889903e+00	1.186734459909031258e+00	9.494454334609480142e-03	3.107692587295132411e-02	9.205170008268781859e-03
3.353466587763188755e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.390371102306835249e+00	1.361560437626614384e+00	4.633964663181140697e-02	3.443630876686262776e-02	2.344883594235820379e+00	1.101282963499707890e+00	1.414544682106879225e+00	9.792784353526770014e-01	2.751931539933449855e+00	1.197769000160401109e+00	1.379974535359886012e+00	1.351379303813766475e+00	2.731353839173652709e+00	1.188812624717551891e+00	1.324437228468424571e-02	4.132516737590217343e-02	7.533883184473293311e-03
4.102760829332596870e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.462190485182718991e+00	1.295089214670231526e+00	2.659252915567206221e-02	1.512380350872563964e-02	2.614363214021345971e+00	1.671596636963371907e+00	1.233285851641566122e+00	8.857185351663630080e-01	2.757279699852950294e+00	1.197528945128848443e+00	1.448852981687215546e+00	1.283275940611418031e+00	2.732128922298633356e+00	1.186605575941675372e+00	9.332001649728487733e-04	2.645754411985800844e-02	9.205560304656830797e-03
3.088182851909349580e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.571204818682235160e+00	1.208387779194312284e+00	1.856825163007871926e-02	1.324816825156308053e-02	2.250720982784927937e+00	1.487317270135232405e+00	8.362985491175733976e-01	7.690835496595431753e-01	2.779592597876547444e+00	1.197477182412953089e+00	1.560374223604584554e+00	1.200058146687067673e+00	2.760432370291652227e+00	1.189222758595491758e+00	4.735243492295330460e-03	1.850359041513067668e-02	6.941024091407367418e-03
2.471714624196140875e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.503899892115410530e+00	1.260476263203371250e+00	2.935640507455397619e-02	1.602694753935937633e-02	2.054239692222061819e+00	1.157027572408096727e+00	7.959306775686517677e-01	8.381384092197549096e-01	2.764376155318781780e+00	1.197657758553321905e+00	1.495582535003601610e+00	1.253505166744767196e+00	2.749087701748369028e+00	1.191034081453641535e+00	1.153393995343004845e-02	2.687907830609110107e-02	5.561282588652917067e-03
4.114965692761637683e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.490423982113469270e+00	1.271392594849937607e+00	9.068025371613896296e-03	2.527625827408302647e-02	2.665888541913728371e+00	1.812507310705138375e+00	9.641512847873752179e-01	8.530408864241850742e-01	2.761816576963406877e+00	1.197608137263219463e+00	1.476789150516903071e+00	1.259761526018558175e+00	2.736550676535461246e+00	1.186652070086209765e+00	5.462406991283393423e-03	1.731743567572224113e-02	9.232754446898330108e-03
2.782693271038013805e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.436066142294341041e+00	1.318204501015451502e+00	2.658091474074490701e-02	8.777304227928311303e-03	2.040169171984388186e+00	1.632153956987316690e+00	1.159839637911074472e+00	9.179274284048037913e-01	2.754270643309792543e+00	1.197548241449224005e+00	1.427135618565134934e+00	1.310006928334393361e+00	2.737142546899528295e+00	1.190100998824281442e+00	8.283502517073225695e-04	2.653089507025251786e-02	6.257655973988585953e-03
4.434110242388775447e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.396918711039837113e+00	1.354355646609015640e+00	3.682507393458624850e-02	4.603246012096213341e-02	2.877909376629575799e+00	1.802943647552246675e+00	1.861325516113733203e+00	9.695307507198193120e-01	2.751274357648852753e+00	1.197389744885631435e+00	1.383165254591833593e+00	1.341021247653990445e+00	2.724186502245824038e+00	1.185600764197333623e+00	-1.079287918425769766e-02	4.257097082009492911e-02	9.943465831248003012e-03
3.821049746144959158e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.552979236589422385e+00	1.221754160729905392e+00	2.915428766155349696e-02	3.993597165229571117e-02	2.525124565199183380e+00	1.419825221721435549e+00	1.679259656336486994e+00	7.867163526365378301e-01	2.774733397319327999e+00	1.197417037605188916e+00	1.539771760269382783e+00	1.211363623131870515e+00	2.751135383401253520e+00	1.187233477647160029e+00	5.505632721758641022e-04	3.018625485893705607e-02	8.577554583627969992e-03
4.244742367246480086e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.426980740657213031e+00	1.326581469919448031e+00	1.102644820730008107e-02	2.759465649272255586e-02	2.818339621392582206e+00	1.088891566716548409e+00	1.571827517890343584e+00	9.296421683368165656e-01	2.753562210576661062e+00	1.197601260459310257e+00	1.413521400649661697e+00	1.314069099890445624e+00	2.727590500540107321e+00	1.186305436977789451e+00	2.634659948007895408e-03	2.538728332120847656e-02	9.521850890524286362e-03
2.692666128560620820e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.499673628699204730e+00	1.263739120858327070e+00	1.330604669771261357e-02	3.987437268070567406e-03	2.179197601765847203e+00	2.254953362295704644e-01	9.824129284649166793e-01	8.426760974349306599e-01	2.763412749557531800e+00	1.197576759318180972e+00	1.490646076838281653e+00	1.256131818686772927e+00	2.746777895525054802e+00	1.190367733237247316e+00	8.050306016427881753e-03	2.975088144419576856e-03	6.056133646472914266e-03
3.766190721283663123e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.548280172008762667e+00	1.225563672125618897e+00	3.672323455956468669e-02	3.173073223903122297e-02	2.473937017707149355e+00	1.429192788392163571e+00	1.359458566138836533e+00	7.915645335272579741e-01	2.773843844134381342e+00	1.197553314426703652e+00	1.535298926657688190e+00	1.215288178704692745e+00	2.750587105362380491e+00	1.187512668246111902e+00	5.833732109939366965e-03	3.635567025344225989e-02	8.455190794234819854e-03
3.558732378246824624e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.456302597539462784e+00	1.300261817355793159e+00	2.883534891373972994e-02	4.769209467028603239e-02	2.384086831656248684e+00	3.146487747684095782e-01	2.400042609851838815e+00	8.928514029657622642e-01	2.756564414895255943e+00	1.197556000312901325e+00	1.444755747685594782e+00	1.289952196263931983e+00	2.734707943949526765e+00	1.188060721412365517e+00	-2.103286697718028970e-03	2.829976827998614136e-02	7.992250504879765821e-03
4.563568968814446691e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.389195344642975005e+00	1.362588291057304613e+00	4.520354581898710505e-02	4.239548020630672792e-02	2.803370025456803472e+00	4.275022092083273773e-01	2.258587707915582055e+00	9.808471474596623940e-01	2.751783635700279618e+00	1.197716207370279839e+00	1.375125681863278881e+00	1.348788102454120175e+00	2.723913784317399056e+00	1.185585830452116962e+00	7.439684386152263171e-03	3.204084261507617742e-02	1.023154680714859731e-02
4.279632045930605244e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.550264054011333492e+00	1.224157516100929488e+00	3.957031733428602316e-02	6.385885263199909782e-03	2.803611971300736361e+00	1.053155088326797495e+00	1.719796501788672272e+00	7.896445208372095959e-01	2.774421570112262980e+00	1.197598650297667877e+00	1.535523718481659250e+00	1.212517890914620144e+00	2.748041609396279394e+00	1.186211554086802789e+00	1.052280613685285804e-02	3.438616202907883446e-02	9.599549230180255688e-03
2.263561708896143543e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.613538074112724985e+00	1.178583125921867536e+00	4.690796070656816016e-03	4.027786217783779071e-02	1.875209945694068958e+00	1.608859362146396688e+00	6.701963138530143693e-01	7.304340348894236001e-01	2.792121200034592299e+00	1.197558696164253034e+00	1.605359160797584783e+00	1.172608969268078782e+00	2.777968130065663122e+00	1.191488353652437215e+00	1.322107344796342142e-02	1.747848804631652042e-02	5.094756061364349997e-03
4.451849084148484081e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.429771521997838635e+00	1.323896661826999388e+00	1.429158576698422861e-02	1.251159032549786429e-02	2.841618267565976463e+00	2.546413475152882189e+00	6.254514331353837608e-01	9.259498048870781206e-01	2.753668183824838245e+00	1.197540242453080550e+00	1.415639268415560981e+00	1.310810904379874575e+00	2.726450172795435556e+00	1.185703426485672507e+00	-1.267991594509831118e-03	8.012679485762260259e-03	9.982948267671992379e-03
4.582995941139268581e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.452926489851391167e+00	1.303362762215649617e+00	1.909314867292523712e-02	2.771323275885342885e-02	2.735528336143357997e+00	1.911356943087439531e+00	8.171582177906447919e-01	8.970603614976836448e-01	2.756289252067040785e+00	1.197623783728766655e+00	1.438149837032578482e+00	1.290107212696279815e+00	2.728257049728858075e+00	1.185443628033812757e+00	5.605777222057256419e-03	1.799658254000946478e-02	1.027476584032598061e-02
4.362392707651655144e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.439088656777810282e+00	1.315208037333545743e+00	2.370713159029185207e-03	2.681053419399475127e-02	2.708097305185650505e+00	2.069413566048278863e+00	1.901446760571677164e+00	9.139173122789813197e-01	2.754296694111356025e+00	1.197421518218052983e+00	1.425145287863565979e+00	1.302464951091325318e+00	2.727610238954891297e+00	1.185819668744962030e+00	-4.748731071491627681e-03	2.287942211303908499e-02	9.783822767394223865e-03
3.051586387528449507e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.397839552656236162e+00	1.353969523371811201e+00	3.445631664401049843e-02	2.026534767101829254e-02	2.131877565371044003e+00	1.726860225155365747e+00	7.307368730260079825e-01	9.686158334831338479e-01	2.751809076028047585e+00	1.197611805802438756e+00	1.388316814945482092e+00	1.344745648847067931e+00	2.733062463792550467e+00	1.189453113279904439e+00	4.704851056256263882e-03	3.403755961835479293e-02	6.859196408370142953e-03
3.748687903341728145e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.429915154776218777e+00	1.323735970644482673e+00	4.314219143066126694e-02	9.992490353854754231e-03	2.439121658210178900e+00	1.649571040881324002e+00	1.677087239805409302e+00	9.257444165291379701e-01	2.753651125420701451e+00	1.197526686595963064e+00	1.417981216232282460e+00	1.312688193670231707e+00	2.730669409902514388e+00	1.187532240537521044e+00	-2.272572027173026896e-03	4.300840216115316833e-02	8.416147130387288330e-03
4.617066303503859359e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.445830400187673392e+00	1.309462507331427883e+00	2.854324951031702445e-02	3.751361302628043737e-02	2.841268239588246480e+00	8.135032621482788384e-01	2.135321183961126579e+00	9.056819576912032987e-01	2.755292907519101497e+00	1.197547358843985554e+00	1.431018562959435192e+00	1.296047693593553651e+00	2.727066256552988843e+00	1.185279061988419702e+00	7.507281070543881264e-04	2.830082945765550681e-02	1.035055561935308878e-02
