#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.155156300000000025e+00	4.211869900000000250e-02	9.700389299999999659e-01	-2.363167899999999988e-01	1.361769400000000019e+00	3.154708999999999985e-01
5.279491000000000156e+00	1.153371900000000005e+00	2.801955899999999944e-02	9.828766899999999973e-01	-2.028247999999999995e-01	1.339337100000000058e+00	2.522329400000000166e-01
5.574605000000000032e+00	1.148001599999999955e+00	1.452479700000000075e-02	9.960287399999999680e-01	-1.696286499999999919e-01	1.312205300000000019e+00	1.909719099999999947e-01
5.886215299999999928e+00	1.141012399999999927e+00	1.102395099999999972e-03	1.008707500000000090e+00	-1.396098600000000023e-01	1.280273999999999912e+00	1.374100500000000058e-01
6.215244099999999605e+00	1.132541800000000043e+00	-9.368336999999999151e-03	1.020063799999999965e+00	-1.123452399999999990e-01	1.246250300000000033e+00	9.203974400000000666e-02
6.562665100000000251e+00	1.122495299999999974e+00	-1.727531499999999942e-02	1.030161300000000058e+00	-9.069675200000000548e-02	1.214395399999999903e+00	5.589976199999999867e-02
6.929506199999999616e+00	1.110560200000000108e+00	-2.330581099999999919e-02	1.034066799999999953e+00	-7.537265599999999621e-02	1.186449099999999923e+00	2.875497299999999964e-02
7.316853100000000332e+00	1.098701900000000009e+00	-2.872978199999999885e-02	1.033185100000000078e+00	-6.609100900000000611e-02	1.162935100000000110e+00	9.679830299999999180e-03
7.725851999999999720e+00	1.084764000000000062e+00	-3.244048399999999860e-02	1.026707800000000059e+00	-6.287752500000000355e-02	1.145588100000000109e+00	-2.431452399999999882e-03
8.157713100000000495e+00	1.072025500000000076e+00	-3.557755399999999735e-02	1.016084299999999940e+00	-6.239676300000000092e-02	1.131332400000000016e+00	-8.715074200000000673e-03
8.613714599999999777e+00	1.059915500000000010e+00	-3.824148200000000025e-02	1.004854499999999984e+00	-6.488905899999999893e-02	1.120644500000000043e+00	-1.204507800000000073e-02
9.095205699999999283e+00	1.049413799999999952e+00	-4.045743200000000150e-02	9.956544299999999792e-01	-6.910086000000000006e-02	1.111094000000000026e+00	-1.176797199999999981e-02
9.603611199999999570e+00	1.040872500000000089e+00	-4.114157200000000125e-02	9.878086999999999840e-01	-7.354760300000000306e-02	1.100917600000000052e+00	-8.692229699999999906e-03
1.014043599999999934e+01	1.033345600000000086e+00	-4.040084299999999878e-02	9.835823999999999678e-01	-7.809962700000000480e-02	1.089864799999999967e+00	-4.045124300000000304e-03
1.070726799999999912e+01	1.026695600000000042e+00	-3.899398500000000184e-02	9.812204300000000323e-01	-8.194042599999999676e-02	1.077801500000000079e+00	1.572524999999999964e-03
1.130578500000000020e+01	1.021386799999999928e+00	-3.603552799999999723e-02	9.807784899999999473e-01	-8.510922799999999511e-02	1.066768500000000008e+00	7.869168899999999175e-03
1.193775800000000054e+01	1.017037200000000086e+00	-3.327428899999999856e-02	9.817793200000000109e-01	-8.791959400000000369e-02	1.055675499999999989e+00	1.359878200000000023e-02
1.260505700000000040e+01	1.012833799999999895e+00	-3.080529900000000126e-02	9.832600700000000415e-01	-9.030734999999999457e-02	1.045773800000000087e+00	1.875858199999999934e-02
1.330965699999999963e+01	1.009261500000000034e+00	-2.910909199999999961e-02	9.837052299999999860e-01	-9.127229900000000118e-02	1.036770799999999992e+00	2.285063299999999867e-02
1.405364299999999922e+01	1.005955099999999991e+00	-2.700534500000000004e-02	9.822633699999999690e-01	-9.047470000000000512e-02	1.029887999999999915e+00	2.478119200000000050e-02
1.483921600000000041e+01	1.002413400000000010e+00	-2.559077599999999911e-02	9.793722200000000155e-01	-8.759255200000000408e-02	1.025568899999999894e+00	2.534050499999999928e-02
1.566870100000000043e+01	9.989637700000000287e-01	-2.389910400000000087e-02	9.745428099999999816e-01	-8.248615700000000439e-02	1.023866699999999907e+00	2.444638500000000103e-02
1.654455300000000051e+01	9.960553100000000271e-01	-2.243780700000000058e-02	9.682251899999999578e-01	-7.537410699999999575e-02	1.024473900000000048e+00	2.228911000000000087e-02
1.746936399999999878e+01	9.939102499999999951e-01	-2.075925299999999835e-02	9.632821200000000195e-01	-6.716161800000000626e-02	1.025002200000000085e+00	1.953867899999999977e-02
1.844586999999999932e+01	9.921626000000000056e-01	-1.842659099999999911e-02	9.592151899999999953e-01	-5.802413299999999857e-02	1.025239800000000034e+00	1.618119999999999975e-02
1.947696099999999930e+01	9.907765400000000389e-01	-1.668515500000000013e-02	9.574671599999999838e-01	-4.910851900000000325e-02	1.024830600000000036e+00	1.305293700000000057e-02
2.056568800000000152e+01	9.899592400000000181e-01	-1.431779300000000053e-02	9.564987299999999637e-01	-4.121525000000000188e-02	1.023585500000000037e+00	1.061767700000000071e-02
2.171527199999999880e+01	9.893699599999999927e-01	-1.178789400000000015e-02	9.574219800000000058e-01	-3.508597499999999841e-02	1.021069599999999911e+00	1.017007299999999996e-02
2.292911700000000152e+01	9.895506099999999972e-01	-9.481340300000000096e-03	9.599530600000000247e-01	-3.115772899999999859e-02	1.018863000000000074e+00	1.120948199999999978e-02
2.421081300000000169e+01	9.896243200000000018e-01	-7.641452499999999703e-03	9.624571600000000338e-01	-2.882758699999999827e-02	1.016431000000000084e+00	1.293594300000000009e-02
2.556415399999999849e+01	9.901784399999999930e-01	-6.115490700000000140e-03	9.652619000000000060e-01	-2.779044300000000148e-02	1.015491600000000050e+00	1.524354099999999934e-02
2.699314400000000091e+01	9.911059899999999923e-01	-4.789609200000000296e-03	9.663369200000000436e-01	-2.728412499999999935e-02	1.015358299999999936e+00	1.704192200000000101e-02
2.850201200000000057e+01	9.923596900000000165e-01	-3.910758200000000358e-03	9.669104899999999558e-01	-2.692338000000000023e-02	1.016583500000000084e+00	1.897333099999999953e-02
3.009522300000000072e+01	9.931677399999999656e-01	-3.253883099999999983e-03	9.666169999999999485e-01	-2.704576599999999886e-02	1.018152299999999899e+00	2.030770999999999965e-02
3.177749100000000126e+01	9.940229600000000110e-01	-2.914085700000000091e-03	9.657346700000000173e-01	-2.748132699999999984e-02	1.020861800000000041e+00	2.114141900000000157e-02
