mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.993225099999999372e+01	3.645132399999999961e+01	5.127420938333625600e+01	4.231646099999999855e+00	-1.012073500000000070e+00	1.264213229903320074e+09	3.323396525795020207e+00	2.502478152715430504e+00	9.335333669444948468e-01	3.852340599999999995e+03	1.363835750000000075e+02	3.647603614973108921e-01	3.477759203004196498e-01	8.430222128630946443e-01	1.050213235293897096e+00	1.668254090916182930e+00	4.783799063473872515e+00	2.958970242093564185e+00	1.595875522251495093e+00	6.130223459526781937e+01	2.236062525156284408e+01	8.366285984683067056e+01	3.145354558564043401e+01	9.717507033358718793e-01	2.452483846102568865e-01	1.434927928513261897e+00	6.218726991987134411e+00	6.301567415898766678e-01
9.853047200000000316e+01	4.675938000000000017e+01	5.829301632287057799e+01	4.260885299999999987e+00	-9.159100999999999493e-01	1.264213229903320074e+09	5.099074381627429098e+00	2.653858802128913119e+00	1.871443989773896810e+00	6.766593100000000049e+03	1.452898519999999962e+02	4.745677053084654262e-01	5.602783601866112573e-01	6.739973945229498220e-01	7.486502436466282440e-01	9.311210904483887552e-01	3.769271015378964584e+00	2.882199914926778295e+00	9.037893932309090106e-01	4.932225564830039133e+01	2.340674968365141240e+01	7.272900533195179662e+01	2.918024236793639048e+01	9.902253170853250186e-01	3.555457335630487492e-01	5.611652286773665566e+00	3.097737994973044806e+00	9.976878734538431326e-01
9.850571399999999755e+01	5.130525999999999698e+01	6.124424203373983744e+01	1.365696500000000091e+00	7.372768699999997510e-01	1.264213229903320074e+09	2.071661550412892794e+00	8.076522319031503860e-01	2.203583075055984164e+00	6.477195299999999406e+03	1.498109739999999874e+02	5.208353700172153600e-01	3.843585229304096740e-01	7.700910480360554367e-01	1.083431332313311568e+00	8.202987203058490495e-01	6.095598687598167587e+00	4.739142509358247879e-01	4.138374142266927791e+00	5.018251325247469197e+01	2.613682785824647326e+01	7.631934111072116877e+01	3.120011888341743500e+01	8.715677748251818846e-01	4.965819513490390968e-01	5.453491331488603322e+00	5.265904711907184677e+00	9.629489958863769461e-01
9.837593099999999424e+01	4.109433400000000347e+01	5.433831359928773708e+01	4.073951799999999679e+00	-7.225653699999999846e-01	1.264213229903320074e+09	3.016440025770210642e-01	6.930986691816289902e-01	7.985907501701539069e-01	4.670136599999999817e+03	1.394702649999999835e+02	4.177275232089037171e-01	4.261478004198902547e-01	7.144902397838137631e-01	8.865216960111758082e-01	1.358339505188604690e+00	3.790103289288348609e+00	5.194315131846805045e-01	5.946953362252232367e+00	5.660535609606758811e+01	2.364561520236833303e+01	8.025097129843591404e+01	3.126618025040571069e+01	9.220683212245416316e-01	2.419520426216716924e-01	2.129028337121003034e+00	5.919131626409352087e+00	7.379261925857619753e-01
9.785830699999999638e+01	4.820160700000000276e+01	5.905943952015562104e+01	3.903210899999999928e+00	-5.902427399999999880e-01	1.264213229903320074e+09	5.298641065412808437e+00	7.102027233064494016e-01	3.615738844989995759e-01	6.573813799999999901e+03	1.460599139999999920e+02	4.925653066938917024e-01	4.975245028985801898e-01	7.996688441748608378e-01	9.626090439416795652e-01	7.501521582837269442e-01	8.107651972314355859e-02	3.509084042303137196e-01	5.001476568820808488e+00	4.955902233756163611e+01	2.441105503715047220e+01	7.397007737471210476e+01	2.990985816281557774e+01	9.743917945277179582e-01	5.157134259597176973e-01	2.698406746325222372e+00	2.779483266048366374e+00	9.745810628276155851e-01
9.731124900000000366e+01	4.298678199999999805e+01	5.539728413436048982e+01	3.846145599999999831e+00	-5.423677300000000479e-01	1.264213229903320074e+09	4.361107355898599103e+00	2.334885907089855550e+00	8.927005678491678475e-01	5.183194999999999709e+03	1.402980310000000088e+02	4.417452498220425516e-01	4.374668810954990827e-01	8.728697388130726154e-01	1.078500969075479654e+00	5.174361712892836529e-01	4.135682266500961823e+00	2.486132838620432661e+00	2.972909531188211218e+00	5.395901682840784730e+01	2.383613936901682706e+01	7.779515619742468857e+01	3.071775378049097682e+01	9.904901685612990114e-01	4.234272520746564239e-01	1.374637839916623250e+00	5.510320106417585073e+00	8.034288747227222860e-01
9.703539999999999566e+01	5.659557699999999869e+01	6.405187640689200634e+01	3.891817000000000082e+00	-5.406606200000000362e-01	1.264213229903320074e+09	2.843733033562464207e+00	2.785808091038576961e+00	9.924588429469487494e-01	5.688329500000000735e+03	1.536309770000000015e+02	5.832467017191663716e-01	3.789881283901041509e-01	6.520358054453051500e-01	8.428300318510382194e-01	1.449536795739105211e+00	1.212175548692510763e+00	3.044788010230040864e+00	2.020330289094152132e+00	5.198548296410863401e+01	3.032036147609427701e+01	8.230584444020291812e+01	3.431497917017579624e+01	8.734231872850134470e-01	2.678507779947812972e-01	1.866295138068240433e+00	3.078470686760750752e+00	8.665864865965433594e-01
9.621129600000000437e+01	4.302793499999999938e+01	5.513579207595065412e+01	4.397833400000000559e+00	-9.860185299999999486e-01	1.264213229903320074e+09	2.491398970863485385e+00	1.843229994212980394e+00	2.022963352348814858e+00	4.053845299999999497e+03	1.392392309999999895e+02	4.472233177276813687e-01	2.031206715042630784e-01	8.481165472838535502e-01	1.125563110647531451e+00	2.604828228029915760e+00	1.521035621266170867e+00	2.052790652887535927e+00	2.710934541120288088e+00	5.805864181748114561e+01	2.596517841637701807e+01	8.402382023385816012e+01	3.327165661982907352e+01	9.397306526206060662e-01	2.881677349057991111e-01	3.176306102777814555e+00	4.697341724043985423e+00	6.571399706947896879e-01
9.587200199999999484e+01	4.658662400000000048e+01	5.744259766166598524e+01	3.889717399999999881e+00	-3.551647499999999735e-01	1.264213229903320074e+09	5.194539328411780232e+00	8.703121297165183901e-01	2.308420723787239837e+00	4.438657299999999850e+03	1.424586259999999811e+02	4.859252235079017934e-01	3.057234753291372398e-01	8.031467915817949166e-01	1.075140051124078511e+00	1.214341170188933505e+00	2.762193330390265711e+00	5.644548525307505615e-01	5.382902401705246476e+00	5.613535348376985468e+01	2.727758418829593623e+01	8.341293767206578025e+01	3.363401678796267902e+01	9.130229200885078278e-01	1.181857678553226015e-01	3.096819200078197554e+00	5.859012530468463709e+00	7.078720636847688485e-01
9.557418800000000658e+01	3.697092399999999657e+01	5.063464969915028746e+01	5.663986000000000409e+00	-1.113344399999999901e+00	1.264213229903320074e+09	1.986471294034434010e+00	2.244963470425141328e+00	2.904794375116247274e+00	2.524723599999999806e+03	1.325451119999999889e+02	3.868295904329314694e-01	2.303870459857063069e-01	6.748976640694317464e-01	9.702559341387944070e-01	2.125261768728028855e+00	3.880352799474657388e+00	2.335506267609371189e+00	3.022296857681852078e+00	6.621620681630250260e+01	2.561438816277258468e+01	9.183059497907507307e+01	3.508096178175183155e+01	8.180276654906946110e-01	7.009198009255096506e-01	3.984915907818801895e+00	1.582083400113873495e+00	4.433654930603715960e-01
