mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
9.994008599999999376e+01	5.945828999999999809e+01	6.666141096422890655e+01	1.270169499999999951e+00	-1.037260899999999930e+00	1.261764316417968750e+09	4.535050599999999932e+00	2.209164499999999975e+00	3.846047700000000180e+00	5.401314199999999801e+03	1.593983759999999847e+02	5.949393519633353611e-01	5.329953881236784707e-02	6.099978547725088962e-01	5.458663848158859366e+01	3.247573932409318331e+01	8.706237780568177698e+01	3.641003812000892026e+01	2.000220177440469094e+00	4.966037336447448602e+00	1.521678480563346536e+00	1.264770999803379814e+00	2.622123971462261949e+00	6.107344242515735377e-01	3.069864480154765873e-01	3.508420164353085458e+00	6.130544135815347850e+00	8.308525452379443843e-01
9.993536400000000697e+01	4.741555799999999721e+01	5.911714705032361650e+01	1.272513900000000087e+00	-1.149979099999999921e+00	1.261764316417968750e+09	5.607801399999999603e+00	5.136290599999999706e-01	5.872120100000000065e+00	4.691309299999999894e+03	1.473509219999999971e+02	4.744622534221218380e-01	1.728548519819221863e-01	6.576209960211827354e-01	5.741237764265983401e+01	2.724000607065823587e+01	8.465238371331807343e+01	3.396251172517701633e+01	2.509216765505035696e-01	5.718620018460472743e+00	1.130706508305164837e+00	1.829885761817224177e+00	1.868309148545805876e-01	7.268832254797704673e-01	4.508103885694526580e-01	2.663110349657412002e+00	2.849941264511993921e+00	7.406588631811651391e-01
9.988051600000000008e+01	5.383569700000000324e+01	6.323925356812863185e+01	1.004872299999999941e+00	-8.249608999999999970e-01	1.261764316417968750e+09	3.179663600000000034e+00	3.031465199999999971e+00	1.084646100000000030e-01	6.238255000000000109e+03	1.537162130000000104e+02	5.390009899428233053e-01	1.995131385576101590e-01	8.463570507726205783e-01	5.164373189135027076e+01	2.783602261377954790e+01	7.947975450512981865e+01	3.269817965579543539e+01	2.870185776071126682e+00	4.434601468313399408e+00	1.208956259682891776e+00	1.895835824783294266e+00	6.257830601334752885e+00	9.049556131660390079e-01	7.726533702630764000e-02	2.266095954626997866e+00	2.240741248782164519e+00	9.340297910718733387e-01
9.977529900000000396e+01	5.497923699999999769e+01	6.391523209613528422e+01	8.957171200000000333e-01	-4.629701199999999850e-01	1.261764316417968750e+09	1.413528799999999919e+00	2.747834199999999782e+00	2.508013099999999995e-01	3.699402700000000095e+03	1.547545360000000016e+02	5.510305411362385053e-01	1.548863255722061349e-01	7.728250995646256394e-01	6.199266257891562759e+01	3.415985040733611555e+01	9.615251298625175025e+01	3.971198740270167349e+01	2.674696289400484428e+00	5.725445319624645535e+00	1.598982971246650120e+00	4.692911734734478979e-01	2.742730131547372885e+00	7.731322009441291554e-01	5.331533366591326706e-01	1.783559061942302293e+00	4.526289193489675178e+00	6.094694896027045283e-01
9.977057600000000548e+01	6.356489200000000039e+01	6.897882234675067537e+01	1.221435800000000071e+00	-9.047674599999999678e-01	1.261764316417968750e+09	2.201934699999999800e+00	9.903047499999999559e-01	4.890294199999999591e+00	4.844084700000000339e+03	1.633354679999999917e+02	6.371106046335744955e-01	-4.308064988011815061e-02	6.014556284555900856e-01	5.667819188474069136e+01	3.611027710122489509e+01	9.278846898596557935e+01	3.918585103640750589e+01	1.260530518732821070e+00	1.208273883378778057e+00	1.807152483450116032e+00	1.215551900657784623e+00	5.658074583511847777e+00	6.186556947990557997e-01	3.354594452815818362e-01	2.200304472100437891e+00	1.575193748432700325e+00	7.602992029613589997e-01
9.974536100000000260e+01	6.076243600000000100e+01	6.736239242770417945e+01	9.523380799999999757e-01	-4.605852300000000121e-01	1.261764316417968750e+09	3.641804200000000158e+00	2.333419300000000085e+00	9.722998000000000474e-01	4.914092099999999846e+03	1.605077970000000107e+02	6.091755585505375103e-01	3.924253773730807665e-03	3.591765921485347568e-01	5.637705515625746244e+01	3.434352406424760318e+01	9.072057922050507273e+01	3.807388409125250917e+01	2.282612961490866343e+00	5.957207113789567465e+00	1.076117085877702051e+00	2.006016706138170846e+00	5.482071449364981364e-01	3.903548317215630448e-01	6.969693986337464064e-01	5.435932271630086632e+00	5.984139416566584657e+00	7.692545437774424011e-01
9.968212099999999509e+01	7.603809400000000096e+01	7.565275536760094610e+01	1.283627400000000085e+00	-1.089644700000000022e+00	1.261764316417968750e+09	4.719865999999999673e+00	9.927613899999999658e-01	3.847848700000000122e+00	4.359881599999999708e+03	1.757202149999999961e+02	7.628057392558892369e-01	1.681608979927544656e-01	8.405985627952227146e-01	5.872056947464843546e+01	4.479238740763600646e+01	1.035129568822844419e+02	4.456539280009695858e+01	9.743979704199549063e-01	3.109769788421577807e+00	1.464680850274154178e+00	4.729510905965374490e-01	1.892457910896057083e-01	8.453536482236424510e-01	3.046782517044953065e-01	1.706020074657363494e+00	1.895265865746969425e+00	6.975673412540043250e-01
9.963866400000000567e+01	5.169643800000000056e+01	6.182230235591764966e+01	9.847799200000000308e-01	-4.631809900000000146e-01	1.261764316417968750e+09	2.580869299999999811e+00	6.334654499999999855e-01	6.466709600000000169e-01	4.613718600000000151e+03	1.513351020000000062e+02	5.188391325680561383e-01	8.500297127863727653e-02	2.529307898493961537e-01	5.757358903898444424e+01	2.987143099581643213e+01	8.744502003480087637e+01	3.572239617026019687e+01	7.560702562424237438e-01	1.457268654945629072e+00	5.921189877894719178e-01	2.888176073646857578e+00	5.928129975768481330e+00	4.531830997217625723e-01	4.916244510248389821e-01	2.040429026195498707e+00	1.685373694784393805e+00	7.306314520800900603e-01
9.959625200000000689e+01	5.863415899999999681e+01	6.606603243305423234e+01	9.352741900000000053e-01	-6.397994399999999970e-01	1.261764316417968750e+09	1.834992900000000038e+00	2.824343700000000013e+00	1.196981000000000073e+00	5.592686300000000301e+03	1.582304110000000037e+02	5.887185292876281340e-01	7.453021229634202924e-03	4.404566131120826733e-01	5.369876075564350515e+01	3.161345545663064627e+01	8.531221621227415142e+01	3.562045758205000823e+01	2.794229503085430277e+00	5.869023502273816639e+00	1.101233069413115606e+00	1.997534672887799623e+00	4.185090479081358339e+00	4.939150115042738598e-01	8.685999237385076954e-01	2.015713020332517758e+00	6.200803499413876096e+00	8.547216099308749815e-01
9.956377399999999511e+01	5.540509399999999829e+01	6.411235586188126945e+01	8.950610700000000142e-01	-4.316251799999999972e-01	1.261764316417968750e+09	4.241077899999999623e+00	2.801731499999999819e+00	5.499451200000000206e+00	4.902241299999999683e+03	1.549688679999999863e+02	5.564784436556211578e-01	1.014133203104001374e-01	4.799532950232167638e-01	5.632261794530166554e+01	3.134232277681163126e+01	8.766494072211330035e+01	3.626796755195278621e+01	2.510585861698417798e+00	4.524053972161313553e+00	1.299813653318250717e+00	1.519356933976393487e+00	5.742805264291476419e+00	4.981309288965073967e-01	8.565817646570834665e-01	3.465578808514536480e+00	2.925198765626426223e+00	7.677405211649154237e-01
9.950585200000000441e+01	6.090971799999999803e+01	6.737081840595723747e+01	1.211332199999999970e+00	-9.589216799999999985e-01	1.261764316417968750e+09	3.919954099999999997e+00	2.044762500000000038e+00	2.834275799999999901e+00	3.986205500000000029e+03	1.604155700000000024e+02	6.121219684647289938e-01	8.305282358038908186e-02	4.592355059422653096e-01	6.037551491379331026e+01	3.695717903610276522e+01	9.733269394989606837e+01	4.087747373313613508e+01	1.874820082515988195e+00	5.161823297701841895e+00	1.304261456423869703e+00	1.355438687115746443e+00	5.980340550373609787e+00	4.760449543954944351e-01	6.502391092545578566e-02	4.433393945357702037e+00	4.130549188551725592e+00	6.481159977199139055e-01
9.950585200000000441e+01	6.090971799999999803e+01	6.737081840595723747e+01	1.109676499999999955e+00	-8.072447000000000372e-01	1.261764316417968750e+09	3.572348999999999997e+00	2.537493700000000185e+00	5.988191600000000392e+00	6.661494499999999789e+03	1.604155700000000024e+02	6.121219684647289938e-01	8.305282358038908186e-02	4.592355059422653096e-01	5.012618400615143344e+01	3.068333842547063384e+01	8.080952243162207083e+01	3.393812496637912801e+01	2.348726195522991222e+00	4.821530664467053029e+00	1.304261456423869703e+00	1.355438687115746443e+00	5.980340550373609787e+00	4.760449543954944351e-01	6.502391092545578566e-02	4.433393945357702037e+00	4.130549188551725592e+00	9.851072642551195191e-01
9.941850999999999772e+01	6.297217599999999749e+01	6.852631007627078930e+01	8.786581700000000161e-01	-3.671842900000000243e-01	1.261764316417968750e+09	5.452516100000000421e+00	1.715316400000000074e+00	5.532973300000000094e+00	3.362087199999999939e+03	1.623906859999999881e+02	6.334049464229548621e-01	2.567297456432512948e-01	5.236910984285708670e-01	6.360111208491535706e+01	4.028525899258615794e+01	1.038863710775015079e+02	4.383841125688328333e+01	1.584664308292782486e+00	5.380893790117911912e+00	7.230743181599079694e-01	2.575060696851961151e+00	2.072908842409326269e+00	7.914413833293048040e-01	3.256815538049270264e-01	2.953424091425056019e+00	5.026332933834381400e+00	5.631567867439798425e-01
9.934671799999999564e+01	5.900523799999999852e+01	6.620667356182234187e+01	9.706462500000000437e-01	-4.121349000000000262e-01	1.261764316417968750e+09	4.045292500000000402e+00	6.254088100000000372e-01	8.490702099999999919e-02	4.680679799999999886e+03	1.583519560000000013e+02	5.939324336814025829e-01	1.995638744656756947e-01	4.395733450374587625e-01	5.711921114186701942e+01	3.392495208345096103e+01	9.104416322531798755e+01	3.806540409496361832e+01	7.862643593699690792e-01	1.024263140322350329e+00	1.230314952482813418e+00	7.534867114856245163e-01	7.627914530665875770e-01	4.663442943176609456e-01	3.748270611551636766e-01	6.147767899303523187e+00	6.273740451905247539e-01	7.392872908075094340e-01
