dec	chirp_mass	theta_jn	ra	a_1	mass_1_source	geocent_time	mass_2	chi_eff	mass_2_source	phi_12	phase	a_2	chirp_mass_source	mass_ratio	total_mass	mass_1	total_mass_source	chi_p	tilt_1	phi_1	tilt_2	iota	luminosity_distance	phi_2	phi_jl	psi	redshift
-1.264517334481661148e+00	3.050077539770151347e+01	2.745178088884213885e+00	1.878187319463165750e+00	4.934024767298653136e-01	3.190701310533900070e+01	1.126259462409683466e+09	3.466315853924582058e+01	-4.576086985284574110e-02	3.123048190250234768e+01	1.508812143716178333e+00	5.181794541240205554e+00	5.481185750022445902e-01	2.748029764776683948e+01	9.787967867564686397e-01	7.007720873664419514e+01	3.541405019739838167e+01	6.313749500784133772e+01	4.846264758492914715e-01	1.290624076265487696e+00	3.655783467315861568e+00	2.007651907239621281e+00	2.754074972792163400e+00	5.247583234353905937e+02	5.164595611032039457e+00	6.017033510684828279e+00	2.224481221908814366e+00	1.099143025541474972e-01
-1.072046627166199695e+00	3.017418504926689948e+01	2.907038566990011397e+00	9.580334315571121806e-01	3.169738879864881231e-01	3.374092720546027380e+01	1.126259462415940762e+09	3.319690792820654934e+01	-7.773777943984692962e-02	3.093898257802010932e+01	2.269753665889221228e+00	8.010766903912105441e-01	2.518493144421154462e-01	2.812185362456613191e+01	9.169570945582452559e-01	6.940024625801089542e+01	3.620333832980434607e+01	6.467990978348038311e+01	3.105227915013815676e-01	1.368699564762860810e+00	3.358017959544259856e+00	2.740914613565413660e+00	2.837411909543237964e+00	3.398573821055227882e+02	5.627771625433481084e+00	1.163541788220839646e+00	1.680276298096629262e+00	7.297994833839582807e-02
-1.236593986054471905e+00	3.118637213520027274e+01	2.741902347880686097e+00	2.033155069856718455e+00	6.734043662029787214e-01	3.457571766958482584e+01	1.126259462408967972e+09	3.340045763826193337e+01	-1.033164265970363573e-02	3.002634744239304609e+01	2.262689944858311542e+00	5.792629087339989269e+00	1.065210219837034455e-01	2.803592858939093091e+01	8.684229704017476514e-01	7.186150574113545986e+01	3.846104810287353359e+01	6.460206511197786483e+01	6.731707649209321964e-01	1.597137020009831598e+00	4.040801950037590906e+00	1.587747429299912083e+00	2.684356395958841457e+00	5.373549615872685763e+02	2.030658771631710380e-02	1.315998648173933583e-01	2.243348797387902938e+00	1.123716496767472317e-01
-1.252893593283376017e+00	3.061301390296888059e+01	3.010312979265674205e+00	2.109489428151562151e+00	1.829132011732138574e-01	3.852004606469146353e+01	1.126259462408064842e+09	2.898551422869637761e+01	-2.383727039194011993e-02	2.596996045558125488e+01	5.359535711593407470e+00	2.793613532734014804e+00	5.241948362310504539e-01	2.742814062961052102e+01	6.741933904223971208e-01	7.197839229671824057e+01	4.299287806802185941e+01	6.449000652027271485e+01	3.319071444783354696e-01	2.035849513387574472e+00	3.687181939239612571e+00	1.451321836090397221e+00	3.061474987791970026e+00	5.566235605179228969e+02	2.763532343653434253e+00	4.101877813940612683e+00	2.442266651397090982e+00	1.161169951826801910e-01
-1.201287616796498536e+00	2.989285442139005156e+01	2.517492797387945291e+00	1.197060750174557597e+00	4.374564050634889290e-01	3.997126541903862318e+01	1.126259462412620306e+09	2.764745623237113747e+01	-3.946528298618464520e-02	2.566144740972615423e+01	3.506894635507276536e+00	6.747213525002182521e-01	6.564166886198541384e-01	2.774555117164615226e+01	6.419973733807138316e-01	7.071220599416773211e+01	4.306474976179659819e+01	6.563271282876478097e+01	3.909738691067602412e-01	2.035970128299800397e+00	3.257024141124511551e+00	1.253625964840729301e+00	2.503562464168946899e+00	3.615057539464663137e+02	4.807334694522023000e-01	1.471174663830067120e-01	1.669250194578234536e+00	7.739270474245536768e-02
-1.203070949447721194e+00	3.071540981981383567e+01	2.670829964659011235e+00	1.203147259798413415e+00	7.664091325150697021e-01	3.729074821869443923e+01	1.126259462413419485e+09	3.062894471659808815e+01	-3.949574450301848727e-02	2.798710693239472036e+01	4.667508970216488251e+00	2.685409220905913941e+00	1.658869353995764129e-01	2.806611416271265824e+01	7.505107370938817191e-01	7.143974621851810980e+01	4.081080150192001810e+01	6.527785515108915604e+01	7.538965356271637441e-01	1.751743179090800906e+00	1.408291858722941825e+00	9.854370899744860912e-01	2.507161027990542301e+00	4.460458574924334130e+02	6.075800828939430076e+00	5.283340107201509595e-01	2.475419590103818124e-02	9.439481510486091853e-02
-1.241113664717796272e+00	3.196057364600823192e+01	2.555517486315939113e+00	1.484629652560386148e+00	7.774869267359845182e-01	3.662336282010777211e+01	1.126259462412194490e+09	3.343644338363763069e+01	7.631727425242915142e-02	3.032387924711220251e+01	5.796001490023307667e+00	2.076132228611411890e+00	1.054054323337492854e-01	2.898539670592656492e+01	8.279927595961535935e-01	7.381897450618751577e+01	4.038253112254987798e+01	6.694724206721997461e+01	7.562895118459921351e-01	1.336750130534497982e+00	1.459940814995521308e+00	2.057291265662489099e+00	2.510209093339013986e+00	4.877027073294349293e+02	9.727569978392427430e-01	2.653503854541499132e-02	2.368731292647064279e+00	1.026439958806339564e-01
-1.220572468982740411e+00	3.136509126836969230e+01	2.096708181352995304e+00	2.313332808134134666e+00	3.201657523682475276e-02	3.528359887129353467e+01	1.126259462407664537e+09	3.464470068096711231e+01	2.559594112309670350e-02	3.261422307421712219e+01	5.958033992276089208e+00	4.534452316963026419e+00	1.265805909622160774e-01	2.952682699700071822e+01	9.243451381812358703e-01	7.212496562738623140e+01	3.748026494641911910e+01	6.789782194551065686e+01	9.900452497179719480e-02	1.931073984069107352e+00	1.724149421321287790e+00	1.026942429325323092e+00	2.088291638010988382e+00	2.877641347427372693e+02	1.398998106417790765e+00	2.888893651793231765e+00	7.444510205060737018e-01	6.225742683274772954e-02
-1.275620498129674374e+00	2.896667393533321544e+01	2.676597852832669933e+00	1.562531496670260367e+00	9.966165521997411014e-02	3.321794394232431813e+01	1.126259462410996199e+09	3.067787431281569255e+01	-1.413082315472611872e-01	2.819888888050454412e+01	1.397895148514598951e+00	1.412555573153337463e+00	4.715772197488233286e-01	2.662596538506054245e+01	8.489053064050482433e-01	6.681603257540287188e+01	3.613815826258717578e+01	6.141683282282886580e+01	3.194000968236505034e-01	1.879236895647181216e+00	2.590685775956034220e+00	2.185919761120606708e+00	2.589306957627126593e+00	4.135944657303294889e+02	3.988580924470633171e+00	2.020394786167201584e+00	2.397402371268914312e+00	8.791074864034822967e-02
-1.207707726157576822e+00	2.927574660201729273e+01	2.707947538487388783e+00	2.424395042467210715e+00	4.947693330140468526e-01	3.564132568931172784e+01	1.126259462406899691e+09	2.888612564970602392e+01	-1.785879680596568486e-01	2.617230332124794856e+01	4.301457960500264299e+00	5.141587134916801638e+00	7.423592194082454521e-01	2.652531977862487622e+01	7.343246306098151210e-01	6.822312245685074572e+01	3.933699680714472180e+01	6.181362901055967995e+01	4.947691313924678647e-01	1.571699107216266489e+00	5.452941020766489011e+00	2.174084613247730058e+00	2.654970829352203410e+00	4.930175148680222605e+02	3.471213674087167522e+00	1.455699714655523669e-01	1.679573161490400812e+00	1.036906188632951004e-01
