total_mass_source	phi_1	phi_jl	theta_jn	iota	a_1	mass_1_source	mass_ratio	dec	luminosity_distance	tilt_1	ra	psi	chirp_mass	geocent_time	chirp_mass_source	a_2	tilt_2	phase	total_mass	mass_1	chi_p	phi_12	mass_2_source	phi_2	chi_eff	mass_2	redshift
1.084606385728894935e+02	6.502051808277196088e-01	2.530852012970658205e+00	1.990962180109662860e+00	1.006347590842773476e+00	4.772863916685828878e-01	9.632095858226202267e+01	1.260336293295885313e-01	1.237300492635508453e+00	1.462937167295419204e+04	2.466847543761299999e+00	1.144967173606026734e+00	2.862351941638310304e+00	7.778142410179077615e+01	1.268903511272644043e+09	2.714578401861994550e+01	1.813633577814645348e-01	1.017126222191754747e+00	5.148540696535744310e+00	3.107747015670041719e+02	2.759906040746149074e+02	2.981599983961569222e-01	9.387267311150852833e-02	1.213967999062746195e+01	7.440778539392285396e-01	-3.203082420944965980e-01	3.478409749238924320e+01	1.865322440067990861e+00
5.804779494544272467e+01	3.464255046905423185e+00	5.002336005062890667e-02	6.443931765690272817e-01	7.320867071093970502e-01	8.889563457969296145e-01	3.377567831424500611e+01	7.186270666534876339e-01	-1.355054557857313213e+00	9.057951886201157322e+03	1.931860417084466652e+00	1.087225172837541720e+00	1.631501760576129723e+00	5.626720086003534504e+01	1.268903511250363588e+09	2.485821229125085807e+01	8.522996154497395338e-01	1.039156232230979748e+00	5.168353645555418652e+00	1.313926721442854273e+02	7.645211383766540791e+01	8.316377227664745186e-01	1.142217300063207652e+00	2.427211663119770790e+01	4.606472346968630838e+00	-2.061732928046049445e-03	5.494055830662000517e+01	1.263525638963154618e+00
9.112170841535677823e+01	6.112782892688588099e+00	4.678753630764076021e+00	1.437804971408401800e+00	2.198725758266326658e+00	8.170602815838829969e-01	7.298458655789005434e+01	2.485061944288837199e-01	-2.720718132773318754e-01	1.175978286645071421e+04	1.467997935992585212e+00	5.504661203973668648e-01	7.703375397942686664e-01	7.756078065582538272e+01	1.268903511220716238e+09	3.027996320716072987e+01	1.772325602622371599e-01	1.156740880413296146e+00	1.695457180444775780e+00	2.334042082890054530e+02	1.869467763400035096e+02	8.127469360334430570e-01	2.768939277260328513e+00	1.813712185746672034e+01	2.598536862769330824e+00	8.134873646496876276e-02	4.645743194900195050e+01	1.561455577907818970e+00
8.641190927702402291e+01	2.811434141737175096e+00	2.330984595573966534e+00	1.693955359231848812e+00	1.535704914577270541e+00	8.773105240977806529e-01	5.127361877912549204e+01	6.853093527349005676e-01	1.292342921567811276e+00	6.565356403394681365e+03	8.951948386171661998e-01	1.830174477481385509e+00	9.850686239540398237e-01	7.266768227987736850e+01	1.268903511276883841e+09	3.682053031358103823e+01	1.818327288223799132e-01	8.820922022798948214e-01	2.693747707477794684e+00	1.705394548927576750e+02	1.011917809724417765e+02	6.845925473286629259e-01	3.521515301375944151e+00	3.513829049789853087e+01	4.976413593353345988e-02	3.725347027639016040e-01	6.934767392031589850e+01	9.735642496456473616e-01
1.914849721831359730e+01	7.459358885501821135e-02	1.165154333610958659e+00	7.337673704375502481e-01	5.399299328533615494e-01	3.831215740275897841e-01	1.476285534017600121e+01	2.970727394586332171e-01	-6.557422860667059261e-01	7.817869814632401358e+03	2.355117584201682046e+00	6.147611797049577831e+00	1.343407078530010734e+00	1.435292693071062509e+01	1.268903511262387037e+09	6.765426472620378995e+00	7.940178766678492872e-01	2.540997372530672926e+00	4.133443447111895708e+00	4.062374818788342878e+01	3.131956053971098086e+01	2.711994481684791847e-01	3.351874295192801778e+00	4.385641878137596983e+00	3.426467884047819545e+00	-3.586673861491556647e-01	9.304187648172449698e+00	1.121511036857290922e+00
7.716436431444044786e+01	4.082552952451981909e+00	6.043550270564943538e+00	2.231736342273248574e+00	2.263745092768236766e+00	5.790973552038336525e-01	4.986667598199147733e+01	5.474134338191517513e-01	1.183787968356398101e+00	4.024288758886563301e+03	1.679796886588139637e+00	1.971888567446193008e+00	1.677966108586579352e+00	5.262644589133716266e+01	1.268903511271790028e+09	3.183306221023275029e+01	9.583342646727059932e-01	2.790124201981083907e+00	5.311923529358657525e+00	1.275681936131157101e+02	8.243963172677533180e+01	5.756605967646600819e-01	8.125608023714682160e-01	2.729768833244897408e+01	4.895113754823450236e+00	-3.590068363590048772e-01	4.512856188634037125e+01	6.532008621658890180e-01
3.202716129030503112e+01	3.994506703011439619e+00	6.190996718237789409e+00	2.106968752341138007e+00	2.113919767304900610e+00	6.121685041608652122e-01	1.981182054074997367e+01	6.165683120554174002e-01	-8.092742045633403158e-01	3.129007624959034729e+03	6.534345471163297558e-01	7.492491893514383605e-01	3.823930207280289428e-01	2.060834306685582007e+01	1.268903511270436049e+09	1.346462596432356662e+01	7.209795055394427887e-01	1.090701200746036825e+00	5.654359581629702980e+00	4.901931394729902536e+01	3.032306991405297580e+01	3.721476517190148159e-01	5.747045164825350660e+00	1.221534074955505744e+01	3.458366560657204047e+00	4.276811421914246680e-01	1.869624403324605311e+01	5.305544410561827684e-01
4.469802405205359719e+01	7.318556666290856327e-01	9.437024242701193000e-01	1.268441323659538211e+00	9.394869276376485168e-01	9.434613698628002698e-01	2.683831520202623722e+01	6.654556635015221877e-01	-5.082016510098883444e-01	1.120674852580029074e+04	1.425980183638452692e+00	1.466203107499026714e-01	5.714805961093882836e-01	4.748198894028167416e+01	1.268903511253631115e+09	1.898104458680492357e+01	7.897856713407716001e-01	9.896769422377773573e-01	3.191696035673307286e+00	1.118142404642709096e+02	6.713732638741524283e+01	9.335856455840306767e-01	9.193073833651377313e-02	1.785970885002735997e+01	8.237864049655998500e-01	2.549853464599712849e-01	4.467691407685566674e+01	1.501547726898538881e+00
3.100029978301521538e+01	3.664484255584276706e+00	2.760199049176998987e+00	1.925688652674075740e+00	1.865834802289580541e+00	1.668013803344240431e-01	1.589379166868404347e+01	9.504659699356652336e-01	-1.099592940372206229e+00	1.578352484916861840e+03	7.718106636366682816e-01	9.197679826335374287e-01	1.318068283036449406e+00	1.749069932332162480e+01	1.268903511270240307e+09	1.348844184782489997e+01	8.296445664412078758e-01	1.825549256193637504e+00	1.802213704971195596e-01	4.019863291511227033e+01	2.060975866010018009e+01	7.575819450651621878e-01	2.155714793840827426e+00	1.510650811433117546e+01	5.820199049425104576e+00	-4.059607681071833452e-02	1.958887425501209378e+01	2.967175542327090132e-01
2.411760522172359629e+02	9.435558877093113139e-01	1.283900774285287261e+00	1.185142774425399281e+00	4.732661944731015313e-01	3.804155791378613372e-01	2.228555786793805851e+02	8.220783005038788394e-02	8.605395646663056564e-01	7.193922113142825765e+03	1.180079588729831652e+00	5.686521770902729145e+00	2.034245461857909998e+00	1.003538310329484631e+02	1.268903511371839762e+09	4.899020836684845648e+01	7.639653269639967714e-01	2.618026554731228028e+00	3.163116819868703189e+00	4.940362901126200654e+02	4.565077764126116335e+02	3.517460637524872369e-01	4.912380298496966446e+00	1.832047353785536359e+01	5.855936186206277760e+00	8.361694874472051786e-02	3.752851370000844611e+01	1.048446707584481885e+00
