a_1	a_2	chi_eff	chi_p	chirp_mass	dec	geocent_time	luminosity_distance	mass_1	mass_2	mass_ratio	phase	phi_1	phi_12	phi_2	phi_jl	psi	ra	theta_jn	tilt_1	tilt_2	total_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	iota	redshift
7.901913732219701947e-01	9.490076149341467593e-01	1.746247210410246387e-01	7.607797108201606040e-01	1.153364435026141592e+02	6.093675153217312790e-01	1.268903511409889698e+09	6.349966010705351437e+03	6.449054611110205997e+02	3.730388755012352675e+01	5.784396287458582614e-02	1.524377024172348438e+00	3.266314320973924268e-01	1.741156882390141103e+00	2.067788314487533086e+00	6.211348601310930029e+00	1.460583515286675571e-01	4.297679700751949383e+00	2.604233209567618501e-01	1.297102501086115689e+00	2.124266570244845109e+00	6.822093486611440767e+02	3.311320597557494807e+02	1.915399057109670622e+01	3.502860503268461230e+02	5.922045385710971033e+01	1.161717691856967161e+00	9.475778382398778454e-01
9.269390050866861408e-01	9.648221237956354779e-01	6.013796088235893178e-01	6.988371768028643904e-01	4.034660783105145043e+01	-1.069454687409969740e+00	1.268903511258582830e+09	8.571616586472866402e+03	1.342045536913590240e+02	1.892022443007279975e+01	1.409804951446368693e-01	5.261076620523591707e+00	9.724865829509319326e-01	2.579649065231378602e-01	1.230451489474069682e+00	2.390067643231901684e+00	1.171249899211433521e+00	1.180753617265189348e+00	7.951978527394639729e-01	8.540075318614073208e-01	9.673118844236132663e-01	1.531247781214318309e+02	6.077289158625713128e+01	8.567792347201866221e+00	6.934068393345900461e+01	1.827046814841125055e+01	5.494163664963787053e-01	1.208296333915224618e+00
9.555072654672417398e-01	6.961283533615885144e-01	-8.136306199483515078e-01	4.005328974346702431e-01	4.921268009941475441e+01	2.217631563549706808e-01	1.268903511210543633e+09	1.444136474977555190e+04	3.479092775874280505e+02	1.353135673469848932e+01	3.889334837096466990e-02	2.389146369083537280e+00	1.199877253127308308e+00	3.348660983858302131e+00	4.548538236985610439e+00	5.812591337876342301e+00	1.120907653815595095e+00	4.513982364218144028e+00	1.627299118153039847e+00	2.709046826719592183e+00	6.074623391149348572e-01	3.614406343221265274e+02	1.222566047440559771e+02	4.754968718961901430e+00	1.270115734630178821e+02	1.729351749695114293e+01	1.732880670012454827e+00	1.845729916316387165e+00
8.675155852131003487e-01	4.006518907699909704e-01	-5.990716126221214965e-01	4.141596904654965550e-01	1.033087087864774034e+01	3.004833610171568914e-01	1.268903511279163837e+09	3.140573162706951734e+03	2.355893955321361943e+01	6.464890644288116661e+00	2.744134823931944078e-01	3.918929992199818857e-01	6.217232144498128221e+00	2.760554479881784484e+00	2.694601317200326918e+00	3.040781066981493197e+00	2.657819330423486726e+00	1.321471489720032366e+00	8.544901016961746754e-01	2.643889124163828264e+00	1.581668189420576409e+00	3.002383019750173787e+01	1.537604521190532125e+01	4.219394112034142275e+00	1.959543932393946264e+01	6.742575885032806582e+00	9.278028717573053585e-01	5.321845915861687093e-01
4.885609361893057945e-01	6.760520332617674377e-01	-3.538674665526427704e-02	4.600887362665169733e-01	3.732094416120035163e+01	3.500056659067027898e-01	1.268903511283326864e+09	2.051730364048633419e+04	9.383987212442195869e+01	2.162822962284860395e+01	2.304801693908087312e-01	2.166798911994751164e-01	6.024792610482665900e+00	1.666324299576281254e+00	1.407931602879361144e+00	2.703494432655395574e+00	2.460821614072010721e+00	2.753666548401859870e+00	1.001119527307961388e+00	1.913878524774830892e+00	6.836029373178568180e-01	1.154681017472705662e+02	2.710552220338994900e+01	6.247285348863642618e+00	3.335280755225359428e+01	1.078010506314001482e+01	8.672790351545822674e-01	2.462020448094738523e+00
9.643546827546799483e-01	4.261180821426236442e-01	6.549613452394649205e-01	5.476708331863704426e-01	8.735093529371513910e+01	7.608054150558364315e-01	1.268903511225825787e+09	1.746236853531993620e+04	2.900608335235565391e+02	4.101401029536194187e+01	1.413979605489587565e-01	3.818453744395867044e+00	3.408138513142388693e+00	3.439415135087461106e+00	5.643683410502635667e-01	3.730784075713606374e+00	1.120907017048379029e+00	3.677294407761699802e+00	5.795212223947932006e-01	6.039696619028137592e-01	2.444004096425242967e+00	3.310748438189184526e+02	9.190334384549271363e+01	1.299494538738237104e+01	1.048982892328750864e+02	2.767641168235051552e+01	8.826512979812858317e-01	2.156151032014731239e+00
1.645476957640863713e-01	1.789897291366570053e-01	3.602330940407148102e-02	1.765551263635163626e-01	6.930424824126330918e+01	5.605442670698530527e-01	1.268903511259112597e+09	2.124163115199179174e+03	8.005831415673597462e+01	7.916405130452537264e+01	9.888298565660545991e-01	6.013028825221450324e-01	3.605044300763302179e+00	1.556239871528804830e+00	5.161284172292107009e+00	1.914567995537278522e+00	2.125576635857627128e+00	1.696662055671957603e+00	1.651234819684809008e+00	1.169215189497234242e+00	1.529387964871170569e+00	1.592223654612613473e+02	5.788549799916005867e+01	5.723890868376408037e+01	1.151244066829241319e+02	5.010986010833205029e+01	1.585404039957379219e+00	3.830461328655695441e-01
9.529279275100622781e-01	7.869031378335527016e-01	-1.707150072484484027e-01	9.261786993240327392e-01	1.528972686725975016e+01	-8.294778504640079042e-01	1.268903511276412487e+09	3.361232651821762829e+03	2.040145250684735245e+01	1.518575655802932545e+01	7.443468328018566504e-01	5.102423598114643077e+00	5.386829676611153417e-01	3.679572205947104990e+00	4.218255173608218556e+00	2.256718579363327315e+00	1.154374450686539877e+00	6.885755102354309543e-01	2.569127446398481229e+00	1.808295321015191082e+00	1.696764789801202822e+00	3.558720906487667435e+01	1.305243380890835247e+01	9.715537766016806742e+00	2.276797157492515566e+01	9.782055852357295578e+00	2.423557293807553137e+00	5.630381893163294293e-01
4.183195803238919375e-01	5.320467878189709676e-01	3.338962425174841209e-01	1.961124564849277829e-01	4.632179796475406164e+01	1.122937846475225321e+00	1.268903511279782295e+09	6.023494923081865636e+03	9.745490238560769569e+01	3.092716496578152530e+01	3.173484782059450282e-01	4.747429236842006794e+00	6.237963579429637306e-01	5.960954526128436903e+00	3.015655768918144020e-01	2.386358309942750111e+00	2.714490840152033790e+00	1.681242607513603105e+00	2.757576555451802136e+00	4.879432197147955952e-01	1.140990350433648937e+00	1.283820673513892245e+02	5.108118144410569528e+01	1.621053519624869921e+01	6.729171664035439449e+01	2.427966278486825757e+01	2.633532391193229572e+00	9.078435468890883042e-01
9.647743481614574623e-01	3.997175764956790167e-01	-3.122175986054739338e-01	6.773233477872445674e-01	1.687456344984913059e+01	1.375332512344917824e-02	1.268903511268038750e+09	1.006511307885320889e+03	2.289331613949699928e+01	1.650010779742453693e+01	7.207390880763449026e-01	4.401753473072242961e+00	1.883278433505399363e+00	2.273215964618768847e+00	4.156494398124166878e+00	3.398939165241490201e+00	2.583174589661673348e+00	8.137147490347018675e-02	1.643652427949681583e+00	2.363315410370440794e+00	1.024001782922792980e+00	3.939342393692153621e+01	1.908595512831828245e+01	1.375599389425015850e+01	3.284194902256844273e+01	1.406817425886718098e+01	1.693642157557201378e+00	1.994849608301574040e-01
4.344437208855695953e-01	4.744196544540914551e-01	4.016316604424421954e-02	4.344399525966852194e-01	1.051730578309615680e+02	1.384402247345840609e+00	1.268903511353219509e+09	4.560939911352003946e+03	4.457271893038598023e+02	4.136588885487695677e+01	9.280539721950219201e-02	2.218956566814287878e+00	5.655632861546161294e+00	4.636005220917705394e+00	4.008452775284279568e+00	4.731766855787697068e+00	6.326700560235575255e-01	1.907055717326919364e+00	9.791536433147940421e-01	1.566631272721654478e+00	2.985501512426755877e-01	4.870930781587367733e+02	2.585739805884441580e+02	2.399706097913840708e+01	2.825710415675825402e+02	6.101269311500551851e+01	2.019239700118997227e+00	7.237897962103759797e-01
