luminosity_distance	geocent_time	chirp_mass	mass_ratio	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	phase	ra	dec	total_mass	mass_1	mass_2	phi_1	phi_2	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	iota	redshift
1.500301869161753893e+04	1.267724187622566223e+09	1.039473553346364696e+02	5.968866985336174213e-01	3.641303503540953002e-01	7.462094087914419305e-01	1.975419273495012007e+00	1.736254908468622293e+00	1.064028309758626056e+00	1.071726390840916032e+00	1.028264168578127524e+00	2.701246284994813784e+00	5.478921555227059592e+00	2.981049750138005550e+00	-9.896266424778046300e-01	2.484318239478203907e+02	1.555726052298822140e+02	9.285921871793817672e+01	4.422655124276396954e+00	5.486683434035023232e+00	-1.357064688966396204e-01	4.087366103124484007e-01	5.356917524938990738e+01	3.197472815777711475e+01	8.554390340716702212e+01	3.579276754029815066e+01	7.650086395241262327e-01	1.904144118434117683e+00
9.417178401854744152e+03	1.267724187675916195e+09	1.795002484615818332e+02	8.355350700863285740e-02	3.409549745061978276e-01	7.574944493899631315e-01	2.398756808007227015e+00	1.836105556439362019e+00	1.256808732344096846e+00	1.537141235009894302e+00	6.859600298812543739e-01	1.804568814893267481e+00	2.154755855486627070e+00	4.074954245537334430e+00	-3.480783989597178163e-01	8.764086969282653854e+02	8.088282592963661273e+02	6.758043763189924391e+01	5.702721772148235502e+00	6.763451973127461159e-01	-2.470824186920767829e-01	2.306149143683062785e-01	3.510588155741095306e+02	2.933219520751370979e+01	3.803910107816232085e+02	7.790917774683197194e+01	1.062780884671167936e+00	1.303967948999190662e+00
7.210655531902288203e+03	1.267724187676683426e+09	3.498649064356771277e+01	4.398246986279196191e-01	9.736981377086074696e-01	6.572581649777341495e-01	5.861155067322755263e-01	5.100440866742647072e-01	5.932380839503576198e+00	1.467525820644960621e+00	3.970311425050625509e-01	3.285258220807247831e-01	4.258523104665212777e+00	2.314315719063849031e+00	-5.233263503568701402e-01	8.869602501518699000e+01	6.160196105797450628e+01	2.709406395721247662e+01	2.553497789282470620e-01	6.187730618431822371e+00	7.386100283467730288e-01	5.385807259129803404e-01	3.004355321064998208e+01	1.321389673658599584e+01	4.325744994723598325e+01	1.706306869540583904e+01	1.725973519588977212e-01	1.050421953290716193e+00
4.972404878293066758e+03	1.267724187672519684e+09	3.762595179437750659e+01	4.405246365920455487e-01	9.114400895218897070e-01	1.131862022625945152e-01	1.730657449811811577e-01	4.280097366136302872e-01	1.782686687918378921e-01	4.190107003329388569e+00	6.645986355570236981e-01	2.487331200985885005e+00	1.094389579987210537e+00	2.612024144116254831e+00	-9.770262581336250918e-01	9.535208678505965452e+01	6.619261091614583847e+01	2.915947586891381249e+01	6.265295260457120818e+00	1.603786220693717013e-01	6.547531293679803577e-01	1.569528096385090221e-01	3.725607535431427664e+01	1.641221905630516176e+01	5.366829441061943839e+01	2.117751930204034494e+01	7.214792429840903853e-01	7.766930705029480020e-01
6.358103169287031960e+03	1.267724187631536961e+09	1.899710494560231950e+02	2.885641292044396344e-01	8.661813009032914845e-01	8.155581299567145059e-01	1.420188307889055368e+00	1.460412735277441421e+00	3.527830867328581643e+00	2.327440503258727755e+00	1.163431323414931384e+00	2.229599279633006859e+00	3.809055890478748457e-02	5.154029985634657862e+00	-1.792192860927772635e-01	5.428367734227081201e+02	4.212726096588269229e+02	1.215641637638811972e+02	5.913303162712087335e+00	3.157948722861082302e+00	1.209767306741599546e-01	8.563761579960020853e-01	2.161965787579871972e+02	6.238657748627762345e+01	2.785831562442648419e+02	9.749290605130619269e+01	7.402237760746193107e-01	9.485627944668083567e-01
6.456280416879224504e+03	1.267724187717527151e+09	2.843515897538761195e+01	4.241647559977219095e-01	6.642304001048469075e-01	1.630009067913295098e-02	4.579428017023636222e-01	9.402915797281252708e-01	1.204910043781040274e+00	4.229774351947815703e+00	3.284872031982471463e-01	5.140124279984505107e-02	3.501186697199270004e+00	5.907684986682831152e+00	5.542183110570997329e-01	7.271218468128226675e+01	5.105602029193774882e+01	2.165616438934451438e+01	3.990763180375371810e+00	5.195673224156411862e+00	4.212060454846531798e-01	2.936587913912662162e-01	2.604332392183667366e+01	1.104666013667548619e+01	3.708998405851216518e+01	1.450457853413773712e+01	4.459361337601315811e-01	9.604264204204963074e-01
4.722046726807338018e+03	1.267724187689849854e+09	5.691828370190529540e+01	2.418463487534600609e-01	8.349891139008858154e-01	7.865683252414243931e-01	1.478647602363930780e+00	4.844766946641619332e-01	2.151247899217960224e+00	3.174948752246638417e+00	1.219486056787347561e+00	1.468023205579668256e+00	2.391958744785827040e+00	5.544777372524073655e+00	4.365747191535589433e-01	1.729854249079987483e+02	1.392969630112758921e+02	3.368846189672285618e+01	4.134814153369312351e+00	2.876745407685454836e-03	1.974248008551688083e-01	8.314465137383489912e-01	7.984366759483211240e+01	1.930989947889510461e+01	9.915356707372721701e+01	3.262500793786438180e+01	1.335560456088859205e+00	7.446212981866063840e-01
6.528692971273483636e+03	1.267724187628049374e+09	1.959181370571926664e+02	1.083253035613550436e-01	4.641850081402937311e-01	4.178572856214232689e-01	2.481662801753591552e+00	1.777488528757219521e+00	2.340391683410745216e+00	1.419498010830184231e+00	9.480410448526913614e-01	2.386413869268761534e+00	3.705146084847090737e+00	3.692505214750809728e-01	3.753320589649538075e-01	8.410801662299372765e+02	7.588748208917676266e+02	8.220534533816966416e+01	4.287241073205869668e+00	3.444474494370286521e-01	-3.392612812239185205e-01	2.845739267134654860e-01	3.853812945661188678e+02	4.174654572074281589e+01	4.271278402868616695e+02	9.949359658468843293e+01	9.539204657264998000e-01	9.691532297802518681e-01
1.037412536280557106e+04	1.267724187641886711e+09	9.392028294635747443e+01	7.211159833786011664e-01	7.940830760979061820e-01	8.732782983040404678e-01	2.487246860144938232e-01	2.084382019380593309e+00	5.871879125489182227e-02	3.128911831036214064e+00	1.942011801675090910e+00	1.235783156164973917e+00	9.358863639490095920e-01	2.344169166986354469e+00	-6.538881516909849090e-01	2.192443875002381901e+02	1.273850162438530305e+02	9.185937125638515965e+01	5.214602895385573866e+00	5.273321686640465522e+00	2.674171326373555591e-01	5.236732656089074789e-01	5.284862294250945780e+01	3.810998670339260741e+01	9.095860964590205811e+01	3.896500362793150884e+01	1.930812690402867737e+00	1.410375316352647790e+00
5.708708629501501491e+03	1.267724187673755169e+09	7.556207581409823604e+01	2.539821756901344818e-01	6.723194554910054688e-01	5.729639867467294367e-01	1.343402793867311207e+00	1.505843661335083628e+00	5.273638505837898727e+00	5.671009261862166362e+00	2.561336651234506601e+00	9.604685263096913728e-01	3.179621167502003853e+00	4.363804435672165027e-01	7.753936954435856066e-01	2.256168714785696636e+02	1.799203177305135455e+02	4.569655374805611103e+01	4.929849608825804808e-01	5.766623466720478319e+00	1.284008779516393195e-01	6.550121393658909774e-01	9.625992933425196441e+01	2.444830628409191320e+01	1.207082356183438918e+02	4.042678542347261583e+01	2.609771598949264249e+00	8.691091815137338417e-01
8.971467791333821879e+03	1.267724187766622543e+09	1.396774505337552625e+02	5.498855797331369394e-02	2.214808856075861088e-01	8.993770043361661026e-02	3.866933929821139704e-01	1.812578794506207291e+00	1.000368128531778700e+00	3.709573227952254637e+00	1.192206775471588154e+00	2.590919742625834132e+00	5.533811344797237020e-01	1.932847122704949072e+00	3.199400326087038504e-01	8.489071672493040523e+02	8.046600703235091032e+02	4.424709692579495623e+01	7.555569275391249562e-02	1.075923821285691417e+00	1.933128631549444476e-01	8.352665040104859107e-02	3.570323736674072279e+02	1.963269537776001883e+01	3.766650690451672290e+02	6.197570073513004019e+01	1.327375134139908042e+00	1.253745401455075292e+00
1.756290357229621077e+04	1.267724187808716059e+09	1.069599248588878027e+02	2.353498468242668784e-01	7.823803972237922677e-01	8.216369367457332373e-01	1.465706991431855732e-01	1.066167752115100509e+00	6.085373869688646131e+00	6.260289583540328273e+00	2.074446524541864179e+00	1.256342606417618635e+00	4.655154784438367166e+00	5.612686577907403773e+00	2.888955849301055867e-01	3.283527788120207447e+02	2.657974011622071089e+02	6.255537764981365711e+01	4.855187044249110073e+00	4.657375606758169084e+00	7.022168789454412696e-01	1.417658418504104123e-01	8.394483803264424182e+01	1.975640477267071660e+01	1.037012428053149620e+02	3.378036628275278019e+01	2.073838671931550692e+00	2.166334075942162318e+00
1.046319645315872003e+04	1.267724187700516939e+09	5.414647502465588502e+01	1.038723290997116411e-01	6.077898623962992852e-01	3.960567827574006106e-02	4.591431446217771883e-01	1.929942590196469077e+00	5.149685377753956850e+00	3.131460461090918912e+00	1.314151609051595671e+00	2.296280408795948969e+00	1.196061498843963733e+00	6.049504602312914869e+00	4.545703820818263186e-01	2.372317887458237635e+02	2.149087195068143217e+02	2.232306923900943474e+01	5.157295041364895027e+00	4.023795111939264757e+00	4.922640665772300417e-01	2.693604064478626325e-01	8.879835178391466854e+01	9.223691620010750825e+00	9.802204340392542292e+01	2.237283693343064783e+01	1.323153295227698756e+00	1.420188158782287768e+00
8.528773809386995708e+03	1.267724187794953346e+09	1.328675945686735247e+02	9.927172479106715075e-01	8.315105827312978537e-01	4.365425537952123958e-01	1.242960449506770981e+00	1.131494360571619007e+00	1.018147036318042709e+00	1.125025140875899110e+00	1.429912737501538800e+00	2.997743199531080815e+00	2.261759392154319759e+00	1.861568765750668319e+00	-1.480956377345810093e+00	3.052520209321710354e+02	1.531838103234276502e+02	1.520682106087434136e+02	1.643158701678880007e+00	2.661305737996922716e+00	2.268535543837875701e-01	7.872254902987716463e-01	6.952145512476479894e+01	6.901514760220176470e+01	1.385366027269665494e+02	6.030107551077652772e+01	1.157366694371845028e+00	1.203403396095787503e+00
5.749919278673834015e+03	1.267724187715736866e+09	3.601713407489506125e+01	5.429985449838142797e-01	9.808549345147533627e-01	9.354696367530219714e-01	4.380264307558185410e-01	7.625506249342893783e-01	4.272357535980995991e+00	5.859903633269181178e+00	1.192547431551297166e+00	1.071640625535370761e+00	2.726478502780368185e+00	5.656307094977343297e+00	2.872242039385628498e-01	8.743162955541913561e+01	5.666345560704094453e+01	3.076817394837818753e+01	4.275580197373152203e-01	4.699915555718312099e+00	8.137051632639180632e-01	4.160326088033284853e-01	3.023333058398361572e+01	1.641665451711775603e+01	4.664998510110137175e+01	1.921728757112115460e+01	1.243675457901783243e+00	8.742048762916955207e-01
3.724442875226591241e+03	1.267724187613569498e+09	8.059875063469084466e+01	1.031805160063826721e-01	5.648139867818576798e-01	7.930162609723335754e-01	2.135802732663051540e+00	1.481429096775651821e+00	8.267579114342449298e-01	4.724877414236496875e+00	1.005707309181154807e+00	2.232216120772590351e+00	1.582639094293600168e+00	2.264270799641487031e+00	-4.445917144242530483e-01	3.542791483567562523e+02	3.211434060123542622e+02	3.313574234440196875e+01	6.278980478812359323e+00	8.225530830670182425e-01	-2.675090376275939819e-01	4.770335173850587807e-01	1.991131014999559170e+02	2.054459255639669735e+01	2.196576940563526250e+02	4.997227691879640332e+01	2.599792367456150277e+00	6.128692868180016795e-01
3.370594428294070440e+03	1.267724187806412935e+09	8.938637364280863551e+01	2.483127681281669108e-01	6.692152614725083160e-01	8.332462272713078155e-01	1.994238366124808870e+00	1.977724168869599897e+00	1.863245527770805765e+00	1.104081051185814427e-01	2.571571686136030710e+00	9.850384336099852201e-01	1.415228257871073980e+00	1.175168588121053403e+00	3.596686761795715448e-01	2.690667189449983425e+02	2.155443137447527135e+02	5.352240520024564319e+01	2.577283936164779021e+00	4.440529463935583898e+00	-2.858837584414801181e-01	6.101101739962896398e-01	1.377863606640555929e+02	3.421411262679762189e+01	1.720004732908532219e+02	5.714009756613166502e+01	2.037603882120801124e+00	5.643370846428188425e-01
8.792914368294110318e+03	1.267724187644443274e+09	7.371897059359712046e+01	2.941808489422341188e-01	2.073391639420107679e-01	4.020631592096676754e-01	4.397411538351592153e-01	1.501657869095768705e+00	2.437154727225821826e+00	2.398885145618990133e+00	2.767057481916815220e+00	2.211671837819288111e+00	2.007790165502978397e+00	2.125011310817605192e+00	-1.715136312309906153e-01	2.093170409819854285e+02	1.617370873267560683e+02	4.757995365522935316e+01	3.083781863573827664e+00	5.520936590799649046e+00	1.512805885299488562e-01	1.009391253031006880e-01	7.241425873559900595e+01	2.130288811036110630e+01	9.371714684596011580e+01	3.300606372057279003e+01	2.724578761533434257e+00	1.233497796577537553e+00
2.575949310944709850e+03	1.267724187636716127e+09	8.745455331271320176e+01	2.378333368819964544e-01	6.792305221064177945e-02	9.510416324010168010e-01	2.315150907829654603e+00	2.270452963052496553e+00	5.530122267248319012e+00	5.176473056422164376e+00	1.604302014464015436e+00	4.629302921608147714e-01	6.212746545267605391e+00	3.960872277740669745e+00	1.665021276421636554e-01	2.674320159355887085e+02	2.160484840465103673e+02	5.138353188907833413e+01	2.449413608674385401e+00	1.696350568743117293e+00	-1.548459546854493440e-01	1.450673939671483781e-01	1.489042239586274263e+02	3.541438845990447959e+01	1.843186124185319272e+02	6.027513893536299605e+01	1.725087706704869106e+00	4.509224674952052037e-01
2.151121164567247979e+04	1.267724187621907711e+09	2.483931755007367883e+02	6.576287945573838778e-01	1.831568370714997118e-01	3.819919818598205286e-01	1.586155513103363113e+00	1.578585198578705828e+00	3.618808722525068244e+00	3.992622149809391008e+00	1.420491587090288332e+00	5.102969971723739784e-01	5.064348464498789504e+00	3.170852836453811108e+00	-3.316337725395357428e-01	5.857818426904203761e+02	3.533854169363862070e+02	2.323964257540341691e+02	3.197667219052713783e+00	5.332906343981953512e-01	-2.877389516919676930e-03	2.368022223802096482e-01	9.926282604961221523e+01	6.527809263936576656e+01	1.645409186889779676e+02	6.977143761446968995e+01	1.457090676617165181e+00	2.560098286540440249e+00
7.357504151035047471e+03	1.267724187674136877e+09	3.966409852202920661e+01	5.679779562499410739e-01	9.823512432250004478e-01	8.456080774724046289e-01	3.367021990306749424e-01	4.122798001536717716e-01	3.726813315641057223e+00	1.722158772818838945e-01	6.404249759043374457e-01	3.593047707277082781e-01	2.827335871587333127e+00	2.762165973297193489e+00	-9.965834157907336177e-01	9.554470923315491859e+01	6.093498244175874845e+01	3.460972679139617725e+01	6.409825441950518510e-01	4.367795859836108185e+00	8.719733024461834292e-01	3.245455367275575376e-01	2.946967909614224013e+01	1.673812810436848153e+01	4.620780720051072166e+01	1.918254848434864357e+01	6.314250177560832844e-01	1.067717881927513268e+00
7.122710957993042030e+03	1.267724187796104670e+09	1.221415940444972961e+02	6.073123132112270145e-02	3.352222538203419311e-01	6.377672328493411147e-01	7.202727802908687194e-01	2.398576872285256290e+00	2.849952189631871580e+00	5.407317742539213157e+00	1.280214985638257197e+00	1.396653859945779397e+00	5.067656965469733876e+00	4.835977657750873959e-01	4.187986859735672862e-01	7.039515328693075844e+02	6.636474085829903515e+02	4.030412428631721866e+01	3.448458973863325117e+00	1.522585631560957609e-02	2.106452042052771867e-01	2.211091542857581138e-01	3.253124764635633142e+02	1.975662725975594824e+01	3.450691037233192446e+02	5.987243214384344014e+01	1.668785223731083178e+00	1.040030606257188461e+00
1.529962069916800283e+04	1.267724187632287502e+09	1.177488350860981825e+02	5.841750004674087782e-01	2.985290250686432612e-01	7.800754312348697761e-01	1.352234867672500007e+00	9.631900377507104372e-01	5.832231082740650940e+00	3.667567885610469425e+00	2.714093307759617435e+00	7.562163129533363559e-01	5.442919918371787347e+00	3.691175958432246773e+00	2.271394670032056418e-02	2.823544425584159967e+02	1.782343759212888017e+02	1.041200666371271950e+02	9.625996452894032274e-01	5.116454208504670476e-01	2.050846071371583423e-01	3.470930873931252214e-01	6.073024676787564147e+01	3.547709193400960004e+01	9.620733870188524861e+01	4.012085645345203488e+01	2.773917043975117291e+00	1.934853477584897563e+00
8.889502110328441631e+03	1.267724187614193201e+09	2.201164520351892122e+02	1.914195356859464403e-01	7.509240737437126167e-01	1.749915763801699609e-01	1.111836207855340986e+00	4.552610396859659847e-01	3.863178591275486351e+00	3.903979852259010119e+00	1.891703798971139827e+00	2.041418211539785532e-01	5.381017693845310923e+00	8.580443179345849103e-01	8.220913099084786735e-01	7.323832601965611957e+02	6.147148323994031216e+02	1.176684277971581309e+02	1.330851709007337291e+00	5.194030300282822310e+00	3.044741671232373270e-01	6.732136943870088430e-01	2.738809433353454779e+02	5.242616300648084149e+01	3.263071063418263407e+02	9.807100520368945240e+01	2.288080706726185465e+00	1.244460037684088194e+00
2.299211146083759104e+03	1.267724187698590517e+09	2.036470410722429492e+01	5.963905825021088847e-02	3.271645687064675956e-01	2.739823669028166320e-01	8.186097406161152445e-01	1.342795066887975342e+00	7.277508075090227679e-01	1.066493601223808207e+00	1.798711160411782473e+00	2.878843668141866985e+00	2.113415168672003741e+00	5.809398366858182783e+00	6.699846315800571661e-01	1.185084144714052883e+02	1.118384732505982129e+02	6.669941220807078963e+00	2.093419454528525847e+00	2.821170262037547616e+00	2.144355701093000888e-01	2.388944750159641695e-01	7.933576009959676867e+01	4.731510017904608567e+00	8.406727011750137990e+01	1.444627445807319965e+01	1.353988911594947497e+00	4.096855328567859389e-01
5.432694932539933689e+03	1.267724187715290070e+09	3.679789860867545315e+01	5.037850616836324624e-01	9.871515647865013454e-01	3.868076563140067092e-01	5.612945882284506860e-01	1.114066452530113382e+00	2.397627208883807981e+00	5.181969766912847497e+00	6.109608419897127884e-01	1.789160282015855641e+00	1.298792314853116636e+00	5.802410469011626049e+00	5.987828296321592303e-01	9.059386048000212099e+01	6.024388909580838458e+01	3.034997138419373996e+01	5.285833324800304212e-01	2.926210541363840179e+00	6.128731285172023258e-01	5.254436004963921603e-01	3.283441960996491815e+01	1.654149010855244839e+01	4.937590971851736299e+01	2.005577099713272204e+01	7.621971112054762854e-01	8.347785589462639599e-01
5.521992811426345725e+03	1.267724187715923071e+09	2.995829113431083712e+01	2.805449493385940296e-01	8.790952979700965564e-01	5.510808633861238315e-01	8.093574432576401412e-01	1.875485073331197017e-01	4.795764625485342769e+00	2.786412492559724008e+00	4.143932592920578917e-01	3.204737916251675922e-01	4.752052513565548364e-01	5.550249497551227762e+00	2.371298565140984582e-01	8.641504437635569502e+01	6.748302308403103211e+01	1.893202129232465580e+01	6.281392765258064337e+00	4.793972083563820874e+00	5.922757416307856682e-01	6.363278419299296385e-01	3.655784439292578725e+01	1.025611860314156765e+01	4.681396299606736022e+01	1.622942327587086098e+01	4.350499418307894328e-01	8.459245670701933673e-01
3.036675042281905917e+03	1.267724187693689823e+09	4.621408179006666472e+01	5.293838935536353263e-02	7.862545730409016276e-01	9.739865383072562333e-01	1.028772825673930802e+00	2.166670767961693223e+00	3.342094932052602108e+00	2.412820951485051602e+00	1.332106492882436655e+00	2.069996509841285359e+00	6.331743785738452868e-01	1.360118229606115392e-01	1.307100949919009159e+00	2.866787131833889362e+02	2.722654203527531536e+02	1.441329283063576483e+01	5.340917141082886843e+00	2.399826765955902275e+00	3.577300222697321619e-01	6.735580092955990583e-01	1.794180460714263461e+02	9.498102380307720694e+00	1.889161484517340739e+02	3.045425395930196188e+01	8.649540979916031658e-01	5.174918371609300571e-01
5.922411867737935609e+03	1.267724187712259293e+09	3.246147852474038586e+01	3.409045801133401832e-01	8.512856453777877253e-01	5.650036766352568851e-02	6.617043867931505785e-01	1.526723319798647616e+00	4.454831635642062082e+00	1.165620230610790120e+00	6.244384336734666308e-01	5.915199702862705688e-01	3.301236793345214249e+00	5.571667893636437441e+00	1.020819206177689953e-01	8.803716405375780596e+01	6.565505507208905556e+01	2.238210898166874685e+01	7.854169523852423396e-01	5.240248588027304422e+00	5.015025844804593680e-01	5.230830319096030356e-01	3.463820445008850868e+01	1.180832254393745373e+01	4.644652699402595886e+01	1.712598258668002060e+01	3.973612641655466793e-01	8.954520337996705326e-01
6.178610980214593837e+03	1.267724187658176899e+09	9.238786519648451190e+01	1.468242402130224278e-01	9.752384539278103892e-01	1.004536227032368639e-01	1.797179894916857812e+00	2.215672735496098333e+00	1.009608737925699495e+00	5.119724934927672999e-01	2.196500740569661936e+00	1.054595926824192231e+00	3.646218109415596320e+00	5.982093946833153097e+00	9.842469218012916965e-01	3.442964236147117845e+02	3.002172534744807990e+02	4.407917014023101387e+01	2.402223995767132081e-01	1.249831137502412481e+00	-1.986029074906597580e-01	9.503547486838167524e-01	1.558132584856817857e+02	2.287716329227550105e+01	1.786904217779572832e+02	4.794945711547453726e+01	1.296103177246266336e+00	9.267760419891917234e-01
