iota	chirp_mass	phi_1	chi_p	tilt_1	dec	mass_1	mass_2	chi_eff	total_mass	mass_ratio	psi	phi_jl	phi_2	phi_12	total_mass_source	theta_jn	a_1	phase	ra	mass_2_source	luminosity_distance	a_2	chirp_mass_source	tilt_2	mass_1_source	redshift
2.127922063185982426e-01	3.171262202291982391e+01	5.817818218927015117e+00	2.971766493611900928e-01	4.455348941815710506e-01	1.048954276028605470e+00	6.922768903352472591e+01	2.055092547243486578e+01	4.794615671514773636e-01	8.977861450595959525e+01	2.968599090817941044e-01	1.261092631431436795e+00	4.261621820555997475e-01	3.133485346537527860e+00	3.598852434790098531e+00	5.025637952420691335e+01	2.180798292410241201e-01	6.895999950898444864e-01	3.238748400460170540e+00	3.492737205635449982e-01	1.150402148440170613e+01	5.048817318859953048e+03	3.443175936890770835e-03	1.775212924438464768e+01	2.067362088164191647e+00	3.875235803980520188e+01	7.864122994119795429e-01
1.136872010743541495e+00	2.245943061596526888e+02	5.772129979148976631e-01	3.706431855726172730e-01	1.131601737454842382e+00	-2.870562310015041252e-01	5.983942725502720350e+02	1.244592691178936406e+02	1.960086914944776937e-01	7.228535416681656898e+02	2.079887372375169574e-01	2.353975086571071795e+00	1.382842051529730720e-01	8.494894252710203375e-01	2.722764273561226744e-01	3.086283994250914589e+02	1.149097279014818840e+00	4.095077540627578561e-01	2.465033641438351353e+00	3.938428983033624320e+00	5.313893175763887911e+01	9.758625464024946268e+03	4.413181216162449516e-01	9.589242804300040746e+01	8.195722155076872184e-01	2.554894676674525726e+02	1.342148496427052473e+00
2.017260212149731391e+00	8.494988581420012963e+01	4.819738994772986729e+00	3.029648432979493156e-01	5.882809599222935670e-01	3.349768685047969097e-01	2.581843309129844215e+02	4.260174207655542489e+01	4.707480944667617462e-01	3.007860729895398322e+02	1.650051415820174006e-01	2.756952505539433940e+00	4.162384886050359611e+00	5.300682653069920036e+00	4.809436582969332519e-01	1.994864064837113062e+02	1.748748529010232478e+00	5.459497068687098054e-01	2.409512058630737474e+00	4.210294172727550688e+00	2.825419525688447209e+01	2.968583850728081870e+03	7.231890392600537343e-01	5.634019980993507204e+01	6.602603467305376839e-01	1.712322112268268484e+02	5.078023525081643008e-01
2.334503055521152337e+00	2.044517327892260994e+02	2.839872164800395282e+00	1.351260377245003530e-01	2.950392129926637352e+00	-1.910570507985742683e-01	3.240817439685794170e+02	1.734934120142604570e+02	-2.309510941853787080e-01	4.975751559828398740e+02	5.353384300199307555e-01	2.860735870646315071e+00	3.179588921440464677e+00	3.029184966771833132e+00	1.893128019714375443e-01	2.779528460690364113e+02	2.347876971661915224e+00	7.110486678486444001e-01	3.218930211758444404e+00	1.638251179806935909e+00	9.691598759254519280e+01	5.078208519492759478e+03	6.767639953097440708e-01	1.142097637496824376e+02	3.235164661880341463e-01	1.810368584764912328e+02	7.901423317653486489e-01
1.520171171992820425e-01	1.195221130056355321e+02	4.196774211389741716e+00	2.512571367572120629e-01	9.487074401158899217e-01	-1.140946679842326894e+00	1.440930348908350425e+02	1.308779217859195683e+02	7.064401348265970937e-02	2.749709566767546107e+02	9.082876343403604169e-01	7.945521259638445022e-01	6.508283814644768572e-01	6.277245850336806932e+00	2.080471638947065660e+00	7.259896534322975015e+01	1.861357121118138447e-01	3.091775403722734628e-01	4.889578273327966684e+00	3.172001424674341763e+00	3.455492835594135670e+01	2.384002031984557107e+04	1.732020982270409404e-01	3.155672091597037010e+01	1.863277712500005956e+00	3.804403698728840055e+01	2.787532720015508225e+00
1.709355129153055319e+00	6.721793844809931784e+01	2.538011708440864211e+00	6.603014195139498277e-01	1.727739801065998559e+00	-9.007114255451518225e-01	3.862265711807679622e+02	2.133191340948083692e+01	-1.221945076354290644e-01	4.075584845902487814e+02	5.523160497286638826e-02	7.999658770296560473e-01	6.060046360927816345e+00	6.105906857253101450e+00	3.567895148812237238e+00	2.984990337637140669e+02	9.453058129390886632e-01	6.685177491282723317e-01	6.241346994579219043e+00	2.074300352927345159e+00	1.562366085314861941e+01	2.009618799764497226e+03	6.967461999237873904e-01	4.923094583227457832e+01	2.259405896540893632e+00	2.828753729105654315e+02	3.653594768848197338e-01
1.469443044241227625e+00	6.288739755019920352e+01	2.898595004969850564e-01	2.333144823274323487e-01	1.527102719571949985e+00	1.520349180894562391e-01	2.045811073524263861e+02	2.997958316793827649e+01	5.182406112680195548e-02	2.345606905203646591e+02	1.465413085104347035e-01	2.661700207099127358e+00	5.346401595498919690e+00	1.483558256161067845e+00	1.193698755664082123e+00	1.808577608312759537e+02	1.076895996263160349e+00	2.335373736195859584e-01	1.819298082289515728e+00	3.595827579039429622e+00	2.311572442244998982e+01	1.579681733234122021e+03	3.714591712246602118e-01	4.848925828195338283e+01	4.413683079126487496e-01	1.577420364088259532e+02	2.969346155910264073e-01
9.427531456314118818e-01	1.594662427654762951e+02	1.977783753364947827e+00	3.453315189317963940e-02	2.185746087123686010e+00	-6.767794890985383560e-01	8.084873914589713877e+02	5.523738939380785240e+01	-2.228981193616513118e-02	8.637247808527791904e+02	6.832189342387660902e-02	1.199146698046657189e+00	4.208585813536061870e+00	2.137377416968069710e+00	1.595936636031213274e-01	3.248505956603623872e+02	7.351215055300047707e-01	4.227846360029640510e-02	5.463074493593572001e+00	4.775137777362061797e-01	2.077501913235065700e+01	1.266814649937256945e+04	6.938039225238047669e-02	5.997593805163110403e+01	1.448451996165864619e+00	3.040755765280117657e+02	1.658836992731945514e+00
7.795359213596427805e-01	3.274854498757181887e+01	3.225781756959941404e+00	4.565026806820383087e-01	5.472915362765186087e-01	1.008102883695305430e-01	7.629848912749120871e+01	2.014804700207954014e+01	6.974087643632919109e-01	9.644653612957074529e+01	2.640687546042110312e-01	1.377175380515738290e+00	3.556085134560628358e+00	9.551770854548546907e-02	3.152921258765129853e+00	5.325437417112411964e+01	6.634472013100982668e-01	8.772549705323380298e-01	3.699054257003640878e+00	5.511750263074169709e+00	1.112504063831447176e+01	5.243649979543564768e+03	8.422720444240018312e-01	1.808259102208778302e+01	9.328954001668098295e-01	4.212933353280965321e+01	8.110537891151581302e-01
1.722037020655249551e+00	1.090432698397001587e+02	3.694060801031384234e+00	4.932074107908630545e-01	1.329639352300518551e+00	-8.890729737025249158e-01	3.202082053475950829e+02	5.611595441432430675e+01	1.098507717329999661e-01	3.763241597619194181e+02	1.752483336690540128e-01	9.282320661212728474e-02	2.616753655345563256e+00	2.054542047724211784e+00	4.643666553872412450e+00	2.225456474970691829e+02	2.135136979312209249e+00	5.079050090374298554e-01	1.852226055313044739e+00	3.619060777891242253e+00	3.318511736783668908e+01	4.309819414431281984e+03	4.941841798516093121e-02	6.448457921762512512e+01	4.493214371387738715e-01	1.893605301292325009e+02	6.909976177668243347e-01
