mass_1	mass_2	chirp_mass	ra	dec	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.142224100000001386e+01	6.588896200000000647e+01	6.738555144206750924e+01	3.545790499999999845e+00	-1.205155100000000035e+00	5.568088809608926493e-01	1.276867660144598737e+00	2.786503800530045094e+00	5.070395100000000639e+03	1.573112030000000061e+02	7.207104231890355539e-01	3.590069527322520271e-02	1.258595685043362999e-01	1.169137888571593065e+00	1.371638935615079102e+00	1.793859913955019536e+00	1.237015900605665131e+00	5.373616190515265956e+00	5.109810842133098419e+01	3.682693934449667950e+01	8.792504776582765658e+01	3.766341949130235633e+01	1.367423594048585989e-01	5.832134207770642981e-02	1.427098897550342471e+00	3.220958811505361119e+00	7.891511804346098558e-01
9.082993299999999692e+01	5.704560899999999890e+01	6.232918654001515790e+01	5.846496199999999810e+00	6.815355699999999795e-01	2.832304981257390608e+00	1.532561863086989495e+00	2.721430884468075018e+00	5.090537199999999757e+03	1.478755419999999958e+02	6.280485641225783677e-01	-7.711925744897317470e-02	4.736726785483876823e-01	2.204407714133187035e+00	1.782276410021243596e+00	6.166367910118013995e+00	1.550859063442477481e+00	1.117544088038203570e-01	5.069467517822990743e+01	3.183871795434780694e+01	8.253339313257771437e+01	3.478762739778051127e+01	2.871159885227488398e-02	8.234342600441815208e-01	5.250905969812178498e-01	4.082731999196465011e-01	7.917055919712372436e-01
9.036947600000000591e+01	2.522351099999999846e+01	4.000461398551760084e+01	2.371195999999999859e+00	-5.169085100000000432e-01	3.097952574361746425e+00	2.594173605217742207e+00	2.103210215833719587e+00	5.623557799999999588e+03	1.155929869999999937e+02	2.791153840484811299e-01	6.740659857955051404e-01	7.529325655420396335e-02	8.730501910093702023e-02	1.486446319672240390e+00	5.789950248776019492e+00	2.621049225612948508e+00	2.511763762938981071e+00	4.862349033823483779e+01	1.357156417953402716e+01	6.219505451776885963e+01	2.152456833554760252e+01	8.635126831981425610e-01	8.438349004736155068e-02	2.534991098390992903e+00	2.041756039987426163e+00	8.585559237185904635e-01
9.013209500000000673e+01	7.354383100000001150e+01	7.080410991746643390e+01	5.597036400000000356e+00	7.677963799999998340e-01	6.218040799534392260e-01	5.396603263093664449e-01	2.884172028989106185e+00	9.349577400000000125e+03	1.636759260000000040e+02	8.159560809054754449e-01	-8.899064525968387873e-02	3.076287511521136331e-01	4.940241760214206801e-01	2.605210446979394412e+00	2.484502773212603488e-01	5.643636313241201519e-01	2.860214161739763838e+00	3.924965644774319884e+01	3.202599585198687038e+01	7.127565229973005501e+01	3.083293458727220937e+01	4.214280116205008087e-01	7.594350734086926513e-01	5.519008610721595431e+00	5.767458888042856557e+00	1.296379208312343767e+00
9.008025399999999649e+01	4.075081999999999738e+01	5.194184731086821216e+01	2.164613600000000027e+00	-3.729448499999999944e-01	2.137803431561315914e-01	1.940572328908798383e+00	5.744060749637733831e-01	6.933744700000001103e+03	1.308310740000000010e+02	4.523834935012506220e-01	-1.485969360259001837e-01	2.456166527045892389e-01	2.320842507449409453e+00	1.405365936225698720e+00	4.302308440939729195e+00	2.102161411013719228e+00	1.961929707607236839e+00	4.464687237412562837e+01	2.019750809851142392e+01	6.484438047263705585e+01	2.574416617169678290e+01	3.356989982006420292e-01	1.747323841906906206e-01	4.997640300066368724e+00	3.016763433826511687e+00	1.017616222815297400e+00
9.008025399999999649e+01	4.075081999999999738e+01	5.194184731086821216e+01	9.717898099999999761e-02	-4.417696299999999965e-02	5.369548097591179570e+00	9.520528288525359484e-01	1.471283961765608606e+00	1.793316700000000128e+04	1.308310740000000010e+02	4.523834935012506220e-01	-1.485969360259001837e-01	2.456166527045892389e-01	2.320842507449409453e+00	1.405365936225698720e+00	4.302308440939729195e+00	1.081520390498091233e+00	8.755380966226365969e-01	2.811700694745834994e+01	1.271966982969014026e+01	4.083667677714849020e+01	1.621275714546167279e+01	3.356989982006420292e-01	1.747323841906906206e-01	4.997640300066368724e+00	3.016763433826511687e+00	2.203763977023978526e+00
8.969668599999999969e+01	2.341469400000000078e+01	3.825231031388517522e+01	3.553506100000000778e+00	-1.255101499999999870e+00	2.258532680927993752e+00	1.368801641902507971e+00	1.527143947341461416e+00	3.766290499999999611e+03	1.131113799999999969e+02	2.610430222583696724e-01	6.732622968277995890e-01	1.706489586849785356e-01	1.315099568377680606e-01	1.773851807130421898e+00	5.118827909573540502e+00	1.387768968282017568e+00	2.438261125996178114e-01	5.541827402842255879e+01	1.446655374072194356e+01	6.988482776914449346e+01	2.363383877075618145e+01	8.983251724089666990e-01	7.893862368106158156e-01	1.447390183766454008e+00	2.830327861604100548e-01	6.185398692495721606e-01
8.837855500000000575e+01	2.013730199999999826e+01	3.492289731163362632e+01	2.504846800000000151e+00	-7.345636599999998406e-01	3.314229893879636180e+00	8.010642384100651325e-01	1.298795391985323455e-01	6.292188599999999497e+03	1.085158569999999969e+02	2.278528088629644954e-01	5.770475750064264497e-01	5.700671347242254328e-01	6.541113997228854560e-01	1.835475620512099226e+00	5.442885830687991700e+00	4.928714428785849200e-01	4.004752468656556097e+00	4.554241421658030475e+01	1.037696700164843122e+01	5.591938121822873597e+01	1.799614233350519754e+01	9.369103553542299512e-01	5.870557805834354381e-01	4.134264703530729612e+00	3.293965227039135524e+00	9.405768561084461021e-01
8.659034699999999418e+01	4.513784400000000119e+01	5.386050600948329503e+01	2.582195600000000368e+00	-7.931971500000000175e-01	4.956114102871282512e+00	4.299778980575909015e-01	6.889089603181067778e-01	1.082956700000000092e+04	1.317281909999999812e+02	5.212803223897463090e-01	3.752227405225452839e-01	3.719528083603427238e-01	6.702834669197540451e-01	1.137990883043809243e+00	7.332282422644490483e-01	2.559987177991728258e-01	4.060936433443973925e+00	3.519363295490398968e+01	1.834574833279875250e+01	5.353938128770273863e+01	2.189097220343921180e+01	5.987571293152738061e-01	4.647269979274665785e-01	2.354382337656652169e+00	3.087610579921101106e+00	1.460398081407342286e+00
8.639516399999999408e+01	1.732289899999999960e+01	3.176106996538892702e+01	5.720740900000000906e+00	5.137162600000000356e-01	4.559252267786924939e+00	2.797901396591688794e+00	1.764396185566621922e+00	6.204837400000000343e+03	1.037180630000000008e+02	2.005077390674320781e-01	5.139972100390259868e-01	6.327200113815264482e-01	9.035953352460314170e-01	8.478213498367228595e-01	5.748895715704603226e+00	2.881215870729836315e+00	5.482340760405993940e+00	4.476509009676796325e+01	8.975747004452838240e+00	5.374083710122080504e+01	1.645679101402465250e+01	8.054415175713930397e-01	8.944604552716594048e-01	5.896494915081636812e+00	5.362205323606653806e+00	9.299673878292432638e-01
8.639516399999999408e+01	1.732289899999999960e+01	3.176106996538892702e+01	2.441224300000000014e+00	-6.863165799999999539e-01	4.620043870710877520e+00	2.978657761252988756e+00	2.894363016079434470e+00	5.334750099999999293e+03	1.037180630000000008e+02	2.005077390674320781e-01	5.139972100390259868e-01	6.327200113815264482e-01	9.035953352460314170e-01	8.478213498367228595e-01	5.748895715704603226e+00	2.793134844774228132e+00	4.942156056884442705e+00	4.740452457945574594e+01	9.504974044993183213e+00	5.690949862444892915e+01	1.742711457604378467e+01	8.054415175713930397e-01	8.944604552716594048e-01	5.896494915081636812e+00	5.362205323606653806e+00	8.225088167521054094e-01
8.609938800000000469e+01	5.476620900000000347e+01	5.947667180923333063e+01	6.039558800000000005e+00	9.137324100000000504e-01	4.310828616662056412e+00	1.939345209325685548e+00	3.011806268427023259e+00	1.137433000000000175e+04	1.408655970000000082e+02	6.360812808564910714e-01	-4.342921598880983280e-02	6.803022059483931905e-02	2.223669663243394545e+00	1.969359515653378745e+00	3.462595134165566968e+00	1.944323512485624850e+00	6.477009570165271901e-01	3.416976731073106777e+01	2.173474935757807813e+01	5.590451666830914945e+01	2.360416355268658961e+01	6.671226893204050545e-02	1.236651419627328163e-01	4.862632796759998044e-01	3.948858413841566772e+00	1.519753418776146114e+00
8.553878799999998250e+01	8.169144400000000417e+01	7.276806736371698037e+01	4.040917899999999285e+00	-1.053328700000000007e+00	2.550860348457889337e+00	2.399498361055600881e+00	8.394993397191440332e-01	7.007820399999999609e+03	1.672302320000000009e+02	9.550222292137223734e-01	-7.617333131632125776e-02	2.714033909427370772e-01	1.618240166875333896e+00	2.063105624007546712e+00	8.351936171947612619e-01	2.393925897962412730e+00	3.251435401166880901e+00	4.221183807570911739e+01	4.031324369827241583e+01	8.252508177398154032e+01	3.590971942038172671e+01	5.041810900811457413e-02	3.246089511534347438e-01	3.024885322157116363e+00	3.860078939351877736e+00	1.026417040797458879e+00
8.473268099999999947e+01	1.693871899999999542e+01	3.109704672012638582e+01	5.788509400000001470e+00	6.190447900000000114e-01	5.102898124684990933e+00	1.517983692997672440e+00	4.581328498052261722e-02	5.619208999999999833e+03	1.016714000000000055e+02	1.999077427987908662e-01	5.896038901492813844e-01	6.520356618619785882e-01	7.685984791230908719e-01	1.024162099754440725e+00	1.533197628631466011e-02	1.674363173547836148e+00	3.531698549254283503e-01	4.560384737834019120e+01	9.116562192344545679e+00	5.472040957068474398e+01	1.673669422240703142e+01	9.380075287919914517e-01	3.190121811212497382e-01	4.685413627132669845e+00	4.700745603418983620e+00	8.580160637991318673e-01
8.473268099999999947e+01	1.693871899999999542e+01	3.109704672012638582e+01	3.168056700000000170e+00	-1.037429600000000063e+00	5.951038967293994730e+00	2.690565160667974354e+00	4.925304579004374794e-01	4.994507000000000517e+03	1.016714000000000055e+02	1.999077427987908662e-01	5.896038901492813844e-01	6.520356618619785882e-01	7.685984791230908719e-01	1.024162099754440725e+00	1.533197628631466011e-02	2.987293850196152789e+00	6.195130756305409214e+00	4.761580196107713903e+01	9.518767491593171926e+00	5.713456945267031983e+01	1.747508518230293362e+01	9.380075287919914517e-01	3.190121811212497382e-01	4.685413627132669845e+00	4.700745603418983620e+00	7.795075901328621937e-01
8.473268099999999947e+01	1.693871899999999542e+01	3.109704672012638582e+01	2.323986600000000013e+00	-4.548331899999999983e-01	1.822780090744939629e+00	2.165691284507210934e+00	3.044000158649608601e+00	5.220958499999999731e+03	1.016714000000000055e+02	1.999077427987908662e-01	5.896038901492813844e-01	6.520356618619785882e-01	7.685984791230908719e-01	1.024162099754440725e+00	1.533197628631466011e-02	2.013614338912575796e+00	3.607398922085011339e+00	4.686039263505250574e+01	9.367755318338431891e+00	5.622814795339094474e+01	1.719784859746966177e+01	9.380075287919914517e-01	3.190121811212497382e-01	4.685413627132669845e+00	4.700745603418983620e+00	8.081940042606101660e-01
8.430328399999999078e+01	2.367774599999999907e+01	3.744910275918500986e+01	5.576321900000000831e+00	3.964763499999999774e-01	3.065854369751064734e+00	2.562298396905607234e+00	1.620920466384035308e+00	9.906604900000000271e+03	1.079810300000000041e+02	2.808638629071673609e-01	7.099914248828420593e-01	2.822431136793043804e-01	2.912808008952842975e-01	2.832431836692697491e+00	6.467008556615567727e-01	2.603794275186224194e+00	2.966625028665470953e+00	3.574262743034474710e+01	1.003881241053830919e+01	4.578143984088305984e+01	1.587754668634552147e+01	9.828114491912600670e-01	1.196420111538450265e-01	2.812216826092006627e+00	3.458917681753563400e+00	1.358620226347105442e+00
8.427614599999998291e+01	2.440164899999999903e+01	3.807554618759103704e+01	6.264372999999999969e+00	9.026513600000000137e-01	4.708778457645667714e+00	6.479084470241518456e-01	5.454880643751539582e-01	6.902252300000000105e+03	1.086777950000000033e+02	2.895439594496881375e-01	7.390591853097124853e-01	3.390743650705136947e-01	3.670061973569047065e-01	7.223148026276940969e-01	5.987353785595160183e+00	7.688184558479612685e-01	8.045671804987628573e-01	4.184787898114381477e+01	1.211680057477176398e+01	5.396467955591558763e+01	1.890666487049920264e+01	9.449637625753010139e-01	3.268976279601633061e-01	5.376218529896177323e+00	5.080387008311751273e+00	1.013868995319305633e+00
8.427459000000000344e+01	2.015739299999999901e+01	3.422251337962511286e+01	3.871967099999999995e-01	9.604794800000000521e-01	2.686159479207851142e+00	3.044797631773831448e+00	1.401057066281358399e+00	4.028850700000000415e+03	1.044319830000000024e+02	2.391870788098761080e-01	5.563357584226990005e-01	6.021934083940152505e-01	6.941652926578073535e-01	1.980524119116493509e+00	1.452756235122460771e+00	2.827868163278638214e+00	4.464501870457419308e+00	5.095786561363724587e+01	1.218846301851212921e+01	6.314632863214937686e+01	2.069314413466549141e+01	9.413035507604531338e-01	3.575735945846066910e-01	2.895642917805343330e+00	4.348399152927804323e+00	6.538092595747689861e-01
8.391623699999998109e+01	2.272761699999999863e+01	3.653026102666640185e+01	3.150727299999999786e+00	-1.148406700000000003e+00	3.855215392827625820e+00	2.421806965977678416e+00	2.103026606329195039e-02	7.095132700000000114e+03	1.066438540000000046e+02	2.708369418423755004e-01	6.636959749754185456e-01	1.899309263099922540e-01	2.107536309618011638e-01	2.437360811835882490e+00	4.814267907721172080e+00	2.483168967925891035e+00	5.877311306821043635e-01	4.120070921753331561e+01	1.115867408621369705e+01	5.235938330374702332e+01	1.793541650586968927e+01	9.079050059087004909e-01	2.149483756771482790e-01	2.765440244577632711e-02	4.841922310166947518e+00	1.036766807991953199e+00
8.382044199999999989e+01	2.943127799999999894e+01	4.211981735110035174e+01	5.662590999999999930e+00	4.644159000000001036e-01	1.525170898308799039e+00	1.104510614792292067e+00	1.003133426877562906e+00	4.968695299999999406e+03	1.132517200000000059e+02	3.511229158156908836e-01	8.120822745870616144e-01	2.818318286924497151e-01	3.067044102208540401e-01	7.140646542182764733e-01	2.448018570195937382e+00	9.987417313281850006e-01	4.579344579063229226e+00	4.719033802999624072e+01	1.656960908742036409e+01	6.375994711741660836e+01	2.371317033331948210e+01	9.334699362172529380e-01	7.812998180517564117e-01	6.032466546952258923e+00	2.197299809968608741e+00	7.762204192459919438e-01
8.223259000000000185e+01	1.880353699999999861e+01	3.255927851883711099e+01	2.608111099999999904e+00	-9.230092600000000536e-01	5.055811476067673560e+00	3.602759095976011405e-01	1.835086098314946401e+00	5.210481099999999969e+03	1.010361269999999934e+02	2.286628330689814970e-01	5.409033656851292005e-01	5.657447215105978477e-01	6.062452424789339656e-01	2.303381491260191982e+00	1.981083210968012764e+00	6.884717563528837125e-01	1.612345244895875496e+00	4.551100438205497767e+01	1.040667519781552208e+01	5.591767957987049442e+01	1.801968620163057011e+01	9.929076370214898750e-01	9.898554427702477287e-01	5.950673581365164111e+00	1.648571485153591532e+00	8.068726699519814805e-01
8.070720699999998260e+01	2.319136200000000159e+01	3.630958044082736080e+01	5.971723599999999799e+00	6.382893899999999565e-01	3.187255397111899757e+00	2.523985524330322416e+00	6.395857298118137191e-01	6.470659900000001471e+03	1.038985689999999948e+02	2.873518098575756907e-01	5.756973709592707600e-01	5.436308688621257490e-01	6.305508792900641479e-01	1.591020898319790877e+00	5.556398051878420397e+00	2.772346889495082234e+00	6.910030221977451204e-01	4.113179800012974141e+01	1.181929659803349608e+01	5.295109459816324460e+01	1.850489421795469980e+01	9.220493201531777538e-01	6.223875132888411210e-01	1.082755075914874965e+00	3.559678206137091294e-01	9.621609295986867094e-01
8.062958499999999162e+01	2.865223699999999951e+01	4.078328367370281171e+01	2.222996499999999820e+00	-3.975079899999999777e-01	2.276603781632239532e+00	1.947597098177622055e+00	3.693919428027714891e-01	4.292356899999999769e+03	1.092818220000000053e+02	3.553563744623018383e-01	8.304349944392134253e-01	1.926595304829539501e-01	7.555008619854949869e-02	8.565364325581309446e-01	2.416195233490263217e+00	1.961024423387508708e+00	6.057077484989389360e-01	4.774648267529700973e+01	1.696701697682065557e+01	6.471349965211767596e+01	2.415066811230858690e+01	9.368262509189930753e-01	8.221588442637087768e-01	1.345492827559002791e-01	2.550744516246163940e+00	6.887020882423239287e-01
8.047428899999999885e+01	2.691088500000000039e+01	3.936970967473745731e+01	2.552140000000000075e+00	-9.607150199999999751e-01	2.487530659506373976e-01	4.053960530273589269e-01	2.665817714415871897e+00	8.561592399999997724e+03	1.073851740000000063e+02	3.344035136489370008e-01	8.513697543310250193e-01	3.942026718182964906e-01	4.160748067199235845e-01	3.617156439483260044e-01	4.193315139021342119e+00	4.430469903730502867e-01	2.737918355826810313e+00	3.646069322535419843e+01	1.219258392463443919e+01	4.865327714998864650e+01	1.783733568397058988e+01	9.753308806086125049e-01	7.799883543321701751e-01	6.077908434970480833e+00	3.988038266812236721e+00	1.207151918440196425e+00
7.981121800000001087e+01	2.319014500000000112e+01	3.612865944239478466e+01	5.768918499999999838e+00	4.488133999999999735e-01	1.468290905898710363e+00	3.238226015577250760e-01	2.416691211252154081e-01	6.060940300000000207e+03	1.030013629999999978e+02	2.905624745634128869e-01	7.126440399481481780e-01	3.441739237282888109e-01	4.002117831886505273e-01	7.002217871352217626e-01	6.161303033480412417e+00	2.617995407763045734e-01	3.144053467635152810e+00	4.173303646165099678e+01	1.212605434534244786e+01	5.385909080699343576e+01	1.889156311109088549e+01	8.833729147431329531e-01	4.777118632357236216e-01	5.444255732643905610e+00	5.322373458944730906e+00	9.124229810917192651e-01
7.932611799999999391e+01	2.576068700000000078e+01	3.818691265560444492e+01	5.750748500000000263e+00	5.620706100000000260e-01	5.052915759578826105e+00	2.419965928979631808e+00	1.399857430309941808e+00	7.413230800000000272e+03	1.050868049999999982e+02	3.247440773541950265e-01	6.606787742840930511e-01	1.882629808382420000e-01	1.478100461168649626e-01	2.026282965234549316e+00	4.150929535395064818e-01	2.324797445034238574e+00	5.006685279916441189e+00	3.824302647274296874e+01	1.241919634712297160e+01	5.066222281986594567e+01	1.840986485183359989e+01	9.927592475999363897e-01	7.469397988511446984e-01	2.992451194171959372e+00	3.407544147711464966e+00	1.074263606112300096e+00
7.932303600000000188e+01	1.808454899999999910e+01	3.135491668574896096e+01	5.957898200000001587e+00	6.804023799999999733e-01	4.126047623913226658e+00	2.766656486892689060e+00	1.909635251076277962e+00	5.706581500000000233e+03	9.740758499999999742e+01	2.279860922115992117e-01	4.965468640302285741e-01	2.630446642834424198e-01	3.424328730583490743e-01	2.329589782443926449e+00	2.369048761142702020e+00	2.825416895635540548e+00	1.786059800584646196e-01	4.244492991934160386e+01	9.676853706505877284e+00	5.212178362584747759e+01	1.677768916148657397e+01	7.833846420003310884e-01	8.169388040178349186e-01	5.791389106800253650e+00	1.877252560763370326e+00	8.688459646591036867e-01
7.932303600000000188e+01	1.808454899999999910e+01	3.135491668574896096e+01	2.643588799999999850e+00	-8.395143000000000466e-01	3.522460175122795523e+00	2.787407363206512390e+00	1.955698687953171255e+00	4.511654999999999745e+03	9.740758499999999742e+01	2.279860922115992117e-01	4.965468640302285741e-01	2.630446642834424198e-01	3.424328730583490743e-01	2.329589782443926449e+00	2.369048761142702020e+00	2.753223986110456156e+00	5.869547397738958949e+00	4.618825131887267332e+01	1.053027892427702206e+01	5.671853024314969360e+01	1.825735429445347080e+01	7.833846420003310884e-01	8.169388040178349186e-01	5.791389106800253650e+00	1.877252560763370326e+00	7.173855631028912549e-01
7.922119100000000458e+01	2.284405699999999939e+01	3.571027399219236997e+01	8.979766700000000323e-01	8.001503000000002030e-01	5.212356429332058561e+00	3.076550713581454044e+00	7.364210115359250963e-01	4.194000300000000607e+03	1.020652479999999969e+02	2.883579091861924182e-01	5.507577063475382895e-01	3.594878134726088303e-01	4.277425981814532152e-01	2.845353714217611962e+00	4.060265209862846447e+00	2.883597541777736861e+00	4.694315882294935349e+00	4.727550843281100867e+01	1.363226676739958876e+01	6.090777520021059388e+01	2.131022442285527063e+01	8.666160851195895409e-01	2.863145694265136210e-01	2.586170171818718444e+00	3.632500745019777710e-01	6.757342993484860560e-01
7.894771599999999978e+01	2.376813100000000034e+01	3.644796381344038849e+01	2.614960799999999530e+00	-9.420100500000000432e-01	7.999747908591200440e-01	3.180499034586095064e-01	7.091892093554867937e-01	5.897306499999999687e+03	1.027158469999999966e+02	3.010616671924999377e-01	6.715770297986434212e-01	2.074621656172324080e-01	2.452167979520701036e-01	1.157841906652802511e+00	2.316009142008687238e+00	3.910686028688672988e-01	2.203711743344328511e+00	4.171901529238898831e+01	1.255999629755602776e+01	5.427901158994500719e+01	1.926050855871954326e+01	8.545744306669249557e-01	3.704112570701996177e-01	4.597124245239801787e+00	6.299480800689032378e-01	8.923676756676190980e-01
